node_key,label,node_type,source_type,example_mention,canonicalization_source,mention_count,source
CANONICAL_ENTITY:ANGOLA,ANGOLA,CanonicalEntity,Country; Location,Angola,normalized_label,16.0,
CANONICAL_ENTITY:ANGOLAN_PEOPLES_UNION_UPA,ANGOLAN PEOPLES UNION (UPA),CanonicalEntity,PoliticalGroup,Angolan Peoples' Union (UPA),dictionary; normalized_label,5.0,
CANONICAL_ENTITY:ANICET_KASHAMURA,ANICET KASHAMURA,CanonicalEntity,Person,Anicet Kashamura,normalized_label,2.0,
CANONICAL_ENTITY:ANSAR_SECT,ANSAR SECT,CanonicalEntity,ReligiousGroup,Ansar,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ANTIGOVERNMENT,ANTIGOVERNMENT,CanonicalEntity,PoliticalGroup,Antigovernment,normalized_label,1.0,
CANONICAL_ENTITY:ANTI_COMMUNIST_TEACHERS,ANTI-COMMUNIST TEACHERS,CanonicalEntity,Other,anti-Communist teachers,normalized_label,1.0,
CANONICAL_ENTITY:ANTI_FASCIST_PEOPLES_FREEDOM_LEAGUE,ANTI-FASCIST PEOPLES FREEDOM LEAGUE,CanonicalEntity,PoliticalGroup,Anti-Fascist People's Freedom League,normalized_label,1.0,
CANONICAL_ENTITY:ANTONIO_PINTO_BARBOSA,ANTONIO PINTO BARBOSA,CanonicalEntity,Person,Antonio Pinto Barbosa,normalized_label,1.0,
CANONICAL_ENTITY:APRIL_AND_MAY_REVOLUTIONARY_PARTY,APRIL AND MAY REVOLUTIONARY PARTY,CanonicalEntity,PoliticalGroup,April and May Revolutionary party,normalized_label,1.0,
CANONICAL_ENTITY:ARAB_LEAGUE,ARAB LEAGUE,CanonicalEntity,Organization,Arab League,normalized_label,9.0,
CANONICAL_ENTITY:ARBENZ,ARBENZ,CanonicalEntity,Person,Arbenz,normalized_label,1.0,
CANONICAL_ENTITY:ARDESHIR_ZAHEDI,ARDESHIR ZAHEDI,CanonicalEntity,Person,Ardeshir Zahedi,normalized_label,1.0,
CANONICAL_ENTITY:ARGENTINA,ARGENTINA,CanonicalEntity,Country,Argentina,normalized_label,4.0,
CANONICAL_ENTITY:ARINOS,ARINOS,CanonicalEntity,Person,Afonso Arinos,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:ARMANDO_VELASQUEZ,ARMANDO VELASQUEZ,CanonicalEntity,Person,Armando Velasquez,normalized_label,1.0,
CANONICAL_ENTITY:ARMED_FORCES,ARMED FORCES,CanonicalEntity,Military,armed forces,normalized_label,1.0,
CANONICAL_ENTITY:ASIA,ASIA,CanonicalEntity,Location,Asia,normalized_label,1.0,
CANONICAL_ENTITY:ASSISTANT_CHIEF_OF_STAFF_FOR_INTELLIGENCE_DEPARTMENT_OF_ARMY,"ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",CanonicalEntity,Person,"Assistant Chief of Staff for Intelligence, Department of Army",normalized_label,20.0,
CANONICAL_ENTITY:ASSISTANT_CHIEF_OF_STAFF_INTELLIGENCE_DEPARTMENT_OF_THE_AIR_FORCE,"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE",CanonicalEntity,Person,"Assistant Chief of Staff, Intelligence, Department of the Air Force",normalized_label,20.0,
CANONICAL_ENTITY:ASSISTANT_SECRETARY_OF_DEFENSE_INTERNATIONAL_SECURITY_AFFAIRS,ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),CanonicalEntity,Person,Assistant Secretary of Defense for International Security Affairs,dictionary; normalized_label,20.0,
CANONICAL_ENTITY:ASSISTANT_TO_SECRETARY_OF_DEFENSE_SPECIAL_OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),CanonicalEntity,Person,Assistant to Secretary of Defense for Special Operations,dictionary; normalized_label,20.0,
CANONICAL_ENTITY:ATAMAN,ATAMAN,CanonicalEntity,Person,Ataman,normalized_label,1.0,
CANONICAL_ENTITY:ATHENS,ATHENS,CanonicalEntity,Location,Athens,normalized_label,1.0,
CANONICAL_ENTITY:ATOMIC_ENERGY_COMMISSION,ATOMIC ENERGY COMMISSION,CanonicalEntity,Organization,Atomic Energy Commission,normalized_label,44.0,
CANONICAL_ENTITY:ATTORNEY_GENERAL,ATTORNEY GENERAL,CanonicalEntity,Person,Attorney General,normalized_label,17.0,
CANONICAL_ENTITY:AUNG_SHWE,AUNG SHWE,CanonicalEntity,Person,Aung Shwe,normalized_label,1.0,
CANONICAL_ENTITY:AUSTRIA,AUSTRIA,CanonicalEntity,Country,Austria,normalized_label,4.0,
CANONICAL_ENTITY:AUTHENTIC_MNR,AUTHENTIC MNR,CanonicalEntity,PoliticalGroup,Authentic MNR,normalized_label,1.0,
CANONICAL_ENTITY:AVERKY_ARISTOV,AVERKY ARISTOV,CanonicalEntity,Person,Averky Aristov,normalized_label,3.0,
CANONICAL_ENTITY:AVRO,AVRO,CanonicalEntity,Organization,AVRO,normalized_label,1.0,
CANONICAL_ENTITY:AYUB,AYUB,CanonicalEntity,Person,Ayub,normalized_label,4.0,
CANONICAL_ENTITY:AYUB_KHAN,AYUB KHAN,CanonicalEntity,Person,Ayub Khan,normalized_label,1.0,
CANONICAL_ENTITY:AYUB_REGIME,AYUB REGIME,CanonicalEntity,Government,Ayub regime,normalized_label,1.0,
CANONICAL_ENTITY:AZORES_BASES_AGREEMENT,AZORES BASES AGREEMENT,CanonicalEntity,Other,Azores bases agreement,normalized_label,1.0,
CANONICAL_ENTITY:BAATH_PARTY,BAATH PARTY,CanonicalEntity,PoliticalGroup,Baath party,normalized_label,1.0,
CANONICAL_ENTITY:BADR,BADR,CanonicalEntity,Person,Badr,normalized_label,1.0,
CANONICAL_ENTITY:BAGHDAD,BAGHDAD,CanonicalEntity,Location,Baghdad,normalized_label,4.0,
CANONICAL_ENTITY:BAGHDAD_MILITARY_COURT,BAGHDAD MILITARY COURT,CanonicalEntity,Organization,Baghdad military court,normalized_label,1.0,
CANONICAL_ENTITY:BAGHDAD_UNIVERSITY,BAGHDAD UNIVERSITY,CanonicalEntity,Organization,Baghdad University,normalized_label,1.0,
CANONICAL_ENTITY:BAJAUR_REGION,BAJAUR REGION,CanonicalEntity,Location,Bajaur region,normalized_label,1.0,
CANONICAL_ENTITY:BALEWA,BALEWA,CanonicalEntity,Person,Balewa,normalized_label,1.0,
CANONICAL_ENTITY:BALUBA,BALUBA,CanonicalEntity,Other; PoliticalGroup,Baluba,normalized_label,4.0,
CANONICAL_ENTITY:BALUBA_FORCES,BALUBA FORCES,CanonicalEntity,Military,Baluba forces,normalized_label,1.0,
CANONICAL_ENTITY:BALUBA_IRREGULARS,BALUBA IRREGULARS,CanonicalEntity,Military,Baluba irregulars,normalized_label,1.0,
CANONICAL_ENTITY:BALUBA_TRIBESMEN,BALUBA TRIBESMEN,CanonicalEntity,Other,Baluba tribesmen,normalized_label,2.0,
CANONICAL_ENTITY:BANI_SAKHIR,BANI SAKHIR,CanonicalEntity,Other,Bani Sakhir,normalized_label,1.0,
CANONICAL_ENTITY:BANI_SAKHIR_BEDOUIN_TRIBE,BANI SAKHIR BEDOUIN TRIBE,CanonicalEntity,Other,Bani Sakhir Bedouin tribe,normalized_label,1.0,
CANONICAL_ENTITY:BANK_OF_CHINA,BANK OF CHINA,CanonicalEntity,Organization,Bank of China,normalized_label,1.0,
CANONICAL_ENTITY:BAN_PHA_PHO,BAN PHA PHO,CanonicalEntity,Location,Ban Pha Pho,normalized_label,1.0,
CANONICAL_ENTITY:BAN_TA_VIANG,BAN TA VIANG,CanonicalEntity,Location,Ban Ta Viang,normalized_label,3.0,
CANONICAL_ENTITY:BARROSO,BARROSO,CanonicalEntity,Person,Barroso,normalized_label,1.0,
CANONICAL_ENTITY:BAYAR,BAYAR,CanonicalEntity,Person,Bayar,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_ARMY,BELGIAN ARMY,CanonicalEntity,Military,Belgian Army,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_CONTROLLED_MINING_COMPANY,BELGIAN-CONTROLLED MINING COMPANY,CanonicalEntity,Organization,Belgian-controlled mining company,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_DEFENSE_MINISTRY,BELGIAN DEFENSE MINISTRY,CanonicalEntity,Organization,Belgian Defense Ministry,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_FOREIGN_MINISTRY,BELGIAN FOREIGN MINISTRY,CanonicalEntity,Government,Belgian Foreign Ministry,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_GOVERNMENT,BELGIAN GOVERNMENT,CanonicalEntity,Government,Belgian Government,normalized_label,1.0,
CANONICAL_ENTITY:BELGIAN_MILITARY,BELGIAN MILITARY,CanonicalEntity,Military,Belgian military,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:BELGIAN_TRUST_TERRITORY_OF_RUANDA_URUNDI,BELGIAN TRUST TERRITORY OF RUANDA-URUNDI,CanonicalEntity,Location,Belgian trust territory of Ruanda,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:BELGIUM,BELGIUM,CanonicalEntity,Country,Belgium,normalized_label,24.0,
CANONICAL_ENTITY:BELGRADE,BELGRADE,CanonicalEntity,Location,Belgrade,normalized_label,1.0,
CANONICAL_ENTITY:BENEDIKTOV,BENEDIKTOV,CanonicalEntity,Person,Benediktov,normalized_label,2.0,
CANONICAL_ENTITY:BEN_GURION,BEN-GURION,CanonicalEntity,Person,Ben-Gurion,normalized_label,2.0,
CANONICAL_ENTITY:BERLIN,BERLIN,CanonicalEntity,Location,Berlin,normalized_label,1.0,
CANONICAL_ENTITY:BERTHOLD_BEITZ,BERTHOLD BEITZ,CanonicalEntity,Person,Berthold Beitz,normalized_label,2.0,
CANONICAL_ENTITY:BHUTAN,BHUTAN,CanonicalEntity,Country; Location,Bhutan,normalized_label,2.0,
CANONICAL_ENTITY:BIG_FOUR,BIG FOUR,CanonicalEntity,PoliticalGroup,Big Four,normalized_label,1.0,
CANONICAL_ENTITY:BISHOP_DIBELIUS,BISHOP DIBELIUS,CanonicalEntity,Person,Bishop Dibelius,normalized_label,1.0,
CANONICAL_ENTITY:BOGOTA,BOGOTA,CanonicalEntity,Location,Bogota,normalized_label,1.0,
CANONICAL_ENTITY:BOLIVIA,BOLIVIA,CanonicalEntity,Country,Bolivia,normalized_label,3.0,
CANONICAL_ENTITY:BOLIVIAN_GOVERNMENT,BOLIVIAN GOVERNMENT,CanonicalEntity,Government,Bolivian Government,normalized_label,1.0,
CANONICAL_ENTITY:BOLZANO_PROVINCE,BOLZANO PROVINCE,CanonicalEntity,Location,Bolzano Province,normalized_label,1.0,
CANONICAL_ENTITY:BOMBOKO,BOMBOKO,CanonicalEntity,Person,Bomboko,normalized_label,7.0,
CANONICAL_ENTITY:BONN,BONN,CanonicalEntity,Government; Location,Bonn,normalized_label,9.0,
CANONICAL_ENTITY:BONN_FOREIGN_MINISTRY,BONN FOREIGN MINISTRY,CanonicalEntity,Organization,Bonn Foreign Ministry,normalized_label,1.0,
CANONICAL_ENTITY:BOTELHO_MONIZ,BOTELHO MONIZ,CanonicalEntity,Person,Botelho Moniz,normalized_label,3.0,
CANONICAL_ENTITY:BOUN_OUM,BOUN OUM,CanonicalEntity,Government; Person,Boun Oum,normalized_label,13.0,
CANONICAL_ENTITY:BOUN_OUM_GOVERNMENT,BOUN OUM GOVERNMENT,CanonicalEntity,Government,Boun Oum government,dictionary; normalized_label,15.0,
CANONICAL_ENTITY:BOUN_OUM_REGIME,BOUN OUM REGIME,CanonicalEntity,PoliticalGroup,Boun Oum regime,normalized_label,1.0,
CANONICAL_ENTITY:BOURGUIBA,BOURGUIBA,CanonicalEntity,Person,Bourguiba,dictionary; normalized_label,9.0,
CANONICAL_ENTITY:BOURGUIBAISM,BOURGUIBAISM,CanonicalEntity,Other,Bourguibaism,normalized_label,1.0,
CANONICAL_ENTITY:BRAZIL,BRAZIL,CanonicalEntity,Country,Brazil,normalized_label,11.0,
CANONICAL_ENTITY:BRAZZAVILLE,BRAZZAVILLE,CanonicalEntity,Location,Brazzaville,normalized_label,1.0,
CANONICAL_ENTITY:BREZHNEV,BREZHNEV,CanonicalEntity,Person,Brezhnev,normalized_label,1.0,
CANONICAL_ENTITY:BRIGADIER_AUNG_GYI,BRIGADIER AUNG GYI,CanonicalEntity,Person,Aung Gyi,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:BRIGADIER_MAUNG_MAUNG,BRIGADIER MAUNG MAUNG,CanonicalEntity,Person,Brigadier Maung Maung,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:BRITAIN,BRITAIN,CanonicalEntity,Country; Government,Britain,dictionary; normalized_label,6.0,
CANONICAL_ENTITY:BRITISH,BRITISH,CanonicalEntity,Government; PoliticalGroup,British,normalized_label,3.0,
CANONICAL_ENTITY:BRITISH_AMBASSADOR,BRITISH AMBASSADOR,CanonicalEntity,Person,British ambassador,normalized_label,2.0,
CANONICAL_ENTITY:BRITISH_BONDHOLDERS,BRITISH BONDHOLDERS,CanonicalEntity,Other,British bondholders,normalized_label,1.0,
CANONICAL_ENTITY:BRITISH_CAMEROONS,BRITISH CAMEROONS,CanonicalEntity,Location,Cameroons,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:BRITISH_COLONIAL_SECRETARY_MACLEOD,BRITISH COLONIAL SECRETARY MACLEOD,CanonicalEntity,Person,British Colonial Secretary Macleod,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:BRITISH_EMBASSY,BRITISH EMBASSY,CanonicalEntity,Organization,British Embassy,normalized_label,1.0,
CANONICAL_ENTITY:BRITISH_FOREIGN_OFFICE,BRITISH FOREIGN OFFICE,CanonicalEntity,Organization,British Foreign Office,normalized_label,1.0,
CANONICAL_ENTITY:BRITISH_OFFICIALS,BRITISH OFFICIALS,CanonicalEntity,Organization,British officials,normalized_label,1.0,
CANONICAL_ENTITY:BRUSSELS,BRUSSELS,CanonicalEntity,Location,Brussels,normalized_label,4.0,
CANONICAL_ENTITY:BUKAVU,BUKAVU,CanonicalEntity,Location,Bukavu,normalized_label,1.0,
CANONICAL_ENTITY:BULGARIA,BULGARIA,CanonicalEntity,Country,Bulgaria,normalized_label,1.0,
CANONICAL_ENTITY:BURMA,BURMA,CanonicalEntity,Country; Location,Burma,normalized_label,19.0,
CANONICAL_ENTITY:BURMA_TRADE_UNION_CONGRESS,BURMA TRADE UNION CONGRESS,CanonicalEntity,PoliticalGroup,Burma Trade Union Congress,normalized_label,1.0,
CANONICAL_ENTITY:BURMESE_ARMY,BURMESE ARMY,CanonicalEntity,Military,Burmese Army,normalized_label,6.0,
CANONICAL_ENTITY:BURMESE_GOVERNMENT,BURMESE GOVERNMENT,CanonicalEntity,Government,Burmese Government,normalized_label,3.0,
CANONICAL_ENTITY:CABINDA,CABINDA,CanonicalEntity,Location,Cabinda,normalized_label,3.0,
CANONICAL_ENTITY:CAIRO,CAIRO,CanonicalEntity,Location,Cairo,normalized_label,7.0,
CANONICAL_ENTITY:CAMARA_PINA,CAMARA PINA,CanonicalEntity,Person,Camara Pina,normalized_label,1.0,
CANONICAL_ENTITY:CAMBODIA,CAMBODIA,CanonicalEntity,Country,Cambodia,normalized_label,5.0,
CANONICAL_ENTITY:CAMEROUN,CAMEROUN,CanonicalEntity,Country,Cameroun,normalized_label,3.0,
CANONICAL_ENTITY:CANADA,CANADA,CanonicalEntity,Country,Canada,normalized_label,1.0,
CANONICAL_ENTITY:CANADIAN_COMMUNICATIONS_PERSONNEL,CANADIAN COMMUNICATIONS PERSONNEL,CanonicalEntity,Other,Canadian communications personnel,normalized_label,1.0,
CANONICAL_ENTITY:CANADIAN_DELEGATION,CANADIAN DELEGATION,CanonicalEntity,PoliticalGroup,Canadian delegation,normalized_label,1.0,
CANONICAL_ENTITY:CANARY_ISLANDS,CANARY ISLANDS,CanonicalEntity,Location,Canary Islands,normalized_label,1.0,
CANONICAL_ENTITY:CANTON,CANTON,CanonicalEntity,Location,Canton,normalized_label,2.0,
CANONICAL_ENTITY:CAPE_VERDE,CAPE VERDE,CanonicalEntity,Location,Cape Verde,normalized_label,1.0,
CANONICAL_ENTITY:CAPE_VERDE_ISLANDS,CAPE VERDE ISLANDS,CanonicalEntity,Location,Cape Verde Islands,normalized_label,1.0,
CANONICAL_ENTITY:CASABLANCA_CONFERENCE,CASABLANCA CONFERENCE,CanonicalEntity,Document,Casablanca Conference,normalized_label,1.0,
CANONICAL_ENTITY:CASTRO_REGIME,CASTRO REGIME,CanonicalEntity,Government,Castro regime,normalized_label,3.0,
CANONICAL_ENTITY:CENTO,CENTO,CanonicalEntity,Organization,CENTO,normalized_label,1.0,
CANONICAL_ENTITY:CENTRAL_BANK,CENTRAL BANK,CanonicalEntity,Organization; Other,Central Bank,normalized_label,2.0,
CANONICAL_ENTITY:CENTRAL_INTELLIGENCE_BULLETIN,CENTRAL INTELLIGENCE BULLETIN,CanonicalEntity,Document,CENTRAL INTELLIGENCE BULLETIN,normalized_label,20.0,
CANONICAL_ENTITY:CENTRAL_STATISTICAL_BOARD,CENTRAL STATISTICAL BOARD,CanonicalEntity,Organization,Central Statistical Board,normalized_label,1.0,
CANONICAL_ENTITY:CEYLON,CEYLON,CanonicalEntity,Country,Ceylon,normalized_label,10.0,
CANONICAL_ENTITY:CEYLONESE_FINANCE_MINISTER,CEYLONESE FINANCE MINISTER,CanonicalEntity,Person,Ceylonese finance minister,normalized_label,1.0,
CANONICAL_ENTITY:CHAIRMAN,CHAIRMAN,CanonicalEntity,Person,Chairman,normalized_label,16.0,
CANONICAL_ENTITY:CHAIRMAN_ATOMIC_ENERGY_COMMISSION,"CHAIRMAN, ATOMIC ENERGY COMMISSION",CanonicalEntity,Person,"Chairman, Atomic Energy Commission",normalized_label,1.0,
CANONICAL_ENTITY:CHAIRMAN_THE_JOINT_CHIEFS_OF_STAFF,"CHAIRMAN, THE JOINT CHIEFS OF STAFF",CanonicalEntity,Person,"Chairman, The Joint Chiefs of Staff",normalized_label,20.0,
CANONICAL_ENTITY:CHANG_ADMINISTRATION,CHANG ADMINISTRATION,CanonicalEntity,Government,Chang administration,normalized_label,1.0,
CANONICAL_ENTITY:CHANG_MYON,CHANG MYON,CanonicalEntity,Person,Chang Myon,normalized_label,5.0,
CANONICAL_ENTITY:CHANG_MYON_GOVERNMENT,CHANG MYON GOVERNMENT,CanonicalEntity,Government,Chang Myon government,dictionary; normalized_label,4.0,
