level1_id,size,top_labels,top_types,display_label
10,254,ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ; ABD AL-QADIR ISMAIL BUSTANI; ADAMAFIO; AFRICANS; AFRICAN EXILE GROUPS; AFRICAN LABOR CONFERENCE; AFRICAN NATIONAL CONGRESS; AFRO-SHIRAZI PARTY; AFRO-SHIRAZI PARTY (ASP); AHIDJO; AHIDJO GOVERNMENT; AHIDJO REGIME,"{""CanonicalEntity"": 185, ""EventCluster"": 69}",ABBOUD GOVERNMENT; ABDOULAYE DIALLO; ABDUL RAHMAN; ABD AL-HAMID SARRAJ
11,254,ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY; AMBASSADOR JACOBS; AMERICAN PETROLEUM COMPANIES; AMERICAN UNIVERSITY; ARGENTINE EMBASSY; ASIAN SOCIALIST CONFERENCE; ASSOCIATION OF JOURNALISTS; AVIDAR; BERMAN; BIERUT; BISHOP CHOROMANSKI; BISON,"{""CanonicalEntity"": 174, ""EventCluster"": 80}",ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY
12,225,10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961; 2ND FIELD ARMY; 6 JANUARY 1961; AFGHAN ARMY UNIFORM FACTORY; AKSEL LARSEN; ALAN WINNINGTON; ALBANIAN NATIONAL COMMITTEE; AMERICAN JOINT CHIEFS OF STAFF; AMERICAN MINISTER THAYER; ANADYR; ANTWERP; ARGENTINE COMMUNISTS,"{""CanonicalEntity"": 155, ""EventCluster"": 70}",10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961
13,188,AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY; AMERICAN TROOPS; ANDRES OTERO; ANEURIN BEVAN; ANTHONY EDEN; ANTONIO ALVAREZ RESTREPO; ANTONIO RODRIGUEZ; APRA; ATTLEE; BELGIAN CIVILIAN ADVISERS; BELGIAN-CONTROLLED MINING COMPANY; BRITISH LABORITES,"{""CanonicalEntity"": 118, ""EventCluster"": 70}",AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY
14,150,ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY; AMBASSADOR DONOVAN; AMBASSADOR YOUNG; AMERICAN CHARGE; AMERICAN GUARDS; AMERICAN MINISTER; AMERICAN-OWNED COPPER COMPANIES; ANACONDA; AUSTRIAN MINISTER OF INTERIOR HELMER; AVERKY ARISTOV; BECHIR BEY SAADAWI; BENGHAZI,"{""CanonicalEntity"": 101, ""EventCluster"": 49}",ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY
15,125,ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID; ABDERRAHMAN YOUSSEFI; ABDOL HOSSEIN HEJAZI; AGADIR PROVINCE; AHMED BALAFREJ; ALLAL EL-FASSI; ALLIED REPRESENTATIVES; AMERICAN AIR FORCE; AS SABAH; AT TAHRIR; AZIZOLLAH KAMAL; BANK OF INDONESIA,"{""CanonicalEntity"": 88, ""EventCluster"": 37}",ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID
16,68,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; BOLZANO PROVINCE; BRIGADIER GENERAL KIM YUN-KUN; BRITISH SOMALILAND PROTECTORATE; CARTER MAGRUDER; CHANG MYON ADMINISTRATION; CHANG TO-YONG; CHOE KYONG-NOK; CHOE YONG-HUI; DR. YU CHIN-O; HAWIYA; ISSA,"{""CanonicalEntity"": 48, ""EventCluster"": 20}",ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS
17,27,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); DR. JALAL ABDOH; GADJA MADA; GOODYEARS WINGFOOT ESTATE; INDONESIAN MERCHANT MARINE; INDONESIAN NAVY; KARAMI; KORPS COMMANDO - KKO; LT. COL. JOHN LIE; MUARA MAHAT; SURABAJA; TRANS-ARABIAN PIPELINE COMPANY,"{""CanonicalEntity"": 18, ""EventCluster"": 9}",AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE)
18,10,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; LIBYAN DEFENSE MINISTER JERBI; PORT ARTHUR NAVAL BASE AREA; SINO-SOVIET TREATY OF 1950; TURKISH OFFICER YETISAL; Chinese Communist mission to Moscow | Chinese Communist mission seeking increased Soviet assistance for economic and military development | Communication | 1952; Appointment of Turkish officer to Libyan Army | Recommendation for a Turkish officer to be appointed as Commander in Chief of the Libyan Army | PolicyAction,"{""CanonicalEntity"": 8, ""EventCluster"": 2}",CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY
19,9,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; LEGISLATIVE YUAN; O. K. YUI; STATUS-OF-FORCES AGREEMENT; Impeachment of O. K. Yui | The Control Yuan impeached Premier O. K. Yui on charges of dereliction of duty. | Other | 1957-12-23; End of fighting agreement | Muzakkar agreed to end fighting between his forces and pro-Djakarta officials. | Other,"{""CanonicalEntity"": 7, ""EventCluster"": 2}",CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR
20,9,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; HAGI MUSA BOGOR; HAWIAS; SOMALI YOUTH LEAGUE; VYACHESLAV MOLOTOV; Protests in Somalia | Planned protests against the American Embassy and Ethiopian Consulate General by the Greater Somalia League and other groups. | Demonstrat,"{""CanonicalEntity"": 8, ""EventCluster"": 1}",DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE
21,8,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; SOCIALIST-LIBERAL COALITION CABINET; VAN ACKER; Agreement on Saudi oil transport | Agreement granting Onassis' company exclusive rights to transport Saudi oil. | Negotiation | 1953-12-31; EUROPEAN INTEGRATION,"{""CanonicalEntity"": 7, ""EventCluster"": 1}",ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK
22,8,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; ZARYA VOSTOKA; Public disorders in Georgia | Demonstrations protesting against the attacks on Stalin's reputation | Demonstration | 1956-03-07; Algerian economy near-collapse | Algerian economy reported in a state of near-collapse due to rebel attacks | EconomicAction; Tripartite Appeal Suggestion | Pineau suggested a meeting of French-British-American ministers to appeal to the USSR regarding the Near East arms race. | Meetin,"{""CanonicalEntity"": 5, ""EventCluster"": 3}",FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI
23,7,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT; WEST IRIAN LIBERATION FRONT; YI HO; Warning of violence | An official warned that violence could occur if Dutch warships entered Indonesian waters. | Violence | 1960-04-23,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT
24,7,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER; PAUL MERKER; WILLI KREIKEMEYER; Purge trial of East German Reds | Preparations may be under way to try a number of once prominent Communists in East Germany. | Other,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER
25,7,KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE; Repatriation of POWs | Vyshinsky stated that all prisoners should be repatriated regardless of their wishes. | Negotiation | 1952-11-10; Recapture of base | Moslem guerrillas recaptured their base in eastern Tsinghai Province. | MilitaryAction | 1952-10-16; Arms policy discussion | British Government discusses arms release to Egypt and its implications. | PolicyAction,"{""CanonicalEntity"": 4, ""EventCluster"": 3}",KURDISH TRIBAL AREAS; LANCHOW; MOSLEM GUERRILLAS; TSINGHAI PROVINCE
26,7,FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH; Attack on opposition deputies | Opposition deputies attacked by ruling party members | Violence | 1959-09-22; Shift of national capital | Shift of national capital from Karachi to Rawalpindi area scheduled to begin | PolicyAction | 1959-10; Warning to faction leaders | Kishi warns faction leaders about potential Diet dissolution | Communication | 1959-09-23,"{""CanonicalEntity"": 4, ""EventCluster"": 3}",FUKUDA; GENERAL MUSA; KEIDANREN; LT. GEN. HABIBULLAH
27,7,CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY; SOCIETÉ DES PETROLES CONCORDIA; TOILERS PARTY; Suspension of Operations | Operations of the Menhall group were suspended and its funds frozen. | EconomicAction | 1958-10-05,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",CHINMENS; DR. MOZAFAR BAQAI; ISMAIL SHAFAI; MENHALL PROSPECTING AND EXPLORATION COMPANY
28,6,ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD; PIERRE GALLOIS; Government's emergency measures | The government initiated judicial proceedings and other measures against participants in the revolt. | PolicyAction | 1961-04-,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",ALGIERS JUNTA; COLONEL DE BOISSIEU; FLN MILITARY UNITS; GENERAL JOUHAUD
29,6,BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY; US MINISTER IN SAIGON; Anti-US Tudeh demonstrations | Several thousand persons held a demonstration in front of the US Embassy demanding peace and the cessation of US aggression in Ko,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",BULGARIAN SECURITY POLICE; CHINESE CONSUL GENERAL IN SAIGON; CHINESE NATIONALIST FOREIGN OFFICE; US MILITARY MISSION TO THE IRANIAN ARMY
30,6,BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29; Night attack on US B-29 | A US medium bomber was attacked by enemy aircraft during a night harassing mission. | MilitaryAction | 1951-03-17; Soviet diplomatic feeler regarding Korea | Soviet delegate Malik raised the Korean question at an Israeli reception. | Communication | 1951-03-14,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",BRITISH UN DELEGATE JEBB; ISRAELI DELEGATION; MOHAMMED NATSIR; US B-29
31,6,AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID; Advance party meeting | An advance party under two officers was to meet the Saudi ship. | Meeting; Installation of artillery | Saudi Arabia installed medium artillery pieces near the Israeli port of Eilat. | MilitaryAction,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",AL BRIJ; HAQAL; SAUDI SHIP; SHAIKH HAMID
32,6,HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM; Dismantling of facilities | Soviet personnel observed dismantling facilities and packing them for shipment. | MilitaryAction | February and early March 1957; Negotiations regarding nuclear assistance | Yugoslavs indicated interest in reopening negotiations with the United States regarding nuclear assistance. | Negoti,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",HABOMAI ISLANDS; KUNASHIRI; SHIKOTAN; YUGOSLAV NUCLEAR PROGRAM
33,6,"D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN; Z. R. RAKHIMBABAYEVA; Trip to South Asia | Soviet leaders Premier Bulganin and Party Secretary Khrushchev traveling to India, Burma, and Afghanistan. | Travel | 1955-11-18","{""CanonicalEntity"": 5, ""EventCluster"": 1}",D. R. RASULOV; I. A. SEROV; N. A. MIKHAILOV; P. M. KUMYKIN
34,6,ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other; UN air offensive effects report | Report issued by North Korean Army on damage caused by UN air attacks. | Communication | 1952-08-15; Changes in American-Israeli relations | Anticipated changes in relations due to recent events affecting Israel. | PolicyAction,"{""CanonicalEntity"": 3, ""EventCluster"": 3}",ASSISTANT SECRETARY OF STATE BYROADE; MONGOLIAN DEFENSE MINISTER; NORTH KOREAN ARMY; Investigation of BW Incident | A North Korean military sanitation officer disproves a police report of an American bacteria bomb incident. | Other
35,6,NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT; Egyptian military redeployment | Egypt partially regrouped its forces to strengthen the defense of the Suez Canal and delta areas. | MilitaryAction; Syrian ambassador's communication | Syrian ambassador Zeineddine urged Egypt to compromise on the Suez Canal dispute. | Communication | 1956-08-11,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",NATIONAL LIBERATION ARMY; PALESTINE LIBERATION ARMY; SYRIAN AMBASSADOR ZEINEDDINE; WESTERN DESERT
36,6,AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG; ROTTERDAM; Wildcat strikes in German ports | Communist-instigated strikes in key North German ports. | Demonstration,"{""CanonicalEntity"": 5, ""EventCluster"": 1}",AMSTERDAM; BREMEN; DUTCH COMMUNIST-CONTROLLED DOCKERS UNION; HAMBURG
37,6,C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT; Proposal for Southeast Asian regional pact | India plans to submit a proposal for a regional alliance as an alternative to SEATO. | Negotiation | 1954-08-04; Appointment of Indian delegates to Indochina Truce Commission | Indian appointees to the Indochina commission believed pro-Western. | PolicyAction,"{""CanonicalEntity"": 4, ""EventCluster"": 2}",C. C. DESAI; DR. J. N. KHOSLA; M. J. DESAI; S. DUTT
38,5,COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI; Demonstrations in Baghdad | Leftist parties preparing student strikes to protest against Iraqi adherence to the Turkish-Pakistani agreement. | Demonstration | 1,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",COLONEL HASSAN PAKRAVAN; EXTREMIST PARTIES; GENERAL ALI KIA; GENERAL MOHAMMAD TAGHI MAJIDI
39,5,B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence; NEW JOURNAL,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",B. N. PONOMAREV; YUGOSLAV EMBASSY; Voluntary Labor by UAR Ambassador | Ambassador Rajab of the United Arab Republic and his staff participated in voluntary labor at a reservoir project. | Other |; Dissident Activity in North Sumatra | Dissidents are well armed and maintaining strong defensive positions. | Violence
40,5,BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE; Request for MAC meeting | The UAR Army Commander ordered the Syrian delegation to request a meeting of the MAC. | Meeting,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",BANAT YAQUB BRIDGE; SYRIAN DELEGATION; UAR ARMY COMMANDER IN CHIEF AMIR; UN UNDER-SECRETARY BUNCHE
41,5,"LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction; Communist propaganda on Taiwan | Communist China emphasizes calls for Nationalist defections. | Communication | past two weeks from March 4, 1956","{""CanonicalEntity"": 3, ""EventCluster"": 2}",LIAO WEN-I; PROVISIONAL GOVERNMENT OF THE REPUBLIC OF TAIWAN; TAIWAN INDEPENDENCE PARTY; AA build-up on Quemoy and Matsu | Nationalists are building up antiaircraft artillery in response to Communist threats. | MilitaryAction
42,5,"ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction; Rebel ministers' departure | Departure of two rebel ministers for anniversary celebrations, indicating potential closer relations with the bloc. | Travel | 1959","{""CanonicalEntity"": 3, ""EventCluster"": 2}",ALGERIAN PEOPLE; LT. GEN. NAJIB AL-RUBAI; RED CRESCENT SOCIETY; Algerian settlement plan opposition | The USSR's opposition to De Gaulle's plan for an Algerian settlement. | PolicyAction
43,5,FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne; FRENCH ECONOMIC MISSION TALKS,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",FRENCH INDUSTRIAL FIRMS; SENATOR ROCHERAU; TENG; Delegation of Chinese engineers travel to France | Chinese engineers expected to travel to France for further discussions. | Travel | late this year or early ne
44,5,ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA; Gun battle at Haitian embassy | Gun battle between police and fugitives at the Haitian embassy. | Violence | 1956-10-29,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",ANTONIO BLANCO RICO; FRANCISCO TABERNILLA; HAITIAN EMBASSY; MARCELO TABERNILLA
45,5,MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19; Commonwealth Strategic Reserve maintenance | Maintenance of the Commonwealth Strategic Reserve force in Malaya | MilitaryAction,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",MASAYOSHI OHIRA; OKINAWAN LEGISLATORS; RYUKYUAN LEGISLATURE; Meeting of Okinawan legislators with Ikeda | Okinawan legislators presented a resolution to Ikeda regarding representation and missile opposition | Meeting | 19
46,5,BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19; KOREAN PRISONER RELEASE NEGOTIATION,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",BERLIN FOUR-POWER CONFERENCE; HUANG HUA; KENNETH YOUNG; American aid reduction forecast | Forecast by Ambassador Allen regarding the impact of reduced US aid to India | PolicyAction | 1954-01-19
47,5,CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS; Polish partisans attack | Polish partisans attacking Soviet installations and personnel. | Violence | 1951-03-18,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",CHINESE COMMUNIST 9TH ARMY GROUP; CHU CHIA-PI; POLISH INTERNAL SECURITY POLICE; POLISH PARTISANS
48,5,MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12; Troop Suppression | Kabul sent troops to suppress agitation and arrest Mohmand leaders. | MilitaryAction | 1958-12,"{""CanonicalEntity"": 3, ""EventCluster"": 2}",MOHMAND; MOHMANDS; NINGRAHAR; Murder of Afghan District Official | An Afghan district official was murdered by Mohmands. | Violence | 1958-12
49,5,"ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS; mass strike demonstration | a scheduled mass strike demonstration by CGT addressing the Algerian problem and economic issues | Demonstration | October 17, 1957","{""CanonicalEntity"": 4, ""EventCluster"": 1}",ALGERIAN PROBLEM; CFTC; CGT; RAILROAD FEDERATIONS
50,5,GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE; Clarification of US intentions | Soviet Ambassador Pavlov sought clarification of US intentions during a courtesy call by Ambassador Dillon. | Communication | 1,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",GENERAL ARTEMEV; GENERAL SINILOV; SOVIET FOREIGN MINISTER MOLOTOV; YUGOSLAV CHARGE
