node_key,label,node_type,source_type,example_mention,canonicalization_source,mention_count,source
CANONICAL_ENTITY:14TH_DIVISION,14TH DIVISION,CanonicalEntity,Military,14th Division,normalized_label,1.0,
CANONICAL_ENTITY:14TH_OF_MAY_MOVEMENT,14TH OF MAY MOVEMENT,CanonicalEntity,PoliticalGroup,14th of May Movement,normalized_label,1.0,
CANONICAL_ENTITY:16_MAY_1961,16 MAY 1961,CanonicalEntity,Other,16 May 1961,normalized_label,1.0,
CANONICAL_ENTITY:18TH_DIVISION,18TH DIVISION,CanonicalEntity,Military,18th Division,normalized_label,1.0,
CANONICAL_ENTITY:1ST_AIRBORNE_BATTALION,1ST AIRBORNE BATTALION,CanonicalEntity,Military,1st Airborne Battalion,normalized_label,1.0,
CANONICAL_ENTITY:1ST_INFANTRY_DIVISION,1ST INFANTRY DIVISION,CanonicalEntity,Military,1st Infantry Division,normalized_label,1.0,
CANONICAL_ENTITY:1ST_NAVAL_AIR_DIVISION,1ST NAVAL AIR DIVISION,CanonicalEntity,Military,1st Naval Air Division,normalized_label,1.0,
CANONICAL_ENTITY:20TH_ARMY,20TH ARMY,CanonicalEntity,Military,20th Army,normalized_label,1.0,
CANONICAL_ENTITY:20TH_PARTY_CONGRESS,20TH PARTY CONGRESS,CanonicalEntity,Document,20th Party Congress,normalized_label,2.0,
CANONICAL_ENTITY:21ST_DIVISION,21ST DIVISION,CanonicalEntity,Military,21st Division,normalized_label,1.0,
CANONICAL_ENTITY:21ST_OF_SEPTEMBER_MOVEMENT,21ST OF SEPTEMBER MOVEMENT,CanonicalEntity,PoliticalGroup,21st of September Movement,normalized_label,1.0,
CANONICAL_ENTITY:24TH_AIR_ARMY,24TH AIR ARMY,CanonicalEntity,Military,24th Air Army,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:26_OF_JULY_MOVEMENT,26 OF JULY MOVEMENT,CanonicalEntity,PoliticalGroup,26 of July movement,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:27TH_ARMY,27TH ARMY,CanonicalEntity,Military,27th Army,normalized_label,1.0,
CANONICAL_ENTITY:2ND_ARMY_GROUP,2ND ARMY GROUP,CanonicalEntity,Military,2nd Army Group,normalized_label,1.0,
CANONICAL_ENTITY:2ND_DIVISION,2ND DIVISION,CanonicalEntity,Military,2nd Division,normalized_label,2.0,
CANONICAL_ENTITY:2ND_FIELD_ARMY,2ND FIELD ARMY,CanonicalEntity,Military,2nd Field Army,normalized_label,1.0,
CANONICAL_ENTITY:2ND_GUARDS_MECHANIZED_DIVISION,2ND GUARDS MECHANIZED DIVISION,CanonicalEntity,Military,2nd Guards Mechanized Division,normalized_label,1.0,
CANONICAL_ENTITY:304TH_DIVISION,304TH DIVISION,CanonicalEntity,Military,304th Division,normalized_label,4.0,
CANONICAL_ENTITY:308TH_DIVISION,308TH DIVISION,CanonicalEntity,Military,308th Division,normalized_label,1.0,
CANONICAL_ENTITY:316TH_DIVISION,316TH DIVISION,CanonicalEntity,Military,316th Division,normalized_label,2.0,
CANONICAL_ENTITY:325TH_DIVISION,325TH DIVISION,CanonicalEntity,Military,325th Division,normalized_label,1.0,
CANONICAL_ENTITY:32ND_MECHANIZED_DIVISION,32ND MECHANIZED DIVISION,CanonicalEntity,Military,32nd Mechanized Division,normalized_label,1.0,
CANONICAL_ENTITY:335TH_DIVISION,335TH DIVISION,CanonicalEntity,Military,335th Division,normalized_label,1.0,
CANONICAL_ENTITY:35TH_ARMY,35TH ARMY,CanonicalEntity,Military,35th Army,normalized_label,1.0,
CANONICAL_ENTITY:3RD_INDEPENDENT_REGIMENT,3RD INDEPENDENT REGIMENT,CanonicalEntity,Military,3rd Independent Regiment,normalized_label,1.0,
CANONICAL_ENTITY:3_700_WORKERS,"3,700 WORKERS",CanonicalEntity,Other,"3,700 workers",normalized_label,1.0,
CANONICAL_ENTITY:50TH_AIR_ARMY,50TH AIR ARMY,CanonicalEntity,Military,50th Air Army,normalized_label,1.0,
CANONICAL_ENTITY:527TH_BATTALION,527TH BATTALION,CanonicalEntity,Military,527th Battalion,normalized_label,1.0,
CANONICAL_ENTITY:54TH_BATTALION,54TH BATTALION,CanonicalEntity,Military,54th Battalion,normalized_label,1.0,
CANONICAL_ENTITY:59TH_AIR_ARMY,59TH AIR ARMY,CanonicalEntity,Military,59th Air Army,normalized_label,1.0,
CANONICAL_ENTITY:5TH_FLEET_AIR_FORCE,5TH FLEET AIR FORCE,CanonicalEntity,Military,5th Fleet Air Force,normalized_label,1.0,
CANONICAL_ENTITY:5TH_HUNGARIAN_RIFLE_DIVISION,5TH HUNGARIAN RIFLE DIVISION,CanonicalEntity,Military,5th Hungarian Rifle Division,normalized_label,1.0,
CANONICAL_ENTITY:60TH_ARMY,60TH ARMY,CanonicalEntity,Military,60th Army,normalized_label,1.0,
CANONICAL_ENTITY:62_GROUP,62 GROUP,CanonicalEntity,PoliticalGroup,62 Group,normalized_label,1.0,
CANONICAL_ENTITY:67TH_ARMY,67TH ARMY,CanonicalEntity,Military,67th Army,normalized_label,1.0,
CANONICAL_ENTITY:6TH_BOMBER_CORPS,6TH BOMBER CORPS,CanonicalEntity,Military,6th Bomber Corps,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:6_JANUARY_1961,6 JANUARY 1961,CanonicalEntity,Other,6 January 1961,normalized_label,1.0,
CANONICAL_ENTITY:7TH_DIVISION,7TH DIVISION,CanonicalEntity,Military,7th Division,normalized_label,1.0,
CANONICAL_ENTITY:7TH_FLEET,7TH FLEET,CanonicalEntity,Military,7th Fleet,normalized_label,2.0,
CANONICAL_ENTITY:7TH_GUARDS_MECHANIZED_DIVISION,7TH GUARDS MECHANIZED DIVISION,CanonicalEntity,Military,7th Guards Mechanized Division,normalized_label,1.0,
CANONICAL_ENTITY:7_OPPOSITION_POLITICAL_PARTIES,7 OPPOSITION POLITICAL PARTIES,CanonicalEntity,PoliticalGroup,7 opposition political parties,normalized_label,1.0,
CANONICAL_ENTITY:80TH_BOMBER_CORPS,80TH BOMBER CORPS,CanonicalEntity,Military,80th Bomber Corps,normalized_label,1.0,
CANONICAL_ENTITY:8TH_AND_10TH_BOMBER_DIVISIONS,8TH AND 10TH BOMBER DIVISIONS,CanonicalEntity,Military,8th and 10th Bomber Divisions,normalized_label,1.0,
CANONICAL_ENTITY:9TH_AIR_ARMY,9TH AIR ARMY,CanonicalEntity,Military,9th Air Army,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:AATUF,AATUF,CanonicalEntity,Organization; Other,AATUF,normalized_label,3.0,
CANONICAL_ENTITY:ABADAN,ABADAN,CanonicalEntity,Location,Abadan,normalized_label,14.0,
CANONICAL_ENTITY:ABADAN_REFINERY,ABADAN REFINERY,CanonicalEntity,Location; Other,Abadan refinery,dictionary; normalized_label,7.0,
CANONICAL_ENTITY:ABAKO_PARTY,ABAKO PARTY,CanonicalEntity,PoliticalGroup,Abako party,dictionary; normalized_label,24.0,
CANONICAL_ENTITY:ABAKUMOV,ABAKUMOV,CanonicalEntity,Person,V. S. Abakumov,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:ABBAS_ARAM,ABBAS ARAM,CanonicalEntity,Person,Abbas Aram,normalized_label,2.0,
CANONICAL_ENTITY:ABBAS_PARKHIDEH,ABBAS PARKHIDEH,CanonicalEntity,Person,Abbas Parkhideh,normalized_label,1.0,
CANONICAL_ENTITY:ABBA_EBAN,ABBA EBAN,CanonicalEntity,Person,Abba Eban,normalized_label,1.0,
CANONICAL_ENTITY:ABBOUD,ABBOUD,CanonicalEntity,Person,Premier Abboud,dictionary; normalized_label,17.0,
CANONICAL_ENTITY:ABBOUD_GOVERNMENT,ABBOUD GOVERNMENT,CanonicalEntity,Government,Abboud government,normalized_label,3.0,
CANONICAL_ENTITY:ABBOUD_MILITARY_GOVERNMENT,ABBOUD MILITARY GOVERNMENT,CanonicalEntity,Government,Abboud military government,normalized_label,6.0,
CANONICAL_ENTITY:ABBOUD_MILITARY_REGIME,ABBOUD MILITARY REGIME,CanonicalEntity,Government,Abboud military regime,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:ABDALLAH_AL_RIMAWI,ABDALLAH AL-RIMAWI,CanonicalEntity,Person,Abdallah al-Rimawi,normalized_label,2.0,
CANONICAL_ENTITY:ABDALLAH_AL_YAFI,ABDALLAH AL-YAFI,CanonicalEntity,Person,Abdallah al-Yafi,normalized_label,1.0,
CANONICAL_ENTITY:ABDALLAH_IBRAHIM,ABDALLAH IBRAHIM,CanonicalEntity,Person,Abdullah Ibrahim,dictionary; normalized_label,8.0,
CANONICAL_ENTITY:ABDELKADER_CHANDERLI,ABDELKADER CHANDERLI,CanonicalEntity,Person,Abdelkader Chanderli,normalized_label,2.0,
CANONICAL_ENTITY:ABDELKHALEK_TORRES,ABDELKHALEK TORRES,CanonicalEntity,Person,Abdelkhalek Torres,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:ABDELKRIM_BENJELLOUN,ABDELKRIM BENJELLOUN,CanonicalEntity,Person,Abdelkrim Benjelloun,normalized_label,1.0,
CANONICAL_ENTITY:ABDEL_BEN_DRISS,ABDEL BEN DRISS,CanonicalEntity,Person,Abdel Ben Driss,normalized_label,1.0,
CANONICAL_ENTITY:ABDERRAHIM_BOUABID,ABDERRAHIM BOUABID,CanonicalEntity,Person,Abderrahim Bouabid,normalized_label,1.0,
CANONICAL_ENTITY:ABDERRAHMAN_YOUSSEFI,ABDERRAHMAN YOUSSEFI,CanonicalEntity,Person,Abderrahman Youssefi,normalized_label,1.0,
CANONICAL_ENTITY:ABDIRASCID,ABDIRASCID,CanonicalEntity,Person,Abdirascid Ali Scermarche,dictionary; normalized_label,10.0,
CANONICAL_ENTITY:ABDOH,ABDOH,CanonicalEntity,Person,Abdoh,normalized_label,2.0,
CANONICAL_ENTITY:ABDOLLAH_ENTEZAM,ABDOLLAH ENTEZAM,CanonicalEntity,Person,Abdollah Entezam,normalized_label,1.0,
CANONICAL_ENTITY:ABDOLLAH_MOAZZAMI,ABDOLLAH MOAZZAMI,CanonicalEntity,Person,Abdollah Moazzami,normalized_label,1.0,
CANONICAL_ENTITY:ABDOL_HOSSEIN_HEJAZI,ABDOL HOSSEIN HEJAZI,CanonicalEntity,Person,Abdol Hossein Hejazi,normalized_label,1.0,
CANONICAL_ENTITY:ABDON_PARRA,ABDON PARRA,CanonicalEntity,Person,Abdon Parra,normalized_label,1.0,
CANONICAL_ENTITY:ABDOULAYE_DIALLO,ABDOULAYE DIALLO,CanonicalEntity,Person,Abdoulaye Diallo,normalized_label,1.0,
CANONICAL_ENTITY:ABDULGANI,ABDULGANI,CanonicalEntity,Person,Ruslan Abdulgani,dictionary; normalized_label,9.0,
CANONICAL_ENTITY:ABDULLA,ABDULLA,CanonicalEntity,Person,Abdulla,normalized_label,1.0,
CANONICAL_ENTITY:ABDULLAHI_ISSA,ABDULLAHI ISSA,CanonicalEntity,Person,Abdullahi Issa,normalized_label,4.0,
CANONICAL_ENTITY:ABDULLAH_ABID,ABDULLAH ABID,CanonicalEntity,Person,Abdullah Abid,normalized_label,1.0,
CANONICAL_ENTITY:ABDULLAH_GOVERNMENT,ABDULLAH GOVERNMENT,CanonicalEntity,Government,Abdullah government,normalized_label,1.0,
CANONICAL_ENTITY:ABDULLAH_RIMAWI,ABDULLAH RIMAWI,CanonicalEntity,Person,Abdulla Rimawi,dictionary; normalized_label,4.0,
CANONICAL_ENTITY:ABDULLAH_TARIKI,ABDULLAH TARIKI,CanonicalEntity,Person,Abdullah Tariki,normalized_label,5.0,
CANONICAL_ENTITY:ABDULLAH_YAFI,ABDULLAH YAFI,CanonicalEntity,Person,Abdullah Yafi,normalized_label,3.0,
CANONICAL_ENTITY:ABDULLA_MUBARRAK,ABDULLA MUBARRAK,CanonicalEntity,Person,Abdulla Mubarrak,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_AZIZ_CHOUCHANE,ABDUL AZIZ CHOUCHANE,CanonicalEntity,Person,Abdul Aziz Chouchane,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_GHAFFER_KHAN,ABDUL GHAFFER KHAN,CanonicalEntity,Person,Abdul Ghaffer Khan,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_MAJID_KUBAAR,ABDUL MAJID KUBAAR,CanonicalEntity,Person,Abdul Majid Kubaar,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_MONEM_RIFAI,ABDUL MONEM RIFAI,CanonicalEntity,Person,Abdul Monem Rifai,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_RAHMAN,ABDUL RAHMAN,CanonicalEntity,Person,Abdul Rahman,dictionary; normalized_label,4.0,
CANONICAL_ENTITY:ABDUL_RAHMAN_AZZAM,ABDUL RAHMAN AZZAM,CanonicalEntity,Person,Abdul Rahman Azzam,normalized_label,1.0,
CANONICAL_ENTITY:ABDUL_RAZAK,ABDUL RAZAK,CanonicalEntity,Person,Razak,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ABDUL_RAZEK,ABDUL RAZEK,CanonicalEntity,Person,Abdul Razek,normalized_label,1.0,
CANONICAL_ENTITY:ABDUS_SATTAR_SHALIZI,ABDUS SATTAR SHALIZI,CanonicalEntity,Person,Abdus Sattar Shalizi,normalized_label,1.0,
CANONICAL_ENTITY:ABDYL_KELLEZI,ABDYL KELLEZI,CanonicalEntity,Person,Abdyl Kellezi,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ABD_AL_GHAFFAR,ABD AL-GHAFFAR,CanonicalEntity,Person,Abd al-Ghaffar,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_HAMID_BADAWI_PASHA,ABD-AL HAMID BADAWI PASHA,CanonicalEntity,Person,Abd-al Hamid Badawi Pasha,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_HAMID_SARRAJ,ABD AL-HAMID SARRAJ,CanonicalEntity,Person,Major Abd al-Hamid Sarraj,dictionary; normalized_label,10.0,
CANONICAL_ENTITY:ABD_AL_KARIM,ABD AL-KARIM,CanonicalEntity,Person,Abd al-Karim,normalized_label,2.0,
CANONICAL_ENTITY:ABD_AL_LATIF_BAGHDADI,ABD AL-LATIF BAGHDADI,CanonicalEntity,Person,Abd al-Latif Baghdadi,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_MAJID_KUBAAR,ABD AL-MAJID KUBAAR,CanonicalEntity,Person,Abd al-Majid Kubaar,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_MUNIM_AL_QAYSUNI,ABD AL-MUNIM AL-QAYSUNI,CanonicalEntity,Person,Abd al-Munim al-Qaysuni,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_QADIR_ISMAIL_BUSTANI,ABD AL-QADIR ISMAIL BUSTANI,CanonicalEntity,Person,Abd al-Qadir Ismail Bustani,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_RAHMAN_BAKIR,ABD AL-RAHMAN BAKIR,CanonicalEntity,Person,Abd al-Rahman Bakir,normalized_label,1.0,
CANONICAL_ENTITY:ABD_AL_WAHHAB_MIRJAN,ABD AL-WAHHAB MIRJAN,CanonicalEntity,Person,Abd al-Wahhab Mirjan,normalized_label,1.0,
CANONICAL_ENTITY:ABIDJAN,ABIDJAN,CanonicalEntity,Location,Abidjan,normalized_label,1.0,
CANONICAL_ENTITY:ABOL_HASSAN_EBTEHAJ,ABOL HASSAN EBTEHAJ,CanonicalEntity,Person,Abol Hassan Ebtehaj,normalized_label,2.0,
CANONICAL_ENTITY:ABRAMOV,ABRAMOV,CanonicalEntity,Person,Abramov,normalized_label,11.0,
CANONICAL_ENTITY:ABUL_PANAHI,ABUL PANAHI,CanonicalEntity,Person,Abul Panahi,normalized_label,1.0,
CANONICAL_ENTITY:ABU_ZAID,ABU ZAID,CanonicalEntity,Person,Abu Zaid,normalized_label,1.0,
CANONICAL_ENTITY:ABYAN_COTTON_GROWING_DISTRICT,ABYAN COTTON-GROWING DISTRICT,CanonicalEntity,Location,Abyan cotton-growing district,normalized_label,1.0,
CANONICAL_ENTITY:ABYE,ABYE,CanonicalEntity,Person,Abye,normalized_label,1.0,
CANONICAL_ENTITY:ACADEMY_OF_ARTILLERY_SCIENCES,ACADEMY OF ARTILLERY SCIENCES,CanonicalEntity,Organization,Academy of Artillery Sciences,normalized_label,1.0,
CANONICAL_ENTITY:ACADEMY_OF_SCIENCES_USSR,"ACADEMY OF SCIENCES, USSR",CanonicalEntity,Organization,"Academy of Sciences, USSR",normalized_label,1.0,
CANONICAL_ENTITY:ACCION_DEMOCRATICA,ACCION DEMOCRATICA,CanonicalEntity,PoliticalGroup,Accion Democratica,normalized_label,1.0,
CANONICAL_ENTITY:ACCRA,ACCRA,CanonicalEntity,Location,Accra,normalized_label,20.0,
CANONICAL_ENTITY:ACHDUT_HAAVODA,ACHDUT HAAVODA,CanonicalEntity,PoliticalGroup,Achdut Haavoda,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:ACHILLES,ACHILLES,CanonicalEntity,Person,Achilles,dictionary; normalized_label,5.0,
CANONICAL_ENTITY:ACHMAD_HUSSEIN,ACHMAD HUSSEIN,CanonicalEntity,Person,Achmad Hussein,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_CHIEF_OF_STAFF_LUBIS,ACTING CHIEF OF STAFF LUBIS,CanonicalEntity,Military,Acting Chief of Staff Lubis,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_CHIEF_OF_STATE_OF_SOUTH_KOREA,ACTING CHIEF OF STATE OF SOUTH KOREA,CanonicalEntity,Person,Acting chief of state of South Korea,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_FOREIGN_MINISTER_ZORLU,ACTING FOREIGN MINISTER ZORLU,CanonicalEntity,Person,Acting Foreign Minister Zorlu,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_GOVERNOR_GENERAL_MIRZA,ACTING GOVERNOR GENERAL MIRZA,CanonicalEntity,Person,Acting Governor General Mirza,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_PRESIDENT_GUIDO,ACTING PRESIDENT GUIDO,CanonicalEntity,Person,Acting President Guido,normalized_label,1.0,
CANONICAL_ENTITY:ACTING_PRIME_MINISTER_QUAT,ACTING PRIME MINISTER QUAT,CanonicalEntity,Person,Acting Prime Minister Quat,normalized_label,1.0,
CANONICAL_ENTITY:ACTION_GROUP,ACTION GROUP,CanonicalEntity,PoliticalGroup,Action Group,normalized_label,1.0,
CANONICAL_ENTITY:ACTION_GROUP_AG,ACTION GROUP (AG),CanonicalEntity,PoliticalGroup,Action Group (AG),normalized_label,1.0,
CANONICAL_ENTITY:ACT_OF_SANTIAGO,ACT OF SANTIAGO,CanonicalEntity,Document,Act of Santiago,normalized_label,1.0,
CANONICAL_ENTITY:ADAMAFIO,ADAMAFIO,CanonicalEntity,Person,Adamafio,normalized_label,1.0,
CANONICAL_ENTITY:ADAMS,ADAMS,CanonicalEntity,Person,Adams,normalized_label,1.0,
CANONICAL_ENTITY:ADDIS_ABABA,ADDIS ABABA,CanonicalEntity,Location,Addis Ababa,normalized_label,24.0,
CANONICAL_ENTITY:ADDITIONAL_MEASURES_COMMITTEE_OF_THE_UN,ADDITIONAL MEASURES COMMITTEE OF THE UN,CanonicalEntity,Organization,Additional Measures Committee of the UN,normalized_label,1.0,
CANONICAL_ENTITY:ADDU_ATOLL,ADDU ATOLL,CanonicalEntity,Location,Addu Atoll,normalized_label,2.0,
CANONICAL_ENTITY:ADEN,ADEN,CanonicalEntity,Location,Aden,dictionary; normalized_label,11.0,
CANONICAL_ENTITY:ADENAUER,ADENAUER,CanonicalEntity,Person,Chancellor Adenauer,dictionary; normalized_label,457.0,
CANONICAL_ENTITY:ADENAUERS_CHRISTIAN_DEMOCRATS,ADENAUERS CHRISTIAN DEMOCRATS,CanonicalEntity,PoliticalGroup,Adenauer's Christian Democrats,normalized_label,1.0,
CANONICAL_ENTITY:ADENAUER_COALITION,ADENAUER COALITION,CanonicalEntity,PoliticalGroup,Adenauer coalition,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:ADENAUER_GOVERNMENT,ADENAUER GOVERNMENT,CanonicalEntity,Government; PoliticalGroup,Adenauer government,dictionary; normalized_label,15.0,
CANONICAL_ENTITY:ADENAUER_SUPPORTERS,ADENAUER SUPPORTERS,CanonicalEntity,PoliticalGroup,Adenauer supporters,normalized_label,1.0,
CANONICAL_ENTITY:ADEN_ABDULLAH,ADEN ABDULLAH,CanonicalEntity,Person,Aden Abdullah Osman,dictionary; normalized_label,3.0,
CANONICAL_ENTITY:ADEN_PROTECTORATE,ADEN PROTECTORATE,CanonicalEntity,Location,Aden Protectorate,dictionary; normalized_label,12.0,
CANONICAL_ENTITY:ADEN_PROTECTORATE_FEDERATION,ADEN PROTECTORATE FEDERATION,CanonicalEntity,Organization,Aden Protectorate Federation,normalized_label,1.0,
CANONICAL_ENTITY:ADHEMAR_DE_BARROS,ADHEMAR DE BARROS,CanonicalEntity,Person,Adhemar de Barros,normalized_label,2.0,
CANONICAL_ENTITY:ADJEI,ADJEI,CanonicalEntity,Person,Adjei,normalized_label,1.0,
CANONICAL_ENTITY:ADLAI_STEVENSON,ADLAI STEVENSON,CanonicalEntity,Person,Adlai Stevenson,normalized_label,2.0,
CANONICAL_ENTITY:ADMIRAL_AUBOYNEAU,ADMIRAL AUBOYNEAU,CanonicalEntity,Military,Admiral Auboyneau,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_BURKE,ADMIRAL BURKE,CanonicalEntity,Person,Admiral Burke,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_CARNEY,ADMIRAL CARNEY,CanonicalEntity,Military; Person,Admiral Carney,normalized_label,3.0,
CANONICAL_ENTITY:ADMIRAL_DOYLE,ADMIRAL DOYLE,CanonicalEntity,Person,Admiral Doyle,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_FECHTELER,ADMIRAL FECHTELER,CanonicalEntity,Person,Admiral Fechteler,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ADMIRAL_KWEI,ADMIRAL KWEI,CanonicalEntity,Person,Admiral Kwei,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_MANOLA,ADMIRAL MANOLA,CanonicalEntity,Person,Admiral Manola,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_MARTADINATA,ADMIRAL MARTADINATA,CanonicalEntity,Person,Admiral Martadinata,normalized_label,2.0,
CANONICAL_ENTITY:ADMIRAL_MCCORMICK,ADMIRAL MCCORMICK,CanonicalEntity,Person,Admiral McCormick,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_MOUNTBATTEN,ADMIRAL MOUNTBATTEN,CanonicalEntity,Person,Admiral Mountbatten,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_NIMITZ,ADMIRAL NIMITZ,CanonicalEntity,Person,Admiral Nimitz,normalized_label,5.0,
CANONICAL_ENTITY:ADMIRAL_PENNA_BOTTO,ADMIRAL PENNA BOTTO,CanonicalEntity,Person,Admiral Penna Botto,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_QUERVILLE,ADMIRAL QUERVILLE,CanonicalEntity,Person,Admiral Querville,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_QUINTAO_MEIRELES,ADMIRAL QUINTAO MEIRELES,CanonicalEntity,Person,Admiral Quintao Meireles,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_RADFORD,ADMIRAL RADFORD,CanonicalEntity,Person,Admiral Radford,normalized_label,3.0,
CANONICAL_ENTITY:ADMIRAL_RASHID,ADMIRAL RASHID,CanonicalEntity,Person,Admiral Rashid,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_REFET_ARKUN,ADMIRAL REFET ARKUN,CanonicalEntity,Person,Admiral Refet Arkun,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_RUBEN_PIEDRAHITA,ADMIRAL RUBEN PIEDRAHITA,CanonicalEntity,Person,Admiral Ruben Piedrahita,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_SMOOT,ADMIRAL SMOOT,CanonicalEntity,Person,Admiral Smoot,normalized_label,2.0,
CANONICAL_ENTITY:ADMIRAL_S_G_GORSHKOV,ADMIRAL S. G. GORSHKOV,CanonicalEntity,Person,Admiral S. G. Gorshkov,normalized_label,1.0,
CANONICAL_ENTITY:ADMIRAL_USHAKOV,ADMIRAL USHAKOV,CanonicalEntity,Military; Other,Admiral Ushakov,normalized_label,4.0,
CANONICAL_ENTITY:ADMIRAL_WOLFGANG_LARRAZABAL,ADMIRAL WOLFGANG LARRAZABAL,CanonicalEntity,Person,Admiral Larrazabal,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ADMIRAL_WRIGHT,ADMIRAL WRIGHT,CanonicalEntity,Person,Wright,dictionary; normalized_label,2.0,
CANONICAL_ENTITY:ADNAN_ATASI,ADNAN ATASI,CanonicalEntity,Person,Adnan Atasi,normalized_label,1.0,
CANONICAL_ENTITY:ADNAN_MALKI,ADNAN MALKI,CanonicalEntity,Person,Adnan Malki,normalized_label,1.0,
CANONICAL_ENTITY:ADNAN_MENDERES,ADNAN MENDERES,CanonicalEntity,Person,Adnan Menderes,normalized_label,3.0,
CANONICAL_ENTITY:ADNAN_PACHACHI,ADNAN PACHACHI,CanonicalEntity,Person,Adnan Pachachi,normalized_label,1.0,
CANONICAL_ENTITY:ADOLFO_LOPEZ_MATEOS,ADOLFO LOPEZ MATEOS,CanonicalEntity,Person,Adolfo Lopez Mateos,normalized_label,1.0,
CANONICAL_ENTITY:ADOLF_EICHMANN,ADOLF EICHMANN,CanonicalEntity,Person,Adolf Eichmann,normalized_label,1.0,
