node_key,label,node_type,member_count,top_labels
LEVEL3_COMMUNITY:20,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02,LEVEL3_COMMUNITY,1,CHITOSE AIR FORCE BASE; IWAKUNI NAVAL AIR STATION; Soviet Fighter Attack | A US reconnaissance aircraft was attacked by Soviet aircraft while over international waters. | Violence | 1957-05-02
LEVEL3_COMMUNITY:21,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT,LEVEL3_COMMUNITY,1,BRITISH HIGH COMMISSIONERS; FRENCH HIGH COMMISSIONERS; SOVIET EFFORT
LEVEL3_COMMUNITY:22,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14,LEVEL3_COMMUNITY,1,SAUDI ARABIAN DEPUTY DEFENSE MINISTER; Transfer of POWs | Chou En-lai seeks transfer of POWs from American to 'neutral' control. | Negotiation | 1952-11-14; Arms Preference Statement | Saudi Arabian Deputy Defense Minister favors European arms over American arms. | PolicyAction | 1952-11-14
LEVEL3_COMMUNITY:23,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959",LEVEL3_COMMUNITY,1,"BRITISH MILITARY ADVISER; SUBAH FAMILY; Alert of Iraqi forces | Iraqi tank units and divisional security units were alerted due to tensions. | MilitaryAction | April 4, 1959"
LEVEL3_COMMUNITY:24,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other,LEVEL3_COMMUNITY,1,BERLIN FESTIVAL; COMMITTEE FOR WORLD YOUTH FRIENDSHIP AND CULTURAL EXCHANGE; Berlin Festival Participation | American participation organized by the Committee for World Youth Friendship and Cultural Exchange. | Other
LEVEL3_COMMUNITY:25,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05,LEVEL3_COMMUNITY,1,CHINESE-KOREAN HEADQUARTERS; NORTH KOREAN GENERAL HEADQUARTERS; Soviet tactical units movement | Soviet infantry and artillery units moved south of the Chongchon river in northwestern Korea. | MilitaryAction | 1952-05
LEVEL3_COMMUNITY:26,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS,LEVEL3_COMMUNITY,1,ECONOMY MINISTER KUBBA; HEALTH MINISTER SHAWWAF; COMMUNIST PARTY DEMANDS
LEVEL3_COMMUNITY:27,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15,LEVEL3_COMMUNITY,1,HUNGARIAN ALUMINUM; RHEE AGENTS; Chinese concession on POWs | Discussion of proposals for solving the prisoner-of-war question | Negotiation | 1952-06-15
LEVEL3_COMMUNITY:28,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04,LEVEL3_COMMUNITY,1,COMET; DINO GENTILI; Replacement of Soviet Mission Chief | Japan consents to the USSR's request to replace the chief of its unrecognized mission. | Negotiation | 1956-05-04
LEVEL3_COMMUNITY:29,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH,LEVEL3_COMMUNITY,1,ARCHBISHOP WYSZYNSKI; CARDINAL SAPIEHA; POLISH CATHOLIC CHURCH
LEVEL3_COMMUNITY:30,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction",LEVEL3_COMMUNITY,1,"ARABS LIVING IN ISRAEL; LEBANESE FRONTIER; Possible operations within Israel | Reported operations involving 35 men, including village chiefs. | MilitaryAction"
LEVEL3_COMMUNITY:31,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953,LEVEL3_COMMUNITY,1,ANGLO-EGYPTIAN NEGOTIATIONS; JAPANESE DEFENSE OFFICIALS; Anglo-Egyptian negotiations | Informal talks suspended due to disagreements over British technicians' uniforms. | Negotiation | 23 September 1953
LEVEL3_COMMUNITY:32,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31",LEVEL3_COMMUNITY,1,"GUEVARA GROUP; MANCHENO; Student and Laborer Parade | A parade of students, laborers, and leftist political parties that turned violent. | Demonstration | 1951-03-31"
LEVEL3_COMMUNITY:33,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October,LEVEL3_COMMUNITY,1,LEBANESE EMBASSY; SOVIET-IRANIAN FISHERIES; Pressure against Iranian nationalization | Soviet official directed the discharge of Iranian employees discussing nationalization. | PolicyAction | October
LEVEL3_COMMUNITY:34,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction,LEVEL3_COMMUNITY,1,INTRANSIGENT RADICAL CIVIC UNION; PEOPLES RADICAL CIVIC UNION; Economic reorganization in China | New regulations issued to decentralize industry and manage labor force. | PolicyAction
LEVEL3_COMMUNITY:35,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0,LEVEL3_COMMUNITY,1,NORTH KOREAN COMMUNIST LEADERSHIP; SOUTH KOREAN LABOR PARTY; Bilateral talks suggestion | The Soviet ambassador suggested bilateral talks with France regarding the German problem. | Communication | 1953-07-31 to 1953-08-0
LEVEL3_COMMUNITY:36,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication,LEVEL3_COMMUNITY,1,LIEUTENANT COLONEL TASWIN; PHILIPPINE FOREIGN MINISTRY; Request for Information | The Philippine Foreign Ministry requested up-to-date reports on the status of U.S. armed forces or bases. | Communication
LEVEL3_COMMUNITY:37,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT,LEVEL3_COMMUNITY,1,DEFENSE SECRETARY GOSNJAK; YUGOSLAV PARLIAMENT
LEVEL3_COMMUNITY:38,NATIONAL YOUTH CORPS; TAIPEI RIOTS,LEVEL3_COMMUNITY,1,NATIONAL YOUTH CORPS; TAIPEI RIOTS
LEVEL3_COMMUNITY:39,DEAN RUSK; TOKYO CONFERENCE,LEVEL3_COMMUNITY,1,DEAN RUSK; TOKYO CONFERENCE
LEVEL3_COMMUNITY:40,LIBYANS; LIBYAN COUNCIL OF MINISTERS,LEVEL3_COMMUNITY,1,LIBYANS; LIBYAN COUNCIL OF MINISTERS
LEVEL3_COMMUNITY:41,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY,LEVEL3_COMMUNITY,1,INDONESIAN DIPLOMATS; RUSSIAN EMBASSY
LEVEL3_COMMUNITY:42,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON,LEVEL3_COMMUNITY,1,GENERAL GOES MONTEIRO; US AMBASSADOR JOHNSON
LEVEL3_COMMUNITY:43,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION,LEVEL3_COMMUNITY,1,LAOTIAN PEOPLES LIBERATION ARMY; LAOS INVASION
LEVEL3_COMMUNITY:44,VLADIMIR USTINOV; YEKATERINA FURTSEVA,LEVEL3_COMMUNITY,1,VLADIMIR USTINOV; YEKATERINA FURTSEVA
LEVEL3_COMMUNITY:45,CHILEAN CABINET; LABOR MINISTER FONCEA,LEVEL3_COMMUNITY,1,CHILEAN CABINET; LABOR MINISTER FONCEA
LEVEL3_COMMUNITY:46,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY,LEVEL3_COMMUNITY,1,CONFEDERATION OF ECUADORAN WORKERS (CTE); MANABI EXPLORATION COMPANY
LEVEL3_COMMUNITY:47,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1,LEVEL3_COMMUNITY,1,EAST GERMAN MINISTRY OF TRANSPORT; Planning of post-ratification measures | East German Ministry of Transport conferred on propaganda activity and measures against West Berlin. | PolicyAction | 1
LEVEL3_COMMUNITY:48,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER,LEVEL3_COMMUNITY,1,DE GASPERI CABINET; EAST GERMAN SECURITY MINISTER
LEVEL3_COMMUNITY:49,ISRAELI TROOPS; UN OBSERVER HUTCHISON,LEVEL3_COMMUNITY,1,ISRAELI TROOPS; UN OBSERVER HUTCHISON
LEVEL3_COMMUNITY:50,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER,LEVEL3_COMMUNITY,1,EGYPTIAN GOVERNMENT-CONTROLLED NEWS AGENCY; LEBANESE OPPOSITION LEADER
LEVEL3_COMMUNITY:51,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13,LEVEL3_COMMUNITY,1,MENAHIM BEGIN; Rally by Menahim Begin | Menahim Begin spoke about Israel's existence being in balance due to the Suez Canal dispute. | Speech | 1956-08-13
LEVEL3_COMMUNITY:52,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY,LEVEL3_COMMUNITY,1,IRKUTSK AUTOMOBILE ASSEMBLY PLANT; MINISTRY OF THE COMMUNICATIONS EQUIPMENT INDUSTRY
LEVEL3_COMMUNITY:53,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951,LEVEL3_COMMUNITY,1,PERON GOVERNMENT; diplomatic approaches | The Peron government made diplomatic approaches aimed at settling pending problems with the United States. | Communication | 1950-1951
LEVEL3_COMMUNITY:54,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech,LEVEL3_COMMUNITY,1,PHAN VAN DONG; Viet Minh foreign minister's statement | Phan Van Dong voices lack of confidence in 'the East'. | Speech
LEVEL3_COMMUNITY:55,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ,LEVEL3_COMMUNITY,1,PRESIDENT-DESIGNATE URDANETA; PRESIDENT GOMEZ
LEVEL3_COMMUNITY:56,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25,LEVEL3_COMMUNITY,1,RADIO BUDAPEST; Broadcast Appeals | Radio Budapest broadcasts appeals from leaders to end bloodshed. | Communication | 1956-10-25
LEVEL3_COMMUNITY:57,SHAMMAR; YAZIDI,LEVEL3_COMMUNITY,1,SHAMMAR; YAZIDI
LEVEL3_COMMUNITY:58,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY,LEVEL3_COMMUNITY,1,POLISH ARMED FORCES; SOVIET MARSHAL ROKOSSOVSKY
LEVEL3_COMMUNITY:59,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS,LEVEL3_COMMUNITY,1,TSHOMBES FORCES; UNION OF NEGRO LABORERS AND ARTISANS
LEVEL3_COMMUNITY:60,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08,LEVEL3_COMMUNITY,1,CHEN SHAO-KUAN; Defection Appeals | Chen Shao-kuan advised military and administrative personnel in Taiwan to oppose US imperialism. | Communication | 1958-10-08
LEVEL3_COMMUNITY:61,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961",LEVEL3_COMMUNITY,1,"KOREAN UNEMPLOYED ASSOCIATION; Demonstration in Seoul | A demonstration by 2,000 members of the Korean Unemployed Association criticizing the government. | Demonstration | 23 March 1961"
LEVEL3_COMMUNITY:62,BRITISH PROPOSALS; SOVIET BROADCAST,LEVEL3_COMMUNITY,1,BRITISH PROPOSALS; SOVIET BROADCAST
LEVEL3_COMMUNITY:63,MINDAN; DEMONSTRATION,LEVEL3_COMMUNITY,1,MINDAN; DEMONSTRATION
LEVEL3_COMMUNITY:64,GAJEWSKI; POZNAN RIOTS,LEVEL3_COMMUNITY,1,GAJEWSKI; POZNAN RIOTS
LEVEL3_COMMUNITY:65,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS,LEVEL3_COMMUNITY,1,PUBLIC LECTURER IN MOSCOW; US SOVIET RELATIONS
