community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary,community,display_label
11,COMMUNITY:11,ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY,"U.S. reporting, diplomacy, and intelligence assessment",254,ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY; AMBASSADOR JACOBS; AMERICAN PETROLEUM COMPANIES; AMERICAN UNIVERSITY; ARGENTINE EMBASSY; ASIAN SOCIALIST CONFERENCE; ASSOCIATION OF JOURNALISTS; AVIDAR; BERMAN; BIERUT; BISHOP CHOROMANSKI; BISON,"{""CanonicalEntity"": 174, ""EventCluster"": 80}",This group connects 254 lower-level nodes around: ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY; AMBASSADOR JACOBS; AMERICAN PETROLEUM COMPANIES; AMERICAN UNIVERSITY; ARGENTINE EMBASSY.,11,ADMIRAL REFET ARKUN; AEGEAN SEA; AGFA FILM FACTORY; ALBANIAN WORKERS (COMMUNIST) PARTY
12,COMMUNITY:12,10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961,"Military posture, security forces, and regime stability",225,10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961; 2ND FIELD ARMY; 6 JANUARY 1961; AFGHAN ARMY UNIFORM FACTORY; AKSEL LARSEN; ALAN WINNINGTON; ALBANIAN NATIONAL COMMITTEE; AMERICAN JOINT CHIEFS OF STAFF; AMERICAN MINISTER THAYER; ANADYR; ANTWERP; ARGENTINE COMMUNISTS,"{""CanonicalEntity"": 155, ""EventCluster"": 70}",This group connects 225 lower-level nodes around: 10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961; 2ND FIELD ARMY; 6 JANUARY 1961; AFGHAN ARMY UNIFORM FACTORY; AKSEL LARSEN.,12,10TH ARTILLERY DIVISION; 11TH ARMY; 13TH ARMY; 16 MAY 1961
13,COMMUNITY:13,AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY,Labor unrest and internal political pressure,188,AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY; AMERICAN TROOPS; ANDRES OTERO; ANEURIN BEVAN; ANTHONY EDEN; ANTONIO ALVAREZ RESTREPO; ANTONIO RODRIGUEZ; APRA; ATTLEE; BELGIAN CIVILIAN ADVISERS; BELGIAN-CONTROLLED MINING COMPANY; BRITISH LABORITES,"{""CanonicalEntity"": 118, ""EventCluster"": 70}",This group connects 188 lower-level nodes around: AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY; AMERICAN TROOPS; ANDRES OTERO; ANEURIN BEVAN; ANTHONY EDEN.,13,AHMAD HUSSEIN; AMALGAMATED ENGINEERING UNION; AMERICAN CONSUL GENERAL IN SALISBURY; AMERICAN PETROLEUM COMPANY
14,COMMUNITY:14,ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY,ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY,150,ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY; AMBASSADOR DONOVAN; AMBASSADOR YOUNG; AMERICAN CHARGE; AMERICAN GUARDS; AMERICAN MINISTER; AMERICAN-OWNED COPPER COMPANIES; ANACONDA; AUSTRIAN MINISTER OF INTERIOR HELMER; AVERKY ARISTOV; BECHIR BEY SAADAWI; BENGHAZI,"{""CanonicalEntity"": 101, ""EventCluster"": 49}",This group connects 150 lower-level nodes around: ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY; AMBASSADOR DONOVAN; AMBASSADOR YOUNG; AMERICAN CHARGE; AMERICAN GUARDS.,14,ABDULLAH ABID; ABD AL-MAJID KUBAAR; ALBANIAN COUNCIL OF MINISTERS; AMBASSADOR CAFFREY
15,COMMUNITY:15,ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID,ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID,125,ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID; ABDERRAHMAN YOUSSEFI; ABDOL HOSSEIN HEJAZI; AGADIR PROVINCE; AHMED BALAFREJ; ALLAL EL-FASSI; ALLIED REPRESENTATIVES; AMERICAN AIR FORCE; AS SABAH; AT TAHRIR; AZIZOLLAH KAMAL; BANK OF INDONESIA,"{""CanonicalEntity"": 88, ""EventCluster"": 37}",This group connects 125 lower-level nodes around: ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID; ABDERRAHMAN YOUSSEFI; ABDOL HOSSEIN HEJAZI; AGADIR PROVINCE; AHMED BALAFREJ.,15,ABDALLAH IBRAHIM; ABDELKHALEK TORRES; ABDEL BEN DRISS; ABDERRAHIM BOUABID
16,COMMUNITY:16,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS,"U.S. reporting, diplomacy, and intelligence assessment",68,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; BOLZANO PROVINCE; BRIGADIER GENERAL KIM YUN-KUN; BRITISH SOMALILAND PROTECTORATE; CARTER MAGRUDER; CHANG MYON ADMINISTRATION; CHANG TO-YONG; CHOE KYONG-NOK; CHOE YONG-HUI; DR. YU CHIN-O; HAWIYA; ISSA,"{""CanonicalEntity"": 48, ""EventCluster"": 20}",This group connects 68 lower-level nodes around: ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS; BOLZANO PROVINCE; BRIGADIER GENERAL KIM YUN-KUN; BRITISH SOMALILAND PROTECTORATE; CARTER MAGRUDER.,16,ALGERIANS; BAGHDAD UNIVERSITY; BANK OF KOREA; BELGIAN OFFICIALS
17,COMMUNITY:17,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE),"Oil, energy infrastructure, and economic leverage",27,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); DR. JALAL ABDOH; GADJA MADA; GOODYEARS WINGFOOT ESTATE; INDONESIAN MERCHANT MARINE; INDONESIAN NAVY; KARAMI; KORPS COMMANDO - KKO; LT. COL. JOHN LIE; MUARA MAHAT; SURABAJA; TRANS-ARABIAN PIPELINE COMPANY,"{""CanonicalEntity"": 18, ""EventCluster"": 9}",This group connects 27 lower-level nodes around: AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE); DR. JALAL ABDOH; GADJA MADA; GOODYEARS WINGFOOT ESTATE; INDONESIAN MERCHANT MARINE.,17,AURI; BITUNG; BRETAGNE; COMMUNIST PARTY OF GREECE (KKE)
18,COMMUNITY:18,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY,"Soviet policy, leadership, and bloc maneuvering",10,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; LIBYAN DEFENSE MINISTER JERBI; PORT ARTHUR NAVAL BASE AREA; SINO-SOVIET TREATY OF 1950; TURKISH OFFICER YETISAL; Chinese Communist mission to Moscow | Chinese Communist mission seeking increased Soviet assistance for economic and military development | Communication | 1952; Appointment of Turkish officer to Libyan Army | Recommendation for a Turkish officer to be appointed as Commander in Chief of the Libyan Army | PolicyAction,"{""CanonicalEntity"": 8, ""EventCluster"": 2}",This group connects 10 lower-level nodes around: CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY; LIBYAN DEFENSE MINISTER JERBI; PORT ARTHUR NAVAL BASE AREA; SINO-SOVIET TREATY OF 1950; TURKISH OFFICER YETISAL.,18,CHANGCHUN RAILWAY; IRANIAN KURDS; LAHUNI CHIEFS; LIBYAN ARMY
19,COMMUNITY:19,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR,"U.S. reporting, diplomacy, and intelligence assessment",9,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; LEGISLATIVE YUAN; O. K. YUI; STATUS-OF-FORCES AGREEMENT; Impeachment of O. K. Yui | The Control Yuan impeached Premier O. K. Yui on charges of dereliction of duty. | Other | 1957-12-23; End of fighting agreement | Muzakkar agreed to end fighting between his forces and pro-Djakarta officials. | Other,"{""CanonicalEntity"": 7, ""EventCluster"": 2}",This group connects 9 lower-level nodes around: CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR; LEGISLATIVE YUAN; O. K. YUI; STATUS-OF-FORCES AGREEMENT; Impeachment of O. K. Yui | The Control Yuan impeached Premier O. K. Yui on charges of dereliction of duty. | Other | 1957-12-23.,19,CONTROL YUAN; DJUANDA GOVERNMENT; JUSUF; KAHAR MUZAKKAR
20,COMMUNITY:20,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE,"U.S. reporting, diplomacy, and intelligence assessment",9,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; HAGI MUSA BOGOR; HAWIAS; SOMALI YOUTH LEAGUE; VYACHESLAV MOLOTOV; Protests in Somalia | Planned protests against the American Embassy and Ethiopian Consulate General by the Greater Somalia League and other groups. | Demonstrat,"{""CanonicalEntity"": 8, ""EventCluster"": 1}",This group connects 9 lower-level nodes around: DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE; HAGI MUSA BOGOR; HAWIAS; SOMALI YOUTH LEAGUE; VYACHESLAV MOLOTOV.,20,DAROTS; ETHIOPIAN CONSULATE GENERAL; ETHIOPIAN SECURITY FORCES; GREATER SOMALIA LEAGUE
21,COMMUNITY:21,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK,"U.S. reporting, diplomacy, and intelligence assessment",8,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; SOCIALIST-LIBERAL COALITION CABINET; VAN ACKER; Agreement on Saudi oil transport | Agreement granting Onassis' company exclusive rights to transport Saudi oil. | Negotiation | 1953-12-31; EUROPEAN INTEGRATION,"{""CanonicalEntity"": 7, ""EventCluster"": 1}",This group connects 8 lower-level nodes around: ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK; SOCIALIST-LIBERAL COALITION CABINET; VAN ACKER; Agreement on Saudi oil transport | Agreement granting Onassis' company exclusive rights to transport Saudi oil. | Negotiation | 1953-12-31; EUROPEAN INTEGRATION.,21,ANSEELE; BELGIAN CABINET; LAROCK; PAUL-HENRI SPAAK
22,COMMUNITY:22,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI,"Soviet policy, leadership, and bloc maneuvering",8,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; ZARYA VOSTOKA; Public disorders in Georgia | Demonstrations protesting against the attacks on Stalin's reputation | Demonstration | 1956-03-07; Algerian economy near-collapse | Algerian economy reported in a state of near-collapse due to rebel attacks | EconomicAction; Tripartite Appeal Suggestion | Pineau suggested a meeting of French-British-American ministers to appeal to the USSR regarding the Near East arms race. | Meetin,"{""CanonicalEntity"": 5, ""EventCluster"": 3}",This group connects 8 lower-level nodes around: FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI; ZARYA VOSTOKA; Public disorders in Georgia | Demonstrations protesting against the attacks on Stalin's reputation | Demonstration | 1956-03-07; Algerian economy near-collapse | Algerian economy reported in a state of near-collapse due to rebel attacks | EconomicAction; Tripartite Appeal Suggestion | Pineau suggested a meeting of French-British-American ministers to appeal to the USSR regarding the Near East arms race. | Meetin.,22,FRENCH PRESIDENT OF THE ALGERIAN FEDERATION OF MAYORS; OUENZA IRON MINE; SWEDISH DIPLOMATS; TBILISI
23,COMMUNITY:23,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT,"U.S. reporting, diplomacy, and intelligence assessment",7,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT; WEST IRIAN LIBERATION FRONT; YI HO; Warning of violence | An official warned that violence could occur if Dutch warships entered Indonesian waters. | Violence | 1960-04-23,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",This group connects 7 lower-level nodes around: DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT; WEST IRIAN LIBERATION FRONT; YI HO; Warning of violence | An official warned that violence could occur if Dutch warships entered Indonesian waters. | Violence | 1960-04-23.,23,DUTCH WARSHIPS; KIM CHUNG-YOL; KWON SUNG-YOL; SUKARNO GOVERNMENT
24,COMMUNITY:24,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER,7,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER; PAUL MERKER; WILLI KREIKEMEYER; Purge trial of East German Reds | Preparations may be under way to try a number of once prominent Communists in East Germany. | Other,"{""CanonicalEntity"": 6, ""EventCluster"": 1}",This group connects 7 lower-level nodes around: ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER; PAUL MERKER; WILLI KREIKEMEYER; Purge trial of East German Reds | Preparations may be under way to try a number of once prominent Communists in East Germany. | Other.,24,ANNA SEGHERS; ARNOLD ZWEIG; DEPUTY PRIME MINISTER RAU; GERHARD EISLER
