normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
THE DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,105,105,Government; Organization,The Department of Defense,True
US EMBASSY,US EMBASSY,105,97,Organization,US Embassy; US embassy,False
PRESIDENT RHEE,RHEE,104,96,Person,President Rhee,True
GERMANY,GERMANY,102,97,Country; Location,Germany,False
FIDEL CASTRO,FIDEL CASTRO,102,78,Person,Fidel Castro,False
ARAB LEAGUE,ARAB LEAGUE,101,85,Organization; PoliticalGroup,Arab League,False
MOLOTOV,MOLOTOV,98,92,Person,Molotov,False
VIETNAM,VIETNAM,98,92,Country; Location,Vietnam,False
LIBERAL PARTY,LIBERAL PARTY,98,88,PoliticalGroup,Liberal Party; Liberal party,False
LEOPOLDVILLE,LEOPOLDVILLE,98,78,Location,Leopoldville,False
SPAIN,SPAIN,98,74,Country; Location,Spain; SPAIN,False
ETHIOPIA,ETHIOPIA,98,62,Country,Ethiopia,False
ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,96,96,Other; Person,Assistant Secretary of Defense for International Security Affairs,False
BAO DAI,BAO DAI,96,83,Person,Bao Dai,False
PRAVDA,PRAVDA,95,89,Document; Organization; Other,Pravda; PRAVDA,False
PRESIDENT SUKARNO,SUKARNO,95,86,Person,President Sukarno,True
MOBUTU,MOBUTU,95,68,Person,Mobutu,False
ALBANIA,ALBANIA,93,77,Country; Location,Albania,False
PANAMA,PANAMA,93,59,Country; Location,Panama,False
DEPARTMENT OF JUSTICE,DEPARTMENT OF JUSTICE,92,92,Government; Organization,Department of Justice,False
PORTUGAL,PORTUGAL,92,71,Country,Portugal,False
ECUADOR,ECUADOR,91,58,Country; Location,Ecuador,False
TSHOMBÉ,TSHOMBÉ,91,58,Person,Tshombé,False
BURMESE GOVERNMENT,BURMESE GOVERNMENT,90,87,Government,Burmese Government; Burmese government,False
BEN-GURION,BEN-GURION,90,78,Person,Ben-Gurion,False
KASAVUBU,KASAVUBU,90,70,Person,Kasavubu,False
TAIWAN,TAIWAN,89,78,Country; Location,Taiwan,False
SOCIALIST PARTY,SOCIALIST PARTY,88,82,PoliticalGroup,Socialist Party; Socialist party,False
NETHERLANDS,NETHERLANDS,88,81,Country,Netherlands,False
NEW DELHI,NEW DELHI,87,80,Location,New Delhi,False
MAO TSE-TUNG,MAO TSE-TUNG,87,78,Person,Mao Tse-tung; Mao Tse-Tung,False
CHINESE COMMUNIST,CHINESE COMMUNIST,86,83,Country; Government; Military; PoliticalGroup,Chinese Communist,False
TAIPEI,TAIPEI,86,80,Location,Taipei,False
UK,UK,86,72,Country; Government,UK,False
FRENCH,FRENCH,85,83,Country; Government; Military; Organization; PoliticalGroup,French,False
KISHI,KISHI,85,69,Person,Kishi,False
ALGERIAN REBELS,ALGERIAN REBELS,85,68,Military; Other; PoliticalGroup,Algerian rebels; Algerian Rebels,False
SOVIET BLOC,SOVIET BLOC,84,80,Military; Organization; Other; PoliticalGroup,Soviet Bloc; Soviet bloc,False
NATIONAL ASSEMBLY,NATIONAL ASSEMBLY,84,77,Government; Organization; Other; PoliticalGroup,National Assembly,False
SHAH OF IRAN,SHAH OF IRAN,84,70,Person,Shah of Iran,False
DIEM,DIEM,84,68,Person,Diem,False
CHILE,CHILE,84,64,Country,Chile,False
NICARAGUA,NICARAGUA,83,60,Country,Nicaragua,False
THE DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,82,82,Government; Organization,The Department of Commerce,True
KING HUSSAIN,KING HUSSAIN,80,75,Person,King Hussain,False
NEPAL,NEPAL,80,55,Country,Nepal,False
NURI SAID,NURI SAID,79,73,Person,Nuri Said,False
SOCIALISTS,SOCIALISTS,79,72,PoliticalGroup,Socialists,False
MIKOYAN,MIKOYAN,79,61,Organization; Person,Mikoyan,False
GOMULKA,GOMULKA,78,62,Person,Gomulka,False
FINLAND,FINLAND,78,57,Country,Finland,False
BOURGUIBA,BOURGUIBA,78,54,Person,Bourguiba,False
PHOUMI,GENERAL PHOUMI,77,66,Person; PoliticalGroup,Phoumi,True
SIHANOUK,SIHANOUK,77,57,Person,Sihanouk,False
KING HUSAYN,KING HUSAYN,77,51,Person,King Husayn,False
BULGARIA,BULGARIA,76,66,Country,Bulgaria,False
LUANG PRABANG,LUANG PRABANG,76,66,Location,Luang Prabang,False
LAOTIAN GOVERNMENT,LAOTIAN GOVERNMENT,74,68,Government,Laotian Government; Laotian government,False
HO CHI MINH,HO CHI MINH,73,67,Person,Ho Chi Minh,False
SAIGON,SAIGON,71,67,Location,Saigon,False
TEHRAN,TEHRAN,71,61,Location,Tehran,False
NATIONAL SECURITY COUNCIL,NATIONAL SECURITY COUNCIL,70,70,Government; Organization,National Security Council,False
FORMOSA,FORMOSA,70,65,Location,Formosa,False
U NU,U NU,69,59,Person,U Nu,False
PARIS,PARIS,68,66,Location,Paris,False
MASJUMI,MASJUMI,68,64,PoliticalGroup,Masjumi; MASJUMI,False
KONG LE,KONG LE,68,57,Military; Other; Person; PoliticalGroup,Kong Le,False
HONDURAS,HONDURAS,67,53,Country; Location,Honduras,False
CHINESE COMMUNIST PARTY,CHINESE COMMUNIST PARTY,66,63,Organization; PoliticalGroup,Chinese Communist Party; Chinese Communist party,False
HATTA,HATTA,66,62,Person,Hatta,False
MALENKOV,MALENKOV,66,61,Person,Malenkov,False
ARCHBISHOP MAKARIOS,ARCHBISHOP MAKARIOS,66,57,Person,Archbishop Makarios,False
EISENHOWER,EISENHOWER,66,56,Person,Eisenhower,False
COSTA RICA,COSTA RICA,66,48,Country; Location,Costa Rica,False
EDEN,EDEN,63,61,Person,Eden,False
BAGHDAD,BAGHDAD,63,56,Location,Baghdad,False
DEMOCRATIC PARTY,DEMOCRATIC PARTY,63,54,PoliticalGroup,Democratic Party; Democratic party,False
DALAI LAMA,DALAI LAMA,63,39,Person,Dalai Lama,False
DAMASCUS,DAMASCUS,62,60,Location,Damascus,False
GENERAL NAGIB,GENERAL NAGIB,62,59,Person,General Nagib; General Na'gib,False
TUDEH,TUDEH,62,56,PoliticalGroup,Tudeh,False
SOCIAL DEMOCRATS,SOCIAL DEMOCRATS,62,53,PoliticalGroup,Social Democrats,False
MENDERES,MENDERES,62,52,Person,Menderes,False
KING SAVANG,KING SAVANG,62,48,Person,King Savang,False
REPUBLIC OF THE CONGO,REPUBLIC OF THE CONGO,61,59,Country; Location,Republic of the Congo; Republic Of The Congo,False
SOUVANNA,SOUVANNA PHOUMA,61,58,Person; PoliticalGroup,Souvanna,True
INDONESIAN GOVERNMENT,INDONESIAN GOVERNMENT,61,56,Government,Indonesian Government; Indonesian government,False
KATANGA,KATANGA,61,55,Country; Location; PoliticalGroup,Katanga,False
ORGANIZATION OF AMERICAN STATES,ORGANIZATION OF AMERICAN STATES,61,53,Organization; Other,Organization of American States,False
COLOMBIA,COLOMBIA,61,43,Country,Colombia,False
UN SECURITY COUNCIL,UN SECURITY COUNCIL,60,57,Organization,UN Security Council,False
SOUPHANNOUVONG,SOUPHANNOUVONG,60,53,Person,Souphannouvong,False
ZAHEDI,ZAHEDI,60,53,Person,Zahedi; Zah’edi,False
MEXICO,MEXICO,60,47,Country; Location,Mexico,False
EL SALVADOR,EL SALVADOR,60,35,Country; Location,El Salvador,False
FRENCH FOREIGN MINISTRY,FRENCH FOREIGN MINISTRY,59,58,Government; Organization,French Foreign Ministry,False
EGYPTIAN GOVERNMENT,EGYPTIAN GOVERNMENT,59,57,Government,Egyptian Government; Egyptian government,False
TRIESTE,TRIESTE,59,56,Location,Trieste,False
DIEN BIEN PHU,DIEN BIEN PHU,59,53,Location,Dien Bien Phu,False
CHANG MYON,CHANG MYON,59,43,Person,Chang Myon,False
BERLIN,BERLIN,58,57,Location,Berlin,False
INDOCHINA,INDOCHINA,58,56,Location,Indochina,False
YOSHIDA,YOSHIDA,58,53,Person,Yoshida,False
PHILIPPINES,PHILIPPINES,58,51,Country,Philippines,False
AMERICAN AMBASSADOR,AMERICAN AMBASSADOR,57,56,Other; Person,American Ambassador; American ambassador,False
SOCIAL DEMOCRATIC PARTY,SOCIAL DEMOCRATIC PARTY,57,55,PoliticalGroup,Social Democratic Party; Social Democratic party,False
NATIONALIST CHINA,NATIONALIST CHINA,57,51,Country; Government; PoliticalGroup,Nationalist China,False
STANLEYVILLE,STANLEYVILLE,57,50,Location,Stanleyville,False
SEATO,SEATO,57,48,Organization; PoliticalGroup,SEATO,False
NKRUMAH,NKRUMAH,57,39,Person,Nkrumah,False
NATIONAL PARTY,NATIONAL PARTY,56,54,PoliticalGroup,National Party; National party,False
PRINCE SIHANOUK,SIHANOUK,56,46,Person,Prince Sihanouk,True
UNITED KINGDOM,UNITED KINGDOM,55,51,Country,United Kingdom,False
YUGOSLAV GOVERNMENT,YUGOSLAV GOVERNMENT,55,51,Government; Organization,Yugoslav Government; Yugoslav government,False
NATIONAL FRONT,NATIONAL FRONT,55,50,PoliticalGroup,National Front,False
URUGUAY,URUGUAY,55,45,Country; Location,Uruguay,False
AMERICAN EMBASSY IN PARIS,AMERICAN EMBASSY,54,54,Organization,American Embassy in Paris; American embassy in Paris,True
AMBASSADOR DILLON,AMBASSADOR DILLON,54,51,Person,Ambassador Dillon,False
IRANIAN GOVERNMENT,IRANIAN GOVERNMENT,54,50,Government,Iranian Government; Iranian government,False
SINGAPORE,SINGAPORE,53,46,Country; Location,Singapore,False
SARIT,SARIT,53,41,Person,Sarit,False
TRUJILLO,TRUJILLO,53,35,Person,Trujillo,False
LONDON,LONDON,52,50,Location,London,False
BIDAULT,BIDAULT,52,49,Person,Bidault,False
BUNDESTAG,BUNDESTAG,52,49,Government; Organization; Other; PoliticalGroup,Bundestag,False
RANGOON,RANGOON,52,47,Location,Rangoon,False
MALAYA,MALAYA,52,42,Country; Location,Malaya,False
KUWAIT,KUWAIT,52,39,Country; Location,Kuwait,False
SOUTH AFRICA,SOUTH AFRICA,52,37,Country; Location,South Africa,False
CHEN YI,CHEN YI,52,36,Person,Chen Yi,False
ICELAND,ICELAND,52,32,Country; Location,Iceland,False
INTERNATIONAL CONTROL COMMISSION,INTERNATIONAL CONTROL COMMISSION,51,50,Organization; Other,International Control Commission,False
DIEM GOVERNMENT,DIEM GOVERNMENT,51,49,Government; PoliticalGroup,Diem government; Diem Government,False
CHRISTIAN DEMOCRATIC PARTY,CHRISTIAN DEMOCRATIC PARTY,51,48,PoliticalGroup,Christian Democratic Party; Christian Democratic party,False
INDIAN GOVERNMENT,INDIAN GOVERNMENT,51,48,Government,Indian government; Indian Government,False
BAGHDAD PACT,BAGHDAD PACT,51,46,Document; Organization; Other; PoliticalGroup,Baghdad pact; Baghdad Pact,False
MOSLEM BROTHERHOOD,MOSLEM BROTHERHOOD,51,45,Organization; PoliticalGroup; ReligiousGroup,Moslem Brotherhood,False
PRINCE SOUPHANNOUVONG,SOUPHANNOUVONG,51,45,Person,Prince Souphannouvong,True
ANGLO-IRANIAN OIL COMPANY,ANGLO-IRANIAN OIL COMPANY,50,45,Organization,Anglo-Iranian Oil Company,False
BOHLEN,BOHLEN,49,46,Person,Bohlen,False
GREAT BRITAIN,BRITAIN,49,46,Country,Great Britain,True
BELGRADE,BELGRADE,49,45,Location,Belgrade,False
SINO-SOVIET BLOC,SOVIET BLOC,49,45,Organization; Other; PoliticalGroup,Sino-Soviet bloc; Sino-Soviet Bloc,True
HAITI,HAITI,49,31,Country; Location,Haiti,False
SECRETARY OF STATE,SECRETARY OF STATE,48,48,Other; Person,Secretary of State,False
DAUD,DAUD,48,42,Person,Daud,False
SUBANDRIO,SUBANDRIO,48,39,Person,Subandrio,False
ATTORNEY GENERAL,ATTORNEY GENERAL,47,47,Other; Person,Attorney General,False
UN GENERAL ASSEMBLY,UN GENERAL ASSEMBLY,47,47,Organization; Other,UN General Assembly,False
SOVIET GOVERNMENT,SOVIET GOVERNMENT,47,45,Government,Soviet Government; Soviet government,False
ITALIAN GOVERNMENT,ITALIAN GOVERNMENT,47,44,Government,Italian Government; Italian government,False
TSHOMBE,TSHOMBÉ,47,38,Person,Tshombe,True
PERU,PERU,47,34,Country,Peru,False
UNITED ARAB REPUBLIC,UNITED ARAB REPUBLIC,47,31,Country; Government; Other; PoliticalGroup,United Arab Republic,False
AMBASSADOR BOHLEN,BOHLEN,46,45,Person,Ambassador Bohlen,True
KOREA,KOREA,46,45,Country; Location,Korea,False
CROWN PRINCE FAYSAL,CROWN PRINCE FAYSAL,46,32,Person,Crown Prince Faysal,False
ANGOLA,ANGOLA,46,29,Country; Location,Angola,False
AMBASSADOR HEATH,AMBASSADOR HEATH,45,45,Person,Ambassador Heath,False
PEOPLES DAILY,PEOPLES DAILY,45,43,Document; Organization; Other,People's Daily; Peoples' Daily,False
HONG KONG,HONG KONG,45,42,Location,Hong Kong,False
TOKYO,TOKYO,45,41,Location,Tokyo,False
CANADA,CANADA,45,38,Country,Canada,False
KRISHNA MENON,KRISHNA MENON,45,38,Person,Krishna Menon,False
PHNOM PENH,PHNOM PENH,45,38,Location,Phnom Penh,False
AYUB,AYUB,45,29,Person,Ayub,False
INDONESIAN COMMUNIST PARTY,INDONESIAN COMMUNIST PARTY,44,40,PoliticalGroup,Indonesian Communist Party; Indonesian Communist party,False
FRENCH ARMY,FRENCH ARMY,44,37,Military,French army; French Army,False
GENERAL NASUTION,GENERAL NASUTION,44,36,Military; Person,General Nasution,False
KING MOHAMED V,KING MOHAMED V,44,30,Person,King Mohamed V,False
PRESIDENT EISENHOWER,EISENHOWER,43,41,Person,President Eisenhower,True
KING FAROUK,KING FAROUK,43,39,Person,King Farouk,False
OAS,ORGANIZATION OF AMERICAN STATES,43,38,Organization,OAS,True
CASTRO,FIDEL CASTRO,43,37,Person,Castro,True
CHINESE NATIONALIST,CHINESE NATIONALIST,42,41,Military; PoliticalGroup,Chinese Nationalist,False
DENMARK,DENMARK,42,37,Country,Denmark,False
MALIK,MALIK,42,37,Person,Malik,False
TAIWAN STRAIT,TAIWAN STRAIT,42,36,Location,Taiwan Strait,False
BOUN OUM,BOUN OUM,42,35,Government; Person,Boun Oum,False
EOKA,EOKA,42,35,Military; Organization; PoliticalGroup,EOKA,False
AMBASSADOR THOMPSON,AMBASSADOR THOMPSON,42,33,Person,Ambassador Thompson,False
LABOR PARTY,LABOR PARTY,42,33,PoliticalGroup,Labor Party; Labor party,False
AMBASSADOR HENDERSON,AMBASSADOR HENDERSON,41,41,Person,Ambassador Henderson,False
TASS,TASS,41,39,Organization,Tass; TASS,False
FRENCH COMMUNIST PARTY,FRENCH COMMUNIST PARTY,41,36,PoliticalGroup,French Communist Party; French Communist party,False
ALGIERS,ALGIERS,41,34,Location,Algiers,False
NE WIN,NE WIN,41,31,Person,Ne Win,False
MALI,MALI,41,29,Country; Location,Mali,False
KARAMANLIS,KARAMANLIS,40,37,Government; Person,Karamanlis,False
CHRISTIAN DEMOCRATS,CHRISTIAN DEMOCRATIC PARTY,40,36,PoliticalGroup,Christian Democrats,True
PHIBUN,PHIBUN,40,36,Person,Phibun,False
BANDARANAIKE,BANDARANAIKE,40,28,Person,Bandaranaike,False
RAUL CASTRO,RAUL CASTRO,40,27,Person,Raul Castro,False
GENEVA,GENEVA,39,39,Location,Geneva,False
