normalized_label,canonical_label_current,mention_count,unique_docs,unique_paragraphs,source_types,primary_type,example_mentions,example_descriptions,top_co_mentions,context_text,in_alias_dictionary
USSR,USSR,103,41,102,Country; Government,Country,USSR,"Former country, now Russia and other states; Soviet Union, involved in international relations and party congress.; The country with which the Dominican Republic desires to re-establish diplomatic relations.; Gained prestige for pro-Lumumba position; Country with which Nigeria sought to establish diplomatic relations; Accused of carrying military personnel to Pathet Lao forces.; Country involved in airlift support; Country endorsing a proposal for a conference on Laos.",LAOS; COMMUNIST CHINA; PEIPING; KHRUSHCHEV; CONGO; PATHET LAO; SOUVANNA PHOUMA; UAR; NORTH VIETNAM; CUBA; EAST GERMANY; UNITED STATES,"USSR || Country Government || LAOS COMMUNIST CHINA PEIPING KHRUSHCHEV CONGO PATHET LAO SOUVANNA PHOUMA UAR NORTH VIETNAM CUBA || Former country, now Russia and other states Soviet Union, involved in international relations and party congress. The country with which the Dominican Republic desires to re-establish diplomatic relations. Gained prestige for pro-Lumumba position Country with which Nigeria sought to establish diplomatic relations Accused of carrying military personnel to Pathet Lao forces.",False
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,44,44,44,Organization,Organization,Atomic Energy Commission,A former agency of the U.S. government responsible for nuclear energy.; U.S. government agency responsible for nuclear energy.; A former U.S. government agency responsible for nuclear energy.; The agency responsible for nuclear energy and weapons.; U.S. government agency responsible for nuclear energy and weapons.; U.S. government agency overseeing atomic energy.; The U.S. government agency responsible for nuclear energy and weapons.; A former agency of the U.S. government responsible for nuclear energy and weapons.,"NATIONAL INDICATIONS CENTER; NATIONAL SECURITY AGENCY; DEPARTMENT OF DEFENSE; FEDERAL BUREAU OF INVESTIGATION; SECRETARY OF DEFENSE; DEPARTMENT OF JUSTICE; DEPARTMENT OF STATE; UNITED STATES INFORMATION AGENCY; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","ATOMIC ENERGY COMMISSION || Organization || NATIONAL INDICATIONS CENTER NATIONAL SECURITY AGENCY DEPARTMENT OF DEFENSE FEDERAL BUREAU OF INVESTIGATION SECRETARY OF DEFENSE DEPARTMENT OF JUSTICE DEPARTMENT OF STATE UNITED STATES INFORMATION AGENCY ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE || A former agency of the U.S. government responsible for nuclear energy. U.S. government agency responsible for nuclear energy. A former U.S. government agency responsible for nuclear energy. The agency responsible for nuclear energy and weapons. U.S. government agency responsible for nuclear energy and weapons. U.S. government agency overseeing atomic energy.",False
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,44,44,44,Government; Organization,Organization,Department of Defense,The department responsible for coordinating and supervising all agencies and functions of the government related to national security and the military.; U.S. government department responsible for military affairs.; The principal defense organization of the United States.; The federal department responsible for coordinating and supervising all agencies and functions of the government related to national security and the military.; U.S. government department responsible for national security and military affairs.; The federal department responsible for coordinating and supervising national security.; The U.S. government department responsible for military and national defense.; The department responsible for coordinating and supervising all agencies and functions of the government relating directly to national security and the military.,"NATIONAL SECURITY AGENCY; ATOMIC ENERGY COMMISSION; NATIONAL INDICATIONS CENTER; FEDERAL BUREAU OF INVESTIGATION; SECRETARY OF DEFENSE; DEPARTMENT OF JUSTICE; DEPARTMENT OF STATE; UNITED STATES INFORMATION AGENCY; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","DEPARTMENT OF DEFENSE || Government Organization || NATIONAL SECURITY AGENCY ATOMIC ENERGY COMMISSION NATIONAL INDICATIONS CENTER FEDERAL BUREAU OF INVESTIGATION SECRETARY OF DEFENSE DEPARTMENT OF JUSTICE DEPARTMENT OF STATE UNITED STATES INFORMATION AGENCY ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE || The department responsible for coordinating and supervising all agencies and functions of the government related to national security and the military. U.S. government department responsible for military affairs. The principal defense organization of the United States. The federal department responsible for coordinating and supervising all agencies and functions of the government related to national security and the military. U.S. government department responsible for national security and military affairs. The federal department responsible for coordinating and supervising national security.",False
SOUVANNA PHOUMA,SOUVANNA PHOUMA,43,30,43,Person,Person,Souvanna Phouma,"Individual who declared he would step down if the Boun Oum government was invested.; Legal government leader of Laos.; Represents the legal government of Laos according to the bloc.; Laotian political figure, premier; Legal government figure mentioned; Individual to discuss government formation in Laos.; Deposed premier of Laos.; Reportedly under pressure to leave Phnom Penh for Communist-controlled territory in northern Laos.",LAOS; PATHET LAO; USSR; NORTH VIETNAM; KING SAVANG; PHOUMI; CONGO; VIENTIANE; BOUN OUM GOVERNMENT; BOUN OUM; COMMUNIST CHINA; PHNOM PENH,"SOUVANNA PHOUMA || Person || LAOS PATHET LAO USSR NORTH VIETNAM KING SAVANG PHOUMI CONGO VIENTIANE BOUN OUM GOVERNMENT BOUN OUM || Individual who declared he would step down if the Boun Oum government was invested. Legal government leader of Laos. Represents the legal government of Laos according to the bloc. Laotian political figure, premier Legal government figure mentioned Individual to discuss government formation in Laos.",False
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,41,41,41,Organization,Organization,Federal Bureau of Investigation,The principal federal investigative agency in the United States.; U.S. government agency responsible for investigating federal crimes.; The domestic intelligence and security service of the United States.; U.S. government agency responsible for domestic intelligence.; The principal federal investigative agency and domestic intelligence service of the U.S.; A federal agency responsible for investigating and enforcing federal laws.; U.S. government agency responsible for law enforcement; U.S. government agency responsible for federal law enforcement.,"NATIONAL SECURITY AGENCY; DEPARTMENT OF DEFENSE; NATIONAL INDICATIONS CENTER; ATOMIC ENERGY COMMISSION; SECRETARY OF DEFENSE; DEPARTMENT OF JUSTICE; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY; CHIEF OF STAFF, UNITED STATES AIR FORCE; CHIEF OF STAFF, UNITED STATES ARMY","FEDERAL BUREAU OF INVESTIGATION || Organization || NATIONAL SECURITY AGENCY DEPARTMENT OF DEFENSE NATIONAL INDICATIONS CENTER ATOMIC ENERGY COMMISSION SECRETARY OF DEFENSE DEPARTMENT OF JUSTICE ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE CHAIRMAN, THE JOINT CHIEFS OF STAFF CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY || The principal federal investigative agency in the United States. U.S. government agency responsible for investigating federal crimes. The domestic intelligence and security service of the United States. U.S. government agency responsible for domestic intelligence. The principal federal investigative agency and domestic intelligence service of the U.S. A federal agency responsible for investigating and enforcing federal laws.",False
NORTH VIETNAM,NORTH VIETNAM,39,28,39,Country; Government,Country,North Vietnam,Country that issued an appeal for a new Geneva Conference.; Country involved in logistic support missions into Laos; First Communist-bloc nation to endorse a proposal for an international meeting on Laos.; Country involved in the airlift to the Kong Le - Pathet Lao forces.; Involved in communications regarding airlift flights.; Country involved in the inspection denial of a train possibly transporting military equipment.; Country involved in the flights into Laos; Country endorsing Prince Sihanouk's proposal.,LAOS; SOVIET UNION; PATHET LAO; SOUVANNA PHOUMA; SOUTH VIETNAM; USSR; COMMUNIST CHINA; GENERAL PHOUMI; KING SAVANG; BOUN OUM GOVERNMENT; TSHOMBÉ; BURMA,NORTH VIETNAM || Country Government || LAOS SOVIET UNION PATHET LAO SOUVANNA PHOUMA SOUTH VIETNAM USSR COMMUNIST CHINA GENERAL PHOUMI KING SAVANG BOUN OUM GOVERNMENT || Country that issued an appeal for a new Geneva Conference. Country involved in logistic support missions into Laos First Communist-bloc nation to endorse a proposal for an international meeting on Laos. Country involved in the airlift to the Kong Le - Pathet Lao forces. Involved in communications regarding airlift flights. Country involved in the inspection denial of a train possibly transporting military equipment.,False
UAR,UAR,38,21,37,Country; Government; Military; Organization; PoliticalGroup,Organization,UAR,"United Arab Republic, involved in the situation in Syria.; United Arab Republic, involved in military operations in the Congo.; United Arab Republic, preferred by Somali officials for military assistance.; United Arab Republic, involved in military assistance to Somalia.; Preferred by Somali defense officials for military assistance; United Arab Republic, involved in providing military assistance.; United Arab Republic, against which Iraq and Jordan are aligning.; United Arab Republic, a political union of Egypt and Syria",USSR; LUMUMBA; IRAQ; GIZENGA; NASIR; JORDAN; SOVIET UNION; CONGO; BELGIUM; SOUVANNA PHOUMA; UN; ARAB LEAGUE,"UAR || Country Government Military Organization PoliticalGroup || USSR LUMUMBA IRAQ GIZENGA NASIR JORDAN SOVIET UNION CONGO BELGIUM SOUVANNA PHOUMA || United Arab Republic, involved in the situation in Syria. United Arab Republic, involved in military operations in the Congo. United Arab Republic, preferred by Somali officials for military assistance. United Arab Republic, involved in military assistance to Somalia. Preferred by Somali defense officials for military assistance United Arab Republic, involved in providing military assistance.",False
KHRUSHCHEV,KHRUSHCHEV,37,18,37,Person,Person,Khrushchev,Leader of the Soviet Union who postponed the party congress.; First Secretary of the Communist Party of the Soviet Union.; Soviet leader who delivered a speech on world Communist policy.; Leader of the Soviet Union.; Soviet leader discussing the balance of power and military strategy.; Leader who advocates for peaceful coexistence and negotiations with the West.; Leader of the Soviet Union during the time of the events described.; Leader who described the new agency for agricultural supplies.,USSR; LAOS; CONGO; PEIPING; SOVIET UNION; US; EAST GERMANY; LUMUMBA; SOUVANNA PHOUMA; PATHET LAO; DOMINICAN REPUBLIC; NASIR,KHRUSHCHEV || Person || USSR LAOS CONGO PEIPING SOVIET UNION US EAST GERMANY LUMUMBA SOUVANNA PHOUMA PATHET LAO || Leader of the Soviet Union who postponed the party congress. First Secretary of the Communist Party of the Soviet Union. Soviet leader who delivered a speech on world Communist policy. Leader of the Soviet Union. Soviet leader discussing the balance of power and military strategy. Leader who advocates for peaceful coexistence and negotiations with the West.,False
UNITED STATES,UNITED STATES,33,27,33,Country,Country,United States,"A country in North America, involved in Cold War tensions.; Country in North America; One of the leading Western nations whose response to South Africa's actions was criticized.; Country with which South Korea has strong ties.; Country being asked for emergency shipments of wheat by Syria and Jordan.; Country that owns about 90 percent of Chile's copper mining companies.; Country with various government officials mentioned.; Country involved in the overflight agreements and military actions.",USSR; CONGO; FRANCE; COMMUNIST CHINA; DEPARTMENT OF DEFENSE; DEPARTMENT OF STATE; FEDERAL BUREAU OF INVESTIGATION; NATIONAL SECURITY AGENCY; SOVIET UNION; BURMESE GOVERNMENT; LAOS; PAKISTAN,"UNITED STATES || Country || USSR CONGO FRANCE COMMUNIST CHINA DEPARTMENT OF DEFENSE DEPARTMENT OF STATE FEDERAL BUREAU OF INVESTIGATION NATIONAL SECURITY AGENCY SOVIET UNION BURMESE GOVERNMENT || A country in North America, involved in Cold War tensions. Country in North America One of the leading Western nations whose response to South Africa's actions was criticized. Country with which South Korea has strong ties. Country being asked for emergency shipments of wheat by Syria and Jordan. Country that owns about 90 percent of Chile's copper mining companies.",False
HAMMARSKJOLD,HAMMARSKJOLD,32,22,32,Person,Person,Hammarskjold,UN Secretary-General supporting Rajeshwar Dayal.; UN Secretary General who has confidence in Rajeshwar Dayal.; Official who communicated with American officials regarding the situation in the Congo.; Sent a letter urging Lumumba's trial or release.; UN Secretary-General making requests for troops; A UN official involved in the Congo situation.; UN representative who suggested neutralizing rival Congolese military factions.; UN Secretary-General expressing skepticism about Kasavubu's position.,UN; GIZENGA; KASAVUBU; CONGO; LAOS; LEOPOLDVILLE; LUMUMBA; MOBUTU; PATHET LAO; TSHOMBÉ; UAR; INDIA,HAMMARSKJOLD || Person || UN GIZENGA KASAVUBU CONGO LAOS LEOPOLDVILLE LUMUMBA MOBUTU PATHET LAO TSHOMBÉ || UN Secretary-General supporting Rajeshwar Dayal. UN Secretary General who has confidence in Rajeshwar Dayal. Official who communicated with American officials regarding the situation in the Congo. Sent a letter urging Lumumba's trial or release. UN Secretary-General making requests for troops A UN official involved in the Congo situation.,False
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE,28,28,28,Person,Person,Secretary of Defense,The head of the Department of Defense.; Head of the Department of Defense.,"ATOMIC ENERGY COMMISSION; DEPARTMENT OF DEFENSE; FEDERAL BUREAU OF INVESTIGATION; NATIONAL INDICATIONS CENTER; NATIONAL SECURITY AGENCY; ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY; ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE; CHAIRMAN, THE JOINT CHIEFS OF STAFF; CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY; CHIEF OF STAFF, UNITED STATES AIR FORCE; CHIEF OF STAFF, UNITED STATES ARMY; COMMANDANT, UNITED STATES MARINE CORPS","SECRETARY OF DEFENSE || Person || ATOMIC ENERGY COMMISSION DEPARTMENT OF DEFENSE FEDERAL BUREAU OF INVESTIGATION NATIONAL INDICATIONS CENTER NATIONAL SECURITY AGENCY ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE CHAIRMAN, THE JOINT CHIEFS OF STAFF CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY CHIEF OF STAFF, UNITED STATES AIR FORCE || The head of the Department of Defense. Head of the Department of Defense.",False
UN,UN,28,22,28,Organization,Organization,UN,"Criticized for failure to act in the Congo situation; The United Nations involved in the situation in Congo.; United Nations; United Nations forces involved in Katanga Province.; United Nations, involved in peacekeeping in Congo.; United Nations involved in the Congo situation.; United Nations involved in the Congo operation.; United Nations involved in troop directives in the Congo.",HAMMARSKJOLD; CONGO; GIZENGA; LUMUMBA; KASAVUBU; USSR; FRANCE; LAOS; KATANGA; TSHOMBÉ; UAR; TSHOMBE,"UN || Organization || HAMMARSKJOLD CONGO GIZENGA LUMUMBA KASAVUBU USSR FRANCE LAOS KATANGA TSHOMBÉ || Criticized for failure to act in the Congo situation The United Nations involved in the situation in Congo. United Nations United Nations forces involved in Katanga Province. United Nations, involved in peacekeeping in Congo. United Nations involved in the Congo situation.",False
