original_normalized_label,canonical_label,canonical_key,method,confidence,mention_count,doc_count,entity_type,surface_forms,sample_context
LAOS,LAOS (BULLETIN INTELLIGENCE IRAN),CANONICAL_ENTITY:LAOS_BULLETIN_INTELLIGENCE_IRAN,a3_single_cluster_self,1.0,541,361,Country,Laos,Country mentioned as the capital city Vientiane is located. || Country mentioned in the context of independence and French colonial policy. || Location of potential Viet Minh attacks.
JAPAN,JAPAN (COUNTRY BULLETIN INDIA),CANONICAL_ENTITY:JAPAN_COUNTRY_BULLETIN_INDIA,a3_single_cluster_self,1.0,540,404,Country,Japan,Country involved in the peace treaty. || Country where local elections were held and US bases are a point of contention. || Country for which a draft treaty poses a dilemma for India.
TURKEY,TURKEY (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:TURKEY_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,535,400,Country,Turkey,Country where the Cabinet resigned on 8 March || Country involved in the alleged coordinated offensive against Albania. || Country involved in military discussions with Greece and Yugoslavia
SYRIA,SYRIA (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SYRIA_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,534,408,Country,Syria,Country where the Cabinet resigned on 9 March || Country involved in border incidents with Israel. || Country involved in border tensions with Israel.
IRAN,IRAN (COUNTRY BULLETIN HUSSEIN),CANONICAL_ENTITY:IRAN_COUNTRY_BULLETIN_HUSSEIN,a3_single_cluster_self,1.0,530,395,Country,Iran,Country where the assassination of Premier Razmara took place. || Country experiencing political developments of concern to Egypt. || Country mentioned in relation to Soviet expansionist moves.
JORDAN,JORDAN (COUNTRY BULLETIN SYRIA),CANONICAL_ENTITY:JORDAN_COUNTRY_BULLETIN_SYRIA,a3_single_cluster_self,1.0,503,369,Country,Jordan,"Country concerned over Iraq's air assistance to Syria. || Country where King Abdullah was assassinated. || Country involved in potential union with Iraq, concerning Syria."
INDONESIA,INDONESIA (BULLETIN INTELLIGENCE CENTRAL),CANONICAL_ENTITY:INDONESIA_BULLETIN_INTELLIGENCE_CENTRAL,a3_single_cluster_self,1.0,487,345,Location,Indonesia,Location from where Moslem criticism of French actions was voiced || Country considering an offer from Communist China for rubber. || Country claiming its trade policy will depend on UN decision
EAST GERMANY,EAST GERMANY (COUNTRY BULLETIN VIET),CANONICAL_ENTITY:EAST_GERMANY_COUNTRY_BULLETIN_VIET,a3_single_cluster_self,1.0,483,368,Country,East Germany,"A former country in Europe, part of the Eastern Bloc. || Country involved in harassing Westerners. || Country possibly receiving Soviet bombers"
YUGOSLAVIA,YUGOSLAVIA (COUNTRY BULLETIN ALBANIA),CANONICAL_ENTITY:YUGOSLAVIA_COUNTRY_BULLETIN_ALBANIA,a3_single_cluster_self,1.0,481,386,Country,Yugoslavia,Country bordering Albania || Country accusing the USSR of military pressure || Country mentioned as a potential aggressor.
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,CANONICAL_ENTITY:NATIONAL_SECURITY_AGENCY,multi_sense_label,1.0,463,462,Organization,National Security Agency; The National Security Agency,U.S. government agency responsible for signal intelligence. || The U.S. government agency responsible for signal intelligence and information assurance. || The agency responsible for signal intelligence and information assurance.
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,CANONICAL_ENTITY:ATOMIC_ENERGY_COMMISSION,multi_sense_label,1.0,450,448,Organization,Atomic Energy Commission,Japanese organization involved in atomic energy development || U.S. government agency responsible for nuclear energy and weapons. || The U.S. government agency responsible for nuclear energy and weapons.
DIRECTOR,DIRECTOR (BULLETIN STATES UNITED),CANONICAL_ENTITY:DIRECTOR_BULLETIN_STATES_UNITED,a3_single_cluster_self,1.0,448,152,Person,The Director; Director,The director of the National Indications Center. || The director of the United States Information Agency. || The head of the Federal Bureau of Investigation.
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,CANONICAL_ENTITY:DEPARTMENT_OF_DEFENSE,multi_sense_label,1.0,444,443,Organization,Department of Defense; The Department of Defense,U.S. government department responsible for military affairs. || The U.S. federal executive department responsible for coordinating and supervising national security. || The executive department responsible for coordinating and supervising all agencies and functions of the government related directly to national security and the military.
PAKISTAN,PAKISTAN (COUNTRY BULLETIN AFGHANISTAN),CANONICAL_ENTITY:PAKISTAN_COUNTRY_BULLETIN_AFGHANISTAN,a3_single_cluster_self,1.0,444,322,Country,Pakistan,Country that announced the discovery and suppression of a military plot on 9 March || Country mentioned in relation to Afghanistan's propaganda. || Country involved in failed talks with Afghanistan.
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,CANONICAL_ENTITY:FEDERAL_BUREAU_OF_INVESTIGATION,multi_sense_label,1.0,433,432,Organization,Federal Bureau of Investigation,U.S. government agency responsible for investigating federal crimes. || The domestic intelligence and security service of the United States. || U.S. government agency responsible for domestic intelligence and security.
PATHET LAO,PATHET LAO,CANONICAL_ENTITY:PATHET_LAO,multi_sense_label,1.0,391,275,PoliticalGroup,Pathet Lao,A communist-sponsored movement in Laos. || Communist militia in Laos || Communist political movement in Laos
CUBA,CUBA (1952 COUNTRY BULLETIN),CANONICAL_ENTITY:CUBA_1952_COUNTRY_BULLETIN,a3_single_cluster_self,1.0,387,217,Country,Cuba,country where Batista was a dictator || Island country in the Caribbean || Country where rumors of revolutionary action are circulating.
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,CANONICAL_ENTITY:NATIONAL_INDICATIONS_CENTER,multi_sense_label,1.0,382,381,Organization,National Indications Center,A center related to national indications. || U.S. government center for intelligence analysis. || A U.S. government organization focused on indications and warning intelligence.
CZECHOSLOVAKIA,CZECHOSLOVAKIA (GOTTWALD COUNTRY BULLETIN),CANONICAL_ENTITY:CZECHOSLOVAKIA_GOTTWALD_COUNTRY_BULLETIN,a3_single_cluster_self,1.0,382,302,Country,Czechoslovakia,The country where the events took place. || Country receiving grain shipments from the USSR. || Country involved in diplomatic recalls
BRITAIN,BRITAIN (COUNTRY BULLETIN USSR),CANONICAL_ENTITY:BRITAIN_COUNTRY_BULLETIN_USSR,a3_single_cluster_self,1.0,374,324,Country,Britain,One of the countries invited to the proposed meeting for the Japanese peace treaty. || United Kingdom. || Country involved in negotiations regarding Korea and export controls.
WEST GERMANY,WEST GERMANY (COUNTRY BULLETIN WESTERN),CANONICAL_ENTITY:WEST_GERMANY_COUNTRY_BULLETIN_WESTERN,a3_single_cluster_self,1.0,370,289,Country,West Germany,Country involved in dispute over coke exports || A country in Western Europe. || Country in Western Europe during the Cold War.
POLAND,POLAND (BULLETIN DELEGATES INTELLIGENCE),CANONICAL_ENTITY:POLAND_BULLETIN_DELEGATES_INTELLIGENCE,a3_single_cluster_self,1.0,361,279,Location,Poland,Location where the first appearance of Russian-made jets in a Satellite air force was reported. || The country in which the events are taking place. || Country where anti-Soviet riots occurred.
MOSCOW,MOSCOW,CANONICAL_ENTITY:MOSCOW,multi_sense_label,1.0,359,303,Location,Moscow,"Capital of Russia, mentioned as a destination for youths eligible for military service. || Making efforts to prevent rapprochement between Yugoslavia and other countries. || Capital of Russia, where the US Embassy is located."
SAUDI ARABIA,SAUDI ARABIA (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SAUDI_ARABIA_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,359,281,Country,Saudi Arabia,The country believed to favor partitioning Jordan. || Country involved in friction with ARAMCO. || Country with friendly relations with Shishakli.
NEHRU,NEHRU (BULLETIN LATTRE INDIAN),CANONICAL_ENTITY:NEHRU_BULLETIN_LATTRE_INDIAN,a3_single_cluster_self,1.0,356,271,Person,Nehru,Indian Prime Minister expressing interest in Moroccan independence || Prime Minister of India who approved the Congress Party's opposition || Prime Minister of India who commented on the Japanese treaty.
BURMA,BURMA (COUNTRY BULLETIN BURMESE),CANONICAL_ENTITY:BURMA_COUNTRY_BULLETIN_BURMESE,a3_single_cluster_self,1.0,354,295,Country,Burma,Country concerned about Kuomintang troops || Country facing a serious Communist threat. || Country where the problem of Chinese Nationalist troops is being addressed.
DEPARTMENT OF STATE,DEPARTMENT OF STATE,CANONICAL_ENTITY:DEPARTMENT_OF_STATE,multi_sense_label,1.0,331,330,Organization,Department of State; The Department of State,The U.S. government department responsible for foreign affairs. || US government department advising on Iranian negotiations || The federal executive department responsible for international relations of the United States.
SOUTH KOREA,SOUTH KOREA (COUNTRY BULLETIN JAPAN),CANONICAL_ENTITY:SOUTH_KOREA_COUNTRY_BULLETIN_JAPAN,a3_single_cluster_self,1.0,318,234,Country,South Korea,Country experiencing economic inflation. || Prime Minister expressed concerns about US intentions. || Country involved in negotiations with Japan regarding Korean residents.
AMERICAN EMBASSY,AMERICAN EMBASSY (1952 BULLETIN EGYPT),CANONICAL_ENTITY:AMERICAN_EMBASSY_1952_BULLETIN_EGYPT,a3_single_cluster_self,1.0,315,294,Organization,American Embassy; American embassy,Embassy that informed the Italian Government about US concerns || Embassy representing the United States in The Hague. || The American Embassy notes the National Front's covert actions.
CAIRO,CAIRO (EGYPT CAPITAL BULLETIN),CANONICAL_ENTITY:CAIRO_EGYPT_CAPITAL_BULLETIN,a3_single_cluster_self,1.0,306,266,Location,Cairo,"Capital of Egypt where discussions took place || Capital city of Egypt. || The capital of Egypt, where the Foreign Office is located."
CHINA,CHINA (USSR COUNTRY BULLETIN),CANONICAL_ENTITY:CHINA_USSR_COUNTRY_BULLETIN,a3_single_cluster_self,1.0,299,275,Country,China,Country potentially invading Indochina. || Country expected to oppose the treaty violently. || Country involved in the Korean conflict and mentioned in the context of US intentions.
CHOU EN LAI,CHOU EN LAI (BULLETIN PANIKKAR SITUATION),CANONICAL_ENTITY:CHOU_EN_LAI_BULLETIN_PANIKKAR_SITUATION,a3_single_cluster_self,1.0,298,252,Person,Chou En-lai; Chou En-Lai; Chou-En-lai,"Premier of Communist China, made a statement on the Japanese peace treaty. || Chinese leader who assured Panikkar regarding military operations. || Chinese Communist Premier"
ITALY,ITALY (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:ITALY_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,297,246,Country,Italy,Country involved in the Trieste question negotiations || Country mentioned in the context of border violations against Albania. || Country where Albanian emigre groups are located
SOUVANNA PHOUMA,SOUVANNA PHOUMA (BULLETIN SASORITH KATAY),CANONICAL_ENTITY:SOUVANNA_PHOUMA_BULLETIN_SASORITH_KATAY,a3_single_cluster_self,1.0,278,201,Person,Souvanna Phouma,"Premier of Laos whose government resigned. || Laotian defense minister and advocate of reconciliation with Pathet Lao. || New premier of Laos, anti-Communist"
NATO,NATO,CANONICAL_ENTITY:NATO,multi_sense_label,1.0,271,237,Organization,NATO,"Military alliance that Italian Communists are modifying their stance against. || North Atlantic Treaty Organization involved in defense commitments. || The North Atlantic Treaty Organization, a military alliance."
SUKARNO,SUKARNO (INDONESIA BULLETIN INTELLIGENCE),CANONICAL_ENTITY:SUKARNO_INDONESIA_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,268,213,Person,Sukarno,President of Indonesia || President of Indonesia supporting the signing of the treaty || President of Indonesia with significant political influence
MOROCCO,MOROCCO (COUNTRY BULLETIN EGYPT),CANONICAL_ENTITY:MOROCCO_COUNTRY_BULLETIN_EGYPT,a3_single_cluster_self,1.0,258,186,Location,Morocco,Country experiencing violent Moslem reaction || Country in North Africa || Country in North Africa facing human rights allegations.
DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,CANONICAL_ENTITY:DEPARTMENT_OF_COMMERCE,multi_sense_label,1.0,257,257,Organization,Department of Commerce; The Department of Commerce,A department of the U.S. government focused on economic growth. || Promotes economic growth. || The federal department responsible for promoting economic growth.
GREECE,GREECE (ALBANIA YUGOSLAVIA COUNTRY),CANONICAL_ENTITY:GREECE_ALBANIA_YUGOSLAVIA_COUNTRY,a3_single_cluster_self,1.0,251,214,Country,Greece,Country mentioned as a potential aggressor. || Country involved in the alleged coordinated offensive against Albania. || Country mentioned as exploiting the situation in Albania
ADENAUER,ADENAUER (SCHUMAN GERMANY BULLETIN),CANONICAL_ENTITY:ADENAUER_SCHUMAN_GERMANY_BULLETIN,a3_single_cluster_self,1.0,250,191,Person,Adenauer,Chancellor of West Germany || Chancellor of Germany || Chancellor of West Germany mentioned in the context of political position.
DE GAULLE,DE GAULLE (BULLETIN USSR PARTIES),CANONICAL_ENTITY:DE_GAULLE_BULLETIN_USSR_PARTIES,a3_single_cluster_self,1.0,247,142,Person,De Gaulle; de Gaulle,"French leader whose decisions impact the electoral landscape. || French military leader and statesman, prominent figure in French politics. || A political figure in France known for his intransigence in forming electoral alliances."
ALGERIA,ALGERIA (TUNISIA BULLETIN FRANCE),CANONICAL_ENTITY:ALGERIA_TUNISIA_BULLETIN_FRANCE,a3_single_cluster_self,1.0,244,181,Location,Algeria; ALGERIA,Location where the United States seeks base rights. || Country from which troops have been dispatched to augment security forces. || Country where Tunisian fellaghas may move
HAMMARSKJOLD,HAMMARSKJOLD (BULLETIN 1954 WHO),CANONICAL_ENTITY:HAMMARSKJOLD_BULLETIN_1954_WHO,a3_single_cluster_self,1.0,231,177,Person,Hammarskjold,UN Secretary General who informed representatives about the Israel-Jordan armistice. || UN Secretary General who was disinclined to accept the chairmanship of the Geneva conference. || UN Secretary General planning to remove a truce supervisor.
CONGO,CONGO (BULLETIN HEMELRIJCK BELGIUM),CANONICAL_ENTITY:CONGO_BULLETIN_HEMELRIJCK_BELGIUM,a3_single_cluster_self,1.0,218,148,Location,Congo,"Colony of Belgium facing political issues. || Region experiencing native political agitation. || Country in Central Africa, with a minister resigning over cabinet decisions."
DJAKARTA,DJAKARTA,CANONICAL_ENTITY:DJAKARTA,multi_sense_label,1.0,215,182,Location,Djakarta,Location of the US Ambassador's conversations with Indonesian officials. || Location where the Indonesian Foreign Minister communicated with the US Ambassador. || Location where the US Ambassador received communications from Indonesian officials.
THAILAND,THAILAND (COUNTRY BULLETIN IS),CANONICAL_ENTITY:THAILAND_COUNTRY_BULLETIN_IS,a3_single_cluster_self,1.0,214,183,Country,Thailand,Southeast Asian country where a coup attempt was reported. || Country reported to be taking action against coup attempt on 9 March || Only southern Asian nation to recognize Bao Dai government.
NASIR,NASIR (EGYPT WHO BULLETIN),CANONICAL_ENTITY:NASIR_EGYPT_WHO_BULLETIN,a3_single_cluster_self,1.0,214,140,Person,Nasir,President of Egypt who devised the plan to request funds. || Egyptian President who intends to assassinate King Hussayn. || Leader of Egypt who launched a propaganda campaign against King Saud.
AFGHANISTAN,AFGHANISTAN (PAKISTAN COUNTRY BULLETIN),CANONICAL_ENTITY:AFGHANISTAN_PAKISTAN_COUNTRY_BULLETIN,a3_single_cluster_self,1.0,211,160,Country,Afghanistan; AFGHANISTAN,Country involved in propaganda against Pakistan. || Country reporting failure in talks with Pakistan. || Country against which Pakistan seeks US support.
NORTH VIETNAM,NORTH VIETNAM (BULLETIN KOIRALA KOREA),CANONICAL_ENTITY:NORTH_VIETNAM_BULLETIN_KOIRALA_KOREA,a3_single_cluster_self,1.0,211,149,Government,North Vietnam; north Vietnam,Region where the governor reported on the liberation of villages. || Region where French exports will continue. || Indochinese state that Pakistan may recognize
EXECUTIVE OFFICES OF THE WHITE HOUSE,EXECUTIVE OFFICES OF THE WHITE HOUSE,CANONICAL_ENTITY:EXECUTIVE_OFFICES_OF_THE_WHITE_HOUSE,multi_sense_label,1.0,210,210,Organization,Executive Offices of the White House,The offices that support the President of the United States. || The executive offices supporting the President || The executive branch of the U.S. government
CHANCELLOR ADENAUER,CHANCELLOR ADENAUER (BULLETIN GERMANY INTELLIGENCE),CANONICAL_ENTITY:CHANCELLOR_ADENAUER_BULLETIN_GERMANY_INTELLIGENCE,a3_single_cluster_self,1.0,207,200,Person,Chancellor Adenauer,Chancellor of West Germany involved in the Schuman Plan. || Chancellor of West Germany seeking economic policy integration || The Chancellor of West Germany who is involved in labor legislation.
FRENCH GOVERNMENT,FRENCH GOVERNMENT,CANONICAL_ENTITY:FRENCH_GOVERNMENT,multi_sense_label,1.0,198,185,Government,French Government; French government,"The governing body of France. || Government of France involved in Moroccan situation || The government of France, involved in military decisions regarding Indochina."
HUNGARY,HUNGARY (COUNTRY BULLETIN DELEGATES),CANONICAL_ENTITY:HUNGARY_COUNTRY_BULLETIN_DELEGATES,a3_single_cluster_self,1.0,196,161,Country,Hungary,Country mentioned in relation to military strength increase. || Country where Greek guerrillas are reportedly trained. || Country involved in the purchase of Yugoslav non-ferrous metals.
ARGENTINA,ARGENTINA (COUNTRY BULLETIN LATTRE),CANONICAL_ENTITY:ARGENTINA_COUNTRY_BULLETIN_LATTRE,a3_single_cluster_self,1.0,196,146,Country,Argentina,Country whose attitude affects the Hemisphere Defense Plan. || Country mentioned in relation to military activity and foreign policy. || Country that produced atomic energy by a new method.
UNITED STATES INFORMATION AGENCY,UNITED STATES INFORMATION AGENCY,CANONICAL_ENTITY:UNITED_STATES_INFORMATION_AGENCY,multi_sense_label,1.0,192,191,Organization,United States Information Agency,An agency of the United States government. || U.S. government agency responsible for public diplomacy. || A former U.S. government agency that coordinated international information programs.
MOSSADEQ,MOSSADEQ (BULLETIN IS MAJLIS),CANONICAL_ENTITY:MOSSADEQ_BULLETIN_IS_MAJLIS,a3_single_cluster_self,1.0,192,163,Person,Mossadeq,"Prime Minister of Iran, devoted to non-intervention and freedom of expression. || Iranian Prime Minister presenting cabinet to the Majlis. || Iranian political figure mentioned as being misinformed about oil operations."
LEBANON,LEBANON (COUNTRY BULLETIN INTELLIGENCE),CANONICAL_ENTITY:LEBANON_COUNTRY_BULLETIN_INTELLIGENCE,a3_single_cluster_self,1.0,189,142,Country,Lebanon,Country where the US Minister reports from. || A country in the Middle East. || Country with a hardening position toward Middle East Command
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE (HEAD BULLETIN STATES),CANONICAL_ENTITY:SECRETARY_OF_DEFENSE_HEAD_BULLETIN_STATES,a3_single_cluster_self,1.0,188,187,Person,Secretary of Defense; The Secretary of Defense,Head of the Department of Defense. || The head of the Department of Defense. || Head of the Department of Defense
TUNISIA,TUNISIA (BULLETIN MOROCCO AS),CANONICAL_ENTITY:TUNISIA_BULLETIN_MOROCCO_AS,a3_single_cluster_self,1.0,188,136,Location,Tunisia; TUNISIA,Country reacting to events in Morocco || Country in North Africa || Location where military survey and facilities are being discussed
SHAH,SHAH,CANONICAL_ENTITY:SHAH,multi_sense_label,1.0,187,151,Person,Shah; shah; the shah; The Shah,Monarch of Iran || The monarch of Iran who plans to install Seyyid Zia as prime minister. || The monarch of Iran.
CEYLON,CEYLON (COUNTRY BULLETIN BAO),CANONICAL_ENTITY:CEYLON_COUNTRY_BULLETIN_BAO,a3_single_cluster_self,1.0,184,125,Country,Ceylon,Country considering recognition of the Bao Dai government. || Considering recognition of Bao Dai and aligning with UK policy. || Country approached by Communist China for a barter deal.
PRESIDENT,PRESIDENT,CANONICAL_ENTITY:PRESIDENT,multi_sense_label,1.0,181,180,Person,President; The President; THE PRESIDENT,"One of the two most important members of the Democratic Party involved in disputes. || The President of the United States, implied as a figure of encouragement for Zahedi's visit. || The head of state and government of the United States."
TITO,TITO (BULLETIN IS YUGOSLAVIA),CANONICAL_ENTITY:TITO_BULLETIN_IS_YUGOSLAVIA,a3_single_cluster_self,1.0,180,153,Person,Tito,"Yugoslav leader preferring to table the Trieste question || Yugoslav leader who commented on rearmament of Satellites || The leader of Yugoslavia, associated with the regime."
UN,UN,CANONICAL_ENTITY:UN,multi_sense_label,1.0,178,156,Organization,UN,"United Nations, where the document will be forwarded || United Nations, potential appeal for action || United Nations, involved in international policies."
KING SAUD,KING SAUD (ARABIA WHO BULLETIN),CANONICAL_ENTITY:KING_SAUD_ARABIA_WHO_BULLETIN,a3_single_cluster_self,1.0,178,136,Person,King Saud,King of Saudi Arabia who rejected the US military grant aid agreement. || King of Saudi Arabia who rejected a military aid draft on sovereignty grounds. || King of Saudi Arabia who signed the decree terminating the Point IV program.
VICE PRESIDENT,VICE PRESIDENT (OFFICES INVESTIGATION WHITE),CANONICAL_ENTITY:VICE_PRESIDENT_OFFICES_INVESTIGATION_WHITE,a3_single_cluster_self,1.0,176,176,Person,The Vice-President; The Vice President; Vice President,The second-highest executive officer of the United States. || The Vice President of the United States || The second-highest executive officer.
BRAZIL,BRAZIL (COUNTRY BULLETIN BRAZILIAN),CANONICAL_ENTITY:BRAZIL_COUNTRY_BULLETIN_BRAZILIAN,a3_single_cluster_self,1.0,176,113,Country,Brazil,Country in South America || Country expressing interest in sending troops to Korea || Country in South America involved in manganese ore transportation.
US,UNITED STATES,CANONICAL_ENTITY:UNITED_STATES,accept_rule,1.0,175,160,Country,US,"United States delegation at the Deputy Foreign Ministers' Conference || United States, represented in the Western delegations. || Country involved in defense negotiations with Iceland."
VIENTIANE,VIENTIANE (LAOS CAPITAL BULLETIN),CANONICAL_ENTITY:VIENTIANE_LAOS_CAPITAL_BULLETIN,a3_single_cluster_self,1.0,175,133,Location,Vientiane,Location where the American Charge was informed about the king's decision. || Capital of Laos where the American charge is located. || Capital of Laos where the appeal to the UN was communicated.
SOUTH VIETNAM,SOUTH VIETNAM (BULLETIN 1954 MINH),CANONICAL_ENTITY:SOUTH_VIETNAM_BULLETIN_1954_MINH,a3_single_cluster_self,1.0,173,124,Location,South Vietnam,"Region in Southeast Asia that may face political challenges. || A country in Southeast Asia, known for its conflict with Communism. || Location where evacuation plans are being discussed."
CENTRAL INTELLIGENCE AGENCY,CENTRAL INTELLIGENCE AGENCY,CANONICAL_ENTITY:CENTRAL_INTELLIGENCE_AGENCY,multi_sense_label,1.0,172,172,Organization,Central Intelligence Agency; CENTRAL INTELLIGENCE AGENCY,The agency responsible for providing national security intelligence to senior US policymakers. || Agency that published the intelligence bulletin || Agency responsible for the intelligence bulletin.
UNITED NATIONS,UNITED NATIONS,CANONICAL_ENTITY:UNITED_NATIONS,multi_sense_label,1.0,169,161,Organization,United Nations,International organization involved in the embargo discussions. || An international organization not to be involved in cease-fire negotiations according to the document. || International organization involved in the complaint regarding cease-fire agreement.
NORTH KOREA,NORTH KOREA (COUNTRY BULLETIN US),CANONICAL_ENTITY:NORTH_KOREA_COUNTRY_BULLETIN_US,a3_single_cluster_self,1.0,169,139,Country,North Korea,Country facing a disease problem among Communist troops. || Country involved in military actions and air potential estimates || Country in East Asia involved in allegations of biological warfare.
CHINESE COMMUNISTS,CHINESE COMMUNISTS (BULLETIN LATTRE INTERVENTION),CANONICAL_ENTITY:CHINESE_COMMUNISTS_BULLETIN_LATTRE_INTERVENTION,a3_single_cluster_self,1.0,166,157,PoliticalGroup,Chinese Communists,Political group that the French Government is trying to negotiate with. || Group that crossed the China-Indochina border. || The communist political faction in China.
NASR,NASR,CANONICAL_ENTITY:NASR,multi_sense_label,1.0,164,146,Person,Nasr,Vice Premier of Egypt who made statements regarding the Suez base. || Egyptian vice premier discussing Suez base availability. || Egyptian leader discussing Anglo-Egyptian agreement
VENEZUELA,VENEZUELA (COUNTRY BULLETIN ACTION),CANONICAL_ENTITY:VENEZUELA_COUNTRY_BULLETIN_ACTION,a3_single_cluster_self,1.0,162,111,Country,Venezuela,A Latin American republic that seems satisfied with the US Department's comments regarding the Japanese treaty. || The country where the political unrest and government actions are taking place. || Country where the Democratic Action Party is located.
BELGIUM,BELGIUM (TURKEY GREECE COUNTRY),CANONICAL_ENTITY:BELGIUM_TURKEY_GREECE_COUNTRY,a3_single_cluster_self,1.0,161,124,Country,Belgium,Country favoring NATO membership for Greece and Turkey || Country agreeing with other NATO countries on military necessity for using Greek and Turkish troops. || Country in Western Europe.
