normalized_label,mention_count,unique_docs,source_types,primary_type,label_ambiguity,looks_like_acronym,family,rule_candidate_labels,needs_sense_clustering
IPC,2,2,Organization,Organization,0.72,True,organization,IRAQ PETROLEUM COMPANY; IRAQI PETROLEUM COMPANY,True
NCNC,2,2,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
PRAM,2,1,PoliticalGroup,PoliticalGroup,0.72,True,political_group,,True
YPF,2,1,Organization,Organization,0.72,True,organization,,True
EPU,1,1,Other,Other,0.7,True,other,,True
MRP,1,1,PoliticalGroup,PoliticalGroup,0.7,True,political_group,,True
MOSCOW,359,303,Government; Location,Location,0.62,False,government,,True
PRESIDENT,181,180,Government; Other; Person,Person,0.62,False,government,,True
COCOM,28,27,Organization; Other,Organization,0.62,False,organization,,True
COMINFORM,14,14,Organization; Other; PoliticalGroup,Organization,0.62,False,political_group,,True
SAVAK,13,11,Government; Organization,Organization,0.62,False,government,,True
COMMONWEALTH,10,10,Organization; PoliticalGroup,Organization,0.62,False,political_group,,True
ORBIT,7,7,Organization; Other,Other,0.62,False,organization,,True
ARABS,5,5,Other; PoliticalGroup,PoliticalGroup,0.62,False,political_group,,True
SARBUPRI,5,3,Organization; PoliticalGroup,Organization,0.62,False,political_group,,True
AMERICAN,4,4,Government; PoliticalGroup,Government,0.62,False,government,,True
LEXPRESS,4,4,Organization; Other,Other,0.62,False,organization,,True
PARLIAMENT,4,4,Organization; Other; PoliticalGroup,PoliticalGroup,0.62,False,political_group,,True
PERBEPSI,3,3,Organization; PoliticalGroup,PoliticalGroup,0.62,False,political_group,,True
POLITIKA,3,3,Organization; Other,Organization,0.62,False,organization,,True
RIAS,3,3,Organization; Other,Organization,0.62,False,organization,,True
SENATE,3,3,Government; Organization,Government,0.62,False,government,,True
YPFB,3,1,Organization,Organization,0.62,True,organization,,True
IDEA,2,2,Organization; PoliticalGroup,Organization,0.62,False,political_group,,True
PERBUM,2,2,Organization; PoliticalGroup,Organization,0.62,False,political_group,,True
TWA,2,1,Organization,Organization,0.62,True,organization,,True
CFTC,1,1,Organization,Organization,0.62,True,organization,,True
CGIL,1,1,Organization,Organization,0.62,True,organization,,True
CGT,1,1,Organization,Organization,0.62,True,organization,,True
CGTS,1,1,Organization,Organization,0.62,True,organization,,True
CHIN,1,1,Other,Other,0.62,True,other,,True
CPP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,CONVENTION PEOPLES PARTY; COMMUNIST PARTY PKI; COMMUNIST PARTY PCV,True
EDA,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
EIB,1,1,Organization,Organization,0.62,True,organization,EXPORT IMPORT BANK; EUROPEAN INVESTMENT BANK,True
FRAP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
GATT,1,1,Organization,Organization,0.62,True,organization,,True
GCI,1,1,Other,Other,0.62,True,other,,True
GOFG,1,1,Government,Government,0.62,True,government,,True
IAC,1,1,Organization,Organization,0.62,True,organization,INTELLIGENCE ADVISORY COMMITTEE; INTER AMERICAN CONFERENCE,True
JAT,1,1,Organization,Organization,0.62,True,organization,,True
JSP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,JAPANESE SOCIALIST PARTY; JAPAN SOCIALIST PARTY; JAPANESE SOCIALIST PARTIES; JAPANS SOCIALIST PARTY; JAN SANGH PARTY,True
KBSI,1,1,Organization,Organization,0.62,True,organization,,True
KKE,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
KLM,1,1,Organization,Organization,0.62,True,organization,,True
KPM,1,1,Organization,Organization,0.62,True,organization,,True
MAC,1,1,Organization,Organization,0.62,True,organization,MIXED ARMISTICE COMMISSION; MILITARY ARMISTICE COMMISSION; MIXED ARMISTICE COMMISSIONS,True
MCA,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,MALAYAN CHINESE ASSOCIATION; MOROCCAN CONSULTATIVE ASSEMBLY; MALAY CHINESE ALLIANCE,True
MEO,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
MGB,1,1,Government,Government,0.62,True,government,,True
MISR,1,1,Other,Other,0.62,True,other,,True
MSI,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
NDP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,NATIONAL DEMOCRATIC PARTY; NEO DESTOUR PARTY,True
NUC,1,1,Organization,Organization,0.62,True,organization,NATIONAL UNITY COMMITTEE; NATIONAL UNITY COUNCIL,True
NUF,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,NATIONAL UNITED FRONT; NATIONAL UNITY FRONT,True
PCF,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
PCV,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
PKI,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
PPP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,PEOPLES PROGRESSIVE PARTY; PHILIPPINE PROGRESSIVE PARTY; PROGRESSIVE PEOPLES PARTY; PRAJA PARISHAD PARTY,True
PR,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,POPULAR REPUBLICANS; PEIPING REGIME; PHIBUN REGIME; PEIPING RADIO; POPULAR RESISTANCE; POPULAR REPUBLICAN; PANKOW REGIME; PHOUI REGIME,True
PSA,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
PSP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,PRAJA SOCIALIST PARTY; POPULAR SOCIALIST PARTY; PORTUGUESE SECURITY POLICE,True
RFC,1,1,Organization,Organization,0.62,True,organization,RECONSTRUCTION FINANCE CORPORATION; RED FLAG COMMUNISTS,True
RIV,1,1,Organization,Organization,0.62,True,organization,,True
RLP,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,RALLY OF THE LAO PEOPLE; RHEES LIBERAL PARTY; RADICAL LIBERAL PARTY,True
RPF,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
SCAP,1,1,Organization,Organization,0.62,True,organization,,True
TRUD,1,1,Organization,Organization,0.62,True,organization,,True
UPD,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
VOA,1,1,Organization,Organization,0.62,True,organization,,True
WIN,1,1,PoliticalGroup,PoliticalGroup,0.62,True,political_group,,True
PEIPING,777,587,Government; Location; Organization; Other,Location,0.54,False,government,,True
DJAKARTA,215,182,Government; Location,Location,0.54,False,government,,True
SEATO,57,48,Organization; PoliticalGroup,Organization,0.54,False,political_group,,True
BUNDESTAG,52,49,Government; Organization; Other; PoliticalGroup,Government,0.54,False,government,,True
MAJLIS,39,37,Government; Organization; Other; PoliticalGroup,PoliticalGroup,0.54,False,government,,True
SOHYO,18,10,Organization; PoliticalGroup,Organization,0.54,False,political_group,,True
SOBSI,15,15,Organization; PoliticalGroup,Organization,0.54,False,political_group,,True
ISTIQLAL,14,13,Organization; PoliticalGroup,PoliticalGroup,0.54,False,political_group,,True
BUNDESRAT,13,12,Government; Organization; Other,Government,0.54,False,government,,True
CENTO,13,11,Organization; Other; PoliticalGroup,Organization,0.54,False,political_group,,True
BORBA,12,11,Organization; Other,Organization,0.54,False,organization,,True
KARENS,11,10,Other; PoliticalGroup,PoliticalGroup,0.54,False,political_group,,True
KREMLIN,11,11,Government; Location; Organization,Government,0.54,False,government,,True
MEDO,11,9,Organization; Other; PoliticalGroup,Organization,0.54,False,political_group,,True
UNEF,11,10,Organization; Other,Organization,0.54,False,organization,,True
EURATOM,9,7,Organization; Other,Organization,0.54,False,organization,,True
CONGRESS,8,8,Government; Organization; PoliticalGroup,Government,0.54,False,government,,True
ZENGAKUREN,7,7,Organization; PoliticalGroup,PoliticalGroup,0.54,False,political_group,,True
KAREN,5,5,Other; PoliticalGroup,Other,0.54,False,political_group,,True
ASSEMBLY,4,4,Government; Organization; PoliticalGroup,Organization,0.54,False,government,,True
CHINCOM,4,4,Organization; Other,Organization,0.54,False,organization,,True
KNESSET,4,4,Government; Other,Government,0.54,False,government,,True
AATUF,3,2,Organization; Other,Organization,0.54,False,organization,,True
ANZUS,3,3,Organization; PoliticalGroup,PoliticalGroup,0.54,False,political_group,,True
FEDAYEEN,2,2,Other; PoliticalGroup,Other,0.54,False,political_group,,True
CASTRO REGIME,31,28,Government; PoliticalGroup,Government,0.52,False,government,,True
US GOVERNMENT,28,27,Government; Organization,Government,0.52,False,government,,True
FRENCH CABINET,18,16,Government; Organization; PoliticalGroup,Government,0.52,False,government,,True
CAO DAI,17,17,PoliticalGroup; ReligiousGroup,ReligiousGroup,0.52,False,political_group,,True
AMERICAN LEGATION,16,14,Organization; Other,Organization,0.52,False,organization,,True
AMERICAN OFFICIALS,16,16,Government; Organization; Other,Organization,0.52,False,government,,True
ITALIAN FOREIGN MINISTRY,15,15,Government; Organization,Organization,0.52,False,government,,True
BRITISH AUTHORITIES,14,13,Government; Organization,Government,0.52,False,government,,True
ECA,14,13,Document; Organization; Other,Organization,0.52,True,document,,True
FRENCH OFFICIALS,14,14,Government; Organization; Other,Organization,0.52,False,government,,True
CASTRO GOVERNMENT,12,9,Government; PoliticalGroup,Government,0.52,False,government,,True
EAST GERMAN REGIME,12,12,Government; PoliticalGroup,Government,0.52,False,government,,True
FRENCH COMMUNITY,12,10,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
GENERAL CONFEDERATION OF LABOR,12,12,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
NATIONAL UNITY COMMITTEE,10,8,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
ALGERIAN PROVISIONAL GOVERNMENT,9,9,Government; Organization; PoliticalGroup,Government,0.52,False,government,,True
FOREIGN MINISTRY,9,9,Government; Organization,Organization,0.52,False,government,,True
SOVIET LEADERS,9,9,Government; Organization; Other,Government,0.52,False,government,,True
YOSHIDA GOVERNMENT,9,9,Government; PoliticalGroup,Government,0.52,False,government,,True
AMERICAN CONSULATE,8,8,Organization; Other,Organization,0.52,False,organization,,True
CAIRO RADIO,8,8,Organization; Other,Organization,0.52,False,organization,,True
CHAMBER OF DEPUTIES,8,8,Government; Organization; Other; PoliticalGroup,Organization,0.52,False,government,,True
GAILLARD GOVERNMENT,8,6,Government; Organization,Government,0.52,False,government,,True
FRANCO REGIME,7,7,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
PROVISIONAL ALGERIAN GOVERNMENT,7,7,Government; PoliticalGroup,Government,0.52,False,government,,True
RHEE REGIME,7,7,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
HUKS,6,6,Military; PoliticalGroup,PoliticalGroup,0.52,True,military,,True
NATIONALIST GOVERNMENT,6,6,Government; PoliticalGroup,Government,0.52,False,government,,True
SALAZAR REGIME,6,5,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
SOVIET CENTRAL COMMITTEE,6,6,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
TURKISH FOREIGN MINISTRY,6,6,Government; Organization,Organization,0.52,False,government,,True
AFRO ASIAN SOLIDARITY CONFERENCE,5,4,Organization; Other,Other,0.52,False,organization,,True
ALGERIAN GOVERNMENT,5,5,Government; PoliticalGroup,Government,0.52,False,government,,True
BELGIAN FOREIGN MINISTRY,5,5,Government; Organization,Organization,0.52,False,government,,True
CONSERVATIVE GOVERNMENT,5,5,Government; PoliticalGroup,Government,0.52,False,government,,True
CUBAN REGIME,5,5,Government; Organization,Government,0.52,False,government,,True
DJUANDA CABINET,5,5,Government; Other,Other,0.52,False,government,,True
EGYPTIAN REVOLUTIONARY COMMAND COUNCIL,5,5,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
EUROPEAN COMMUNITY,5,5,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
ILEO GOVERNMENT,5,5,Government; PoliticalGroup,Government,0.52,False,government,,True
MINISTER OF INTERIOR,5,5,Government; Person,Person,0.52,False,government,,True
PHIBUN REGIME,5,5,Government; PoliticalGroup,Government,0.52,False,government,,True
PHILIPPINE CONGRESS,5,5,Government; Organization; Other; PoliticalGroup,Government,0.52,False,government,,True
SEGNI GOVERNMENT,5,4,Government; PoliticalGroup,Government,0.52,False,government,,True
WATCH COMMITTEE,5,5,Organization; Other,Organization,0.52,False,organization,,True
AMERICAN DELEGATION,4,4,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
ASSOCIATED STATES,4,4,Other; PoliticalGroup,Other,0.52,False,political_group,,True
CENTRAL BANK,4,4,Organization; Other,Other,0.52,False,organization,,True
CUBAN EXILES,4,4,Other; PoliticalGroup,Other,0.52,False,political_group,,True
EAST GERMAN DELEGATION,4,4,Organization; Other; PoliticalGroup,Organization,0.52,False,political_group,,True
GIZENGAS REGIME,4,4,Government; PoliticalGroup,Government,0.52,False,government,,True
HATOYAMA CABINET,4,4,Government; PoliticalGroup,Government,0.52,False,government,,True
MENDERES GOVERNMENT,4,4,Government; PoliticalGroup,Government,0.52,False,government,,True
POLISH FOREIGN MINISTRY,4,3,Government; Organization,Organization,0.52,False,government,,True
QASHQAI TRIBE,4,4,Other; PoliticalGroup,Other,0.52,False,political_group,,True
STANLEYVILLE REGIME,4,4,Government; PoliticalGroup,Government,0.52,False,government,,True
SYRIAN PARLIAMENT,4,4,Government; Organization; Other,Government,0.52,False,government,,True
TITO REGIME,4,4,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
ULBRICHT REGIME,4,4,Government; PoliticalGroup,Government,0.52,False,government,,True
UN DISARMAMENT SUBCOMMITTEE,4,3,Organization; Other,Organization,0.52,False,organization,,True
WEST GERMAN CONSTITUTIONAL COURT,4,4,Government; Organization,Organization,0.52,False,government,,True
YUGOSLAV FOREIGN MINISTRY,4,4,Government; Organization,Organization,0.52,False,government,,True
BURMESE LEADERS,3,3,Government; PoliticalGroup,Government,0.52,False,government,,True
CANADIAN DELEGATION,3,3,Government; Other; PoliticalGroup,Government,0.52,False,government,,True
CHINESE COMMUNIST DELEGATION,3,3,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
CHRISTIAN DEMOCRATIC GOVERNMENT,3,3,Government; PoliticalGroup,Government,0.52,False,government,,True
DIRECTOR OF CENTRAL INTELLIGENCE,3,3,Organization; Person,Organization,0.52,False,organization,,True
EUROPEAN POLITICAL COMMUNITY,3,3,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
FOURTH REPUBLIC,3,3,Government; Other,Government,0.52,False,government,,True
FRENCH DELEGATION,3,3,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
FRENCH LEGATION,3,3,Organization; Other,Organization,0.52,False,organization,,True
GREEK FOREIGN OFFICE,3,3,Government; Organization,Organization,0.52,False,government,,True
GREEK PRIME MINISTER,3,3,Government; Person,Person,0.52,False,government,,True
GSFG,3,2,Military; Organization,Military,0.52,True,military,,True
INDIAN PARLIAMENT,3,3,Organization; Other,Organization,0.52,False,organization,,True
KATANGA REGIME,3,3,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
KENNEDY ADMINISTRATION,3,3,Government; Organization,Government,0.52,False,government,,True
MALI GOVERNMENT,3,3,Government; Organization,Government,0.52,False,government,,True
MINISTER OF DEFENSE,3,3,Government; Person,Person,0.52,False,government,,True
MINISTRY OF INTERIOR,3,3,Government; Organization,Government,0.52,False,government,,True
ORBIT COUNTRIES,3,3,Other; PoliticalGroup,Other,0.52,False,political_group,,True
POLISH DELEGATION,3,3,Other; PoliticalGroup,Other,0.52,False,political_group,,True
SOVIET MINISTRY OF FOREIGN AFFAIRS,3,3,Government; Organization,Organization,0.52,False,government,,True
STROESSNER DICTATORSHIP,3,2,Government; PoliticalGroup,Government,0.52,False,government,,True
SUPREME COURT,3,3,Government; Organization; Other,Organization,0.52,False,government,,True
UN SECRETARY GENERAL,3,3,Organization; Other,Organization,0.52,False,organization,,True
US AIR ATTACHÉ,3,3,Organization; Other,Other,0.52,False,organization,,True
WEST GERMAN BUNDESTAG,3,3,Government; Organization; PoliticalGroup,Organization,0.52,False,government,,True
YUGOSLAV FOREIGN MINISTER,3,3,Government; Person,Person,0.52,False,government,,True
YUGOSLAV OFFICIALS,3,3,Government; Organization; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
AFGHAN FOREIGN MINISTRY,2,2,Government; Organization,Organization,0.52,False,government,,True
ALGERIAN ASSEMBLY,2,2,Other; PoliticalGroup,Other,0.52,False,political_group,,True
AUSTRIAN OFFICIALS,2,2,Government; Other,Government,0.52,False,government,,True
BAGHDAD PEOPLES COURT,2,2,Organization; Other,Organization,0.52,False,organization,,True
BRITISH COMMONWEALTH,2,2,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
BRUSSELS PACT,2,2,Other; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
DEFENSE MINISTER,2,2,Government; Person,Government,0.52,False,government,,True
EAST GERMAN PEOPLES CHAMBER,2,2,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
EGYPTIAN MINISTRY OF WAR,2,2,Government; Organization,Organization,0.52,False,government,,True
EGYPTIAN PARLIAMENT,2,2,Organization; Other,Organization,0.52,False,organization,,True
FEDERATION OF TRADE UNIONS,2,2,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
FINANCE MINISTRY,2,2,Government; Organization,Government,0.52,False,government,,True
FRENCH ADMINISTRATION,2,2,Government; Organization,Organization,0.52,False,government,,True
FRENCH AND BRITISH,2,2,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
FRENCH DEFENSE MINISTRY,2,2,Government; Organization,Government,0.52,False,government,,True
FRENCH MINISTRY OF INTERIOR,2,2,Government; Organization,Organization,0.52,False,government,,True
GIZENGAS STANLEYVILLE REGIME,2,2,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
HOME MINISTRY,2,2,Government; Organization,Organization,0.52,False,government,,True
INDONESIAN DELEGATION,2,2,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
INTERIOR MINISTRY,2,2,Government; Organization,Organization,0.52,False,government,,True
IRANIAN PRESS,2,2,Organization; Other,Other,0.52,False,organization,,True
IRAQI FOREIGN MINISTRY,2,2,Government; Organization,Government,0.52,False,government,,True
JAPANESE DELEGATION,2,2,Organization; Other,Other,0.52,False,organization,,True
KASHMIRI CONSTITUENT ASSEMBLY,2,2,Organization; Other,Other,0.52,False,organization,,True
LAGO REFINERY,2,2,Organization; Other,Organization,0.52,False,organization,,True
LAOTIAN DELEGATION,2,2,Government; Other,Other,0.52,False,government,,True
LAOTIAN MINISTRY OF DEFENSE,2,2,Government; Organization,Organization,0.52,False,government,,True
MINISTRY OF INTERNAL AFFAIRS,2,2,Government; Organization,Organization,0.52,False,government,,True
MOROCCAN LABOR UNION,2,2,Organization; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
NATIONAL ASSEMBLYS FOREIGN AFFAIRS COMMITTEE,2,2,Organization; Other,Organization,0.52,False,organization,,True
NKRUMAH REGIME,2,2,Government; PoliticalGroup,Government,0.52,False,government,,True
NORTH KOREAN DELEGATION,2,2,Other; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
PEOPLES CONGRESS,2,2,Organization; Other,Organization,0.52,False,organization,,True
RADIO BAGHDAD,2,2,Organization; Other,Organization,0.52,False,organization,,True
SED CENTRAL COMMITTEE,2,2,Organization; PoliticalGroup,Organization,0.52,False,political_group,,True
SOVIET COUNCIL OF MINISTERS,2,2,Government; Organization,Organization,0.52,False,government,,True
SYRIAN OFFICIALS,2,2,Other; PoliticalGroup,PoliticalGroup,0.52,False,political_group,,True
TURKISH PAKISTANI PACT,2,2,Other; PoliticalGroup,Other,0.52,False,political_group,,True
UZBEK REPUBLIC,2,2,Government; Location,Location,0.52,False,government,,True
VENEZUELAN JUNTA,2,2,Government; PoliticalGroup,PoliticalGroup,0.52,False,government,,True
WEST GERMAN CABINET,2,2,Government; Organization,Organization,0.52,False,government,,True
YUGOSLAV FOREIGN OFFICE,2,2,Government; Organization,Organization,0.52,False,government,,True
TUDEH,62,56,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
LIBERALS,14,14,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
PERONISTAS,10,9,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
STANVAC,10,8,Organization,Organization,0.5,False,organization,,True
MAU MAU,8,8,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
OEEC,7,6,Organization,Organization,0.5,False,organization,,True
REPUBLICANS,7,7,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
SHELL,7,5,Organization,Organization,0.5,False,organization,,True
HICOG,6,6,Organization,Organization,0.5,False,organization,,True
BAATHISTS,5,5,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
PUSHTOONISTAN,5,5,Other,Other,0.5,False,other,,True
ALLIANCE,4,3,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
APRA,4,4,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
ASAHI,4,3,Organization,Organization,0.5,False,organization,,True
INDEPENDENTS,4,4,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
AEROFLOT,3,3,Organization,Organization,0.5,False,organization,,True
ATJEHNESE,2,2,Other,Other,0.5,False,other,,True
BEDOUIN,2,2,Other,Other,0.5,False,other,,True
C 130,2,2,Other,Other,0.5,False,other,,True
COMINFORMISTS,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
COMMUNISM,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
CYPRIOTS,2,2,Other,Other,0.5,False,other,,True
FIGARO,2,2,Organization,Organization,0.5,False,organization,,True
ICFTU,2,1,Organization,Organization,0.5,False,organization,,True
ISLAH,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
LAOTIANS,2,2,Other,Other,0.5,False,other,,True
LULUA,2,2,Other,Other,0.5,False,other,,True
MAINICHI,2,2,Organization,Organization,0.5,False,organization,,True
MOROCCANS,2,2,Other,Other,0.5,False,other,,True
NACIONALISTA,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
PATHETS,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
PATRONAT,2,2,Organization,Organization,0.5,False,organization,,True
POUJADIST,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
RADICALS,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
SOCIALIST,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
SOCONY,2,2,Organization,Organization,0.5,False,organization,,True
SOVIETS,2,2,Government,Government,0.5,False,government,,True
SPUTNIK V,2,2,Other,Other,0.5,False,other,,True
SUDANESE,2,2,Other,Other,0.5,False,other,,True
USIA,2,2,Organization,Organization,0.5,False,organization,,True
VOLKAN,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
WAFDIST,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
WAFDISTS,2,2,PoliticalGroup,PoliticalGroup,0.5,False,political_group,,True
USSR,1895,1149,Country; Government; Organization,Country,0.48,True,country,,True
ALI,24,21,Person,Person,0.48,True,person_name,,True
KING,17,17,Person,Person,0.48,True,person,,True
MAO,12,12,Person,Person,0.48,True,person_name,,True
TAM,12,12,Person,Person,0.48,True,person_name,,True
MOCH,8,8,Person,Person,0.48,True,person_name,,True
BERN,4,2,Location,Location,0.48,True,location,,True
HO,4,4,Person,Person,0.48,True,person_name,,True
JEBB,3,3,Person,Person,0.48,True,person_name,,True
KIM,3,3,Person,Person,0.48,True,person_name,,True
YUN,3,3,Person,Person,0.48,True,person_name,,True
LIM,2,2,Person,Person,0.48,True,person_name,,True
LYNCH,2,2,Person,Person,0.48,True,person_name,,True
MIG,2,2,Military,Military,0.48,True,military,,True
PECS,2,2,Location,Location,0.48,True,location,,True
SOHN,2,2,Person,Person,0.48,True,person_name,,True
TRI,2,2,Person,Person,0.48,True,person_name,,True
YI,2,2,Person,Person,0.48,True,person_name,,True
DEPARTMENT OF STATE,331,330,Government; Organization,Government,0.44,False,government,,True
FRENCH GOVERNMENT,198,185,Government; Organization,Government,0.44,False,government,,True
COMMUNIST PARTY,150,139,Organization; PoliticalGroup,PoliticalGroup,0.44,False,political_group,,True
BRITISH FOREIGN OFFICE,140,130,Government; Organization,Organization,0.44,False,government,,True
BRITISH GOVERNMENT,132,125,Government; Organization,Government,0.44,False,government,,True
ARAB LEAGUE,101,85,Organization; PoliticalGroup,Organization,0.44,False,political_group,,True
NATIONAL ASSEMBLY,84,77,Government; Organization; Other; PoliticalGroup,Organization,0.44,False,government,,True
CHINESE COMMUNIST PARTY,66,63,Organization; PoliticalGroup,PoliticalGroup,0.44,False,political_group,,True
ORGANIZATION OF AMERICAN STATES,61,53,Organization; Other,Organization,0.44,False,organization,,True
FRENCH FOREIGN MINISTRY,59,58,Government; Organization,Organization,0.44,False,government,,True
YUGOSLAV GOVERNMENT,55,51,Government; Organization,Government,0.44,False,government,,True
DIEM GOVERNMENT,51,49,Government; PoliticalGroup,Government,0.44,False,government,,True
INTERNATIONAL CONTROL COMMISSION,51,50,Organization; Other,Organization,0.44,False,organization,,True
MOSLEM BROTHERHOOD,51,45,Organization; PoliticalGroup; ReligiousGroup,PoliticalGroup,0.44,False,political_group,,True
