node_key,label,node_type,member_count,top_labels
LEVEL1_COMMUNITY:11,Cabinet Meeting / Formation of New Government,LEVEL1_COMMUNITY,1135,Cabinet Meeting | Formation of New Government | 10TH AIR ARMY [CZECHOSLOVAKIA / CLAIRE] | 5TH FLEET AIR FORCE | 7TH FLEET | 9TH AIR ARMY [CZECHOSLOVAKIA / CLAIRE] | ABDUL GHAFFER KHAN | ABDUS SATTAR SHALIZI
LEVEL1_COMMUNITY:12,Cease-fire negotiations / Artillery exchange,LEVEL1_COMMUNITY,1103,Cease-fire negotiations | Artillery exchange | Riots in Taipei | 10TH AIR DIVISION | 13TH AIR DIVISION | 140TH DIVISION 47TH ARMY | 1ST NAVAL AIR DIVISION | 26TH AIR DIVISION
LEVEL1_COMMUNITY:13,Dissolution of Japanese Diet / Japanese elections,LEVEL1_COMMUNITY,1053,Dissolution of Japanese Diet | Japanese elections | Resignation of Congo Minister | ABAKUMOV | ABDIRASCID ALI SCERMERCHE | ABDUL MAJID KUBAAR | AIICHIRO FUJIYAMA | AKAGI
LEVEL1_COMMUNITY:14,Geneva conference / ACHILLES,LEVEL1_COMMUNITY,975,Geneva conference | ACHILLES | ADENAUERS COALITION | AGENCE FRANCE PRESSE | AIOC [HOOVER / HERBERT] | AIX LES BAINS | ALEXANDRE PARODI | ALGERIAN ASSEMBLY [CHEVALLIER / KNUDSEN]
LEVEL1_COMMUNITY:15,Troop Withdrawal / Khrushchev's speech,LEVEL1_COMMUNITY,940,Troop Withdrawal | Khrushchev's speech | ABDULLAH RIMAWI | ABDULLAH TARIKI | ABDULLA MUBARRAK | ABD AL KARIM | ABD AL LATIF BAGHDADI | ABD AL RAHMAN BAKIR
LEVEL1_COMMUNITY:16,Rioting in Caracas / Foray into Nicaragua,LEVEL1_COMMUNITY,929,Rioting in Caracas | Foray into Nicaragua | 21ST OF SEPTEMBER MOVEMENT | 308TH DIVISION | ABDON PARRA | ACCION DEMOCRATICA | ADMIRAL LARRAZABAL | ADMIRAL WOLFGANG LARRAZABAL
LEVEL1_COMMUNITY:17,Demonstrations in South Korea / Khrushchev's Visit,LEVEL1_COMMUNITY,909,Demonstrations in South Korea | Khrushchev's Visit | Third All-African People's Conference | 1ST MILITARY REGION | 60TH ARMY | ABBAS ARAM | ADENAUER SUPPORTERS | ADNAN MALKI
LEVEL1_COMMUNITY:18,Violence in Baghdad / Demonstrations in Baghdad,LEVEL1_COMMUNITY,790,Violence in Baghdad | Demonstrations in Baghdad | Press Conference | Mikoyan's visit to Iraq | 1ST INFANTRY DIVISION | ABD AL ILAH | ABD AL QADIR ISMAIL BUSTANI | ABD AL WAHHAB MIRJAN
LEVEL1_COMMUNITY:19,Demonstrations in Cuba / Arrest of Huber Matos,LEVEL1_COMMUNITY,763,Demonstrations in Cuba | Arrest of Huber Matos | Conference in Havana | Latin American Youth Congress | 13TH OF MARCH REVOLUTIONARY DIRECTORATE | 26TH OF JULY MOVEMENT | 26 OF JULY MOVEMENT | ADLAI STEVENSON
LEVEL1_COMMUNITY:20,Burmese appeal to UN / Prime Minister's statement,LEVEL1_COMMUNITY,740,Burmese appeal to UN | Prime Minister's statement | Burmese elections | Bangkok talks | Negotiation with Communists | Border negotiations | 6TH BOMBER CORPS | AFGHAN KING
LEVEL1_COMMUNITY:21,Trade Negotiation / Interzonal Trade Agreement,LEVEL1_COMMUNITY,736,Trade Negotiation | Interzonal Trade Agreement | Trade negotiations | Foreign Ministers' Conference | ABDULLA | ADENAUER GOVERNMENT [MISSIONS / LIAISON] | ADOLF EICHMANN | ADOLPH GALLAND
LEVEL1_COMMUNITY:22,Gomulka's speech / Student demonstrations,LEVEL1_COMMUNITY,720,Gomulka's speech | Student demonstrations | Khrushchev's visit to Austria | 2ND GUARDS MECHANIZED DIVISION | 32ND MECHANIZED DIVISION | 5TH HUNGARIAN RIFLE DIVISION | ACTION GROUP AG | AEGEAN SEA
LEVEL1_COMMUNITY:23,Rakosi's speech / Unrest in Rumania,LEVEL1_COMMUNITY,704,Rakosi's speech | Unrest in Rumania | Kadar's speech | 59TH AIR ARMY | ALI CABINET [HUNGARY / SUKARNO] | AMERICAN AIR ATTACHE | AMERICAN ARMY ATTACHE [KALLAI / KOVACS] | AMERICAN COMMUNIST PARTY [RIAS / MARX]
LEVEL1_COMMUNITY:24,Delegation of powers / ABDALLAH IBRAHIM,LEVEL1_COMMUNITY,687,Delegation of powers | ABDALLAH IBRAHIM | ABDELKHALEK TORRES | ABDELKHALIK TORRES | ABDELKRIM BENJELLOUN | ABDEL BEN DRISS | ABDERRAHIM BOUABID | ABDERRAHMAN YOUSSEFI
LEVEL1_COMMUNITY:25,Demonstrations in Iraq / Conference in Abidjan,LEVEL1_COMMUNITY,684,Demonstrations in Iraq | Conference in Abidjan | African Labor Conference | AATUF [SEDDIK / MAHJOUB] | AATUF [UNIONS / TOM] | ABDOULAYE DIALLO | ABD AL HAMID SARRAJ | ABIDJAN
LEVEL1_COMMUNITY:26,62 GROUP / 8TH AIR DIVISION,LEVEL1_COMMUNITY,646,62 GROUP | 8TH AIR DIVISION | ACTING PRESIDENT GUIDO | ACT OF SANTIAGO | AFRO ASIAN SOLIDARITY COMMITTEE | AFRO ASIAN SOLIDARITY CONFERENCE [WESTRICK / KONRAD] | AFRO ASIAN STATES | AGRARIAN INSTITUTE
LEVEL1_COMMUNITY:27,Congress Meeting / Rioting in Guatemala,LEVEL1_COMMUNITY,607,Congress Meeting | Rioting in Guatemala | Cabinet Resignation | Invasion of Guatemala | Dissolution of Jordan's Chamber of Deputies | Mayoral Election | 3 700 WORKERS | ALBERT HERTZOG
LEVEL1_COMMUNITY:28,ADDU ATOLL / ALLIED COUNCIL FOR AUSTRIA,LEVEL1_COMMUNITY,521,ADDU ATOLL | ALLIED COUNCIL FOR AUSTRIA | AMERICAN AMBASSADOR IN LIMA | AMERICAN ARMY AND AIR ATTACHÉS | AMERICAN CONSUL GENERAL IN ALGIERS | AMERICAN DIPLOMATIC AGENT | AMERICAN EMBASSY IN BRUSSELS | AMERICAN EMBASSY IN CIUDAD TRUJILLO
LEVEL1_COMMUNITY:29,Colombo conference / ABDALLAH AL RIMAWI,LEVEL1_COMMUNITY,504,Colombo conference | ABDALLAH AL RIMAWI | AFRO ASIAN SOLIDARITY COUNCIL | ALGERIAN REBELS [CZECHOSLOVAKIA / CEYLON] | ALGERIAN REBEL | ALI [CHINA / DJAKARTA] | ALLENDE | AMBASSADOR PARSONS
LEVEL1_COMMUNITY:30,14TH DIVISION / AFGHAN PARLIAMENT,LEVEL1_COMMUNITY,496,14TH DIVISION | AFGHAN PARLIAMENT | AGRARIAN GOVERNMENT | AIKEN | AKEL [CLERIDES / MAKARIOS] | ALEKSANDAR RANKOVIC | ALLIANCE PARTY | AMERICAN AMBASSADOR CAFFERY
LEVEL1_COMMUNITY:31,Anti-US demonstrations / 12 NATION COMMISSION,LEVEL1_COMMUNITY,486,Anti-US demonstrations | 12 NATION COMMISSION | AFRICA FREEDOM DAY | AFRO ASIAN PEOPLES SOLIDARITY CONFERENCE | AGRARIAN LABOR PARTY | ALBERTO ESCAMILLA | ALCIBIADES AROSEMENA | ALEJANDRO REMON
LEVEL1_COMMUNITY:32,Soviet propaganda campaign / Violence in Guayaquil,LEVEL1_COMMUNITY,477,Soviet propaganda campaign | Violence in Guayaquil | Chiriboga's resignation | 11TH INTER AMERICAN CONFERENCE | AFGHAN EMBASSY | AFGHAN GOVERNMENT [CZECHOSLOVAKIA / FRANCES] | AKHAVI | ALEXANDER BOGOMOLOV
LEVEL1_COMMUNITY:33,Abrogation of the 1936 Anglo-Egyptian Treaty / January riots,LEVEL1_COMMUNITY,456,Abrogation of the 1936 Anglo-Egyptian Treaty | January riots | ADMIRAL MANOLA | AHMAD HUSAYN | AHMED NAGIB HILALI PASHA | ALEXANDRIA UNIVERSITY | ALI MAHER | ALLIED COUNCIL [WESTERN / AUSTRIA]
LEVEL1_COMMUNITY:34,Press conference / ABDUL RAHMAN BABU,LEVEL1_COMMUNITY,455,Press conference | ABDUL RAHMAN BABU | ADHEMAR DE BARROS | ADMIRAL PENNA BOTTO | AFONSO ARINOS | AFRO SHIRAZI PARTY | AIR FORCE | AIR MINISTER FLEUISS
LEVEL1_COMMUNITY:35,Bolivian revolt / ADRIEN OMARI,LEVEL1_COMMUNITY,452,Bolivian revolt | ADRIEN OMARI | AFL CIO | ALBANIAN REAR ADMIRAL SEJKO | ALGERIAN GOVERNMENT [BOLIVIA / AVEROFF] | ALVAREZ PLATA | AMERICAN ARMY ATTACHE [ORURO / HUANUNI] | AMERICAN CULTURAL CENTER [ESTENSSORO / BOLIVIA]
LEVEL1_COMMUNITY:36,Suez talks / ABBAS PARKHIDEH,LEVEL1_COMMUNITY,441,Suez talks | ABBAS PARKHIDEH | ABDULLAH ABID | ABDULLAH YAFI | ABDUL AZIZ CHOUCHANE | ABDUL RAHMAN AZZAM | ALBANIAN COUNCIL OF MINISTERS | ALGERIAN REBEL REGIME [VALIOLLAH / TAIEB]
LEVEL1_COMMUNITY:37,Arrests in Turkey / WFTU meeting,LEVEL1_COMMUNITY,433,Arrests in Turkey | WFTU meeting | ABDOL HOSEIN MASUD ANSARI | ACTING CHIEF OF STATE OF SOUTH KOREA | ACTING FOREIGN MINISTER ZORLU | ADENAUERS CHRISTIAN DEMOCRATS | ADMIRAL CARNEY | ADMIRAL REFET ARKUN
LEVEL1_COMMUNITY:38,Military Reinforcement / ABDOL HOSSEIN HEJAZI,LEVEL1_COMMUNITY,425,Military Reinforcement | ABDOL HOSSEIN HEJAZI | AFRICAN REVOLUTIONARY FRONT FOR THE INDEPENDENCE OF PORTUGUESE COLONIES IN AFRICA | AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES FRAIN | AFRO ASIAN BLOC [PINTO / PIDE] | ALBANIAN RESISTANCE LEADERS | ALBERTO FRANCO NOGUEIRA | ALFREDO RODRIGUES DOS SANTOS
LEVEL1_COMMUNITY:39,AFRO ASIAN SOLIDARITY CONFERENCE [YEMEN / IMAM] / ALESSANDRI GOVERNMENT,LEVEL1_COMMUNITY,421,AFRO ASIAN SOLIDARITY CONFERENCE [YEMEN / IMAM] | ALESSANDRI GOVERNMENT | ALLIED COUNCIL [HANKOW / SVIRIDOV] | ALL UNION SECRETARIAT | AMBASSADOR BISHOP | AMBASSADOR COOPER | AMBASSADOR PINKERTON | AMERICAN CONSULATE GENERAL [SUSLOV / TUNISIA]
LEVEL1_COMMUNITY:40,General elections / ABDUL RAZAK,LEVEL1_COMMUNITY,400,General elections | ABDUL RAZAK | ADEN COLONY | ADMIRAL BURKE | AFRICAN NATIONAL CONGRESS ANC | ALGERIAN REBELS [BELKACEM / KRIM] | ALLIANCE | AMERICAN CONSULATE GENERAL [PYONG / GOONETILLEKE]
LEVEL1_COMMUNITY:41,Coup in Ethiopia / 2ND DIVISION,LEVEL1_COMMUNITY,400,Coup in Ethiopia | 2ND DIVISION | ABDIRASCID ALI SCERMARCHE | ABDIRASCID | ABDULLAHI ISSA | ABYE | ADDIS ABABA | ADEN ABDULLAH OSMAN
LEVEL1_COMMUNITY:42,Foreign Ministers' Conference / Cardinal Sapieha's funeral,LEVEL1_COMMUNITY,358,Foreign Ministers' Conference | Cardinal Sapieha's funeral | Geneva talks | 12TH ARMY | 20TH ARMY | 27TH ARMY | ACADEMY OF SCIENCES USSR | ADMIRAL MOUNTBATTEN
LEVEL1_COMMUNITY:43,Coup attempt in Sudan / Visit of Qaysuni to the UK,LEVEL1_COMMUNITY,333,Coup attempt in Sudan | Visit of Qaysuni to the UK | Nasir's visit to Sudan | ABBOUDS MILITARY REGIME | ABBOUD GOVERNMENT | ABBOUD MILITARY GOVERNMENT | ABBOUD MILITARY REGIME | ABBOUD
LEVEL1_COMMUNITY:44,Philippine elections / 1952 MUTUAL SECURITY ACT,LEVEL1_COMMUNITY,316,Philippine elections | 1952 MUTUAL SECURITY ACT | 54TH BATTALION | AFRICAN DEMOCRATIC RALLY [PHILIPPINES / NIGER] | AGRARIAN SOCIAL DEMOCRATIC COALITION | AMERICAN AMBASSADOR BOWLES | AMERICAN EMBASSY IN MANILA | AMERICAN EMBASSY IN PHNOM PENH
LEVEL1_COMMUNITY:45,23RD CHINESE COMMUNIST ARMY / ABU ZAID,LEVEL1_COMMUNITY,314,23RD CHINESE COMMUNIST ARMY | ABU ZAID | ABYAN COTTON GROWING DISTRICT | ADEN PROTECTORATE FEDERATION | ADEN PROTECTORATE | ADMIRAL DOYLE | AHMAD HUSSEIN | ALBERTO LLERAS CAMARGO
LEVEL1_COMMUNITY:46,11TH ARMY / 13TH ARMY,LEVEL1_COMMUNITY,313,11TH ARMY | 13TH ARMY | 2ND FIELD ARMY | ALBANIAN PARTY | AMERICAN MISSIONARY | AMERICAN PETROLEUM COMPANIES | AMERICAN UNIVERSITY | BANGKOK CONFERENCE
LEVEL1_COMMUNITY:47,1936 ANGLO EGYPTIAN TREATY / ABDUL MONEM RIFAI,LEVEL1_COMMUNITY,300,1936 ANGLO EGYPTIAN TREATY | ABDUL MONEM RIFAI | ABD AL HAMID BADAWI PASHA | AHMAD MURTADA AL MARAGHI BEY | AMBASSADOR ALDRICH | AMERICAN ARMY ATTACHÉ [C304] | AMERICAN CONSUL IN KUALA LUMPUR | AMERICAN EMBASSIES IN RANGOON AND DJAKARTA
LEVEL1_COMMUNITY:48,3RD INFANTRY DIVISION / ABDYL KELLEZI,LEVEL1_COMMUNITY,287,3RD INFANTRY DIVISION | ABDYL KELLEZI | ALBANIAN WORKERS COMMUNIST PARTY | ALFRED ROBENS | ALLIED COUNCIL [GROSS / SELWYN] | AMBASSADOR LODGE | AMBASSADOR SPARKS | AMERICAN EMBASSY IN CAPE TOWN
LEVEL1_COMMUNITY:49,16 MAY 1961 / 6 JANUARY 1961,LEVEL1_COMMUNITY,272,16 MAY 1961 | 6 JANUARY 1961 | AFGHAN ARMY UNIFORM FACTORY | AFRICAN MEMBERS OF THE COMMUNITY | AKSEL LARSEN | AMERICAN CONSUL ON CYPRUS | ANADYR | ANTI SOMOZA GROUPS
LEVEL1_COMMUNITY:50,10TH AIR ARMY [PARIS / MAJLIS] / 9TH AIR ARMY [PARIS / MAJLIS],LEVEL1_COMMUNITY,262,10TH AIR ARMY [PARIS / MAJLIS] | 9TH AIR ARMY [PARIS / MAJLIS] | AKEL [BENGAL / ASSAM] | ALBANIAN OFFICIALS | ALI JAWDAT AYYUBI | ALLIED MILITARY SECURITY BOARD | AL AKHBAR | AMERICAN AMBASSADOR IN CAIRO
LEVEL1_COMMUNITY:51,AGRARIANS / AGRARIAN SOCIAL DEMOCRATIC CABINET,LEVEL1_COMMUNITY,253,AGRARIANS | AGRARIAN SOCIAL DEMOCRATIC CABINET | AHIDJO REGIME | AIOC [SWITZERLAND / SWEDEN] | AMBASSADOR SESSIONS | AMERICAN EMBASSY IN STOCKHOLM | AMERICAN MINISTER IN SWITZERLAND | AMERICAN MINISTER
LEVEL1_COMMUNITY:52,NATO meeting / ABDOLLAH ENTEZAM,LEVEL1_COMMUNITY,225,NATO meeting | ABDOLLAH ENTEZAM | ALLIES [JUIN / NETHERLANDS] | AMBASSADOR ANDERSON | AMBASSADOR BURGESS | AMBASSADOR PERKINS | AMERICAN EMBASSY IN COPENHAGEN | AMERICAN EMBASSY IN OTTAWA
LEVEL1_COMMUNITY:53,AFGHAN GOVERNMENT [SQUAD / EGYPTIANS] / ALGER HUYSMANS SPAAK,LEVEL1_COMMUNITY,204,AFGHAN GOVERNMENT [SQUAD / EGYPTIANS] | ALGER HUYSMANS SPAAK | AMERICAN EMBASSY | ANNA SEGHERS | ARNOLD ZWEIG | ASALI CABINET [RESURRECTION / AZM] | AYYANGAR | BELGIAN FOREIGN MINISTRY [SHIPBUILDING / BELGIUM]
LEVEL1_COMMUNITY:54,50TH AIR ARMY / ADEN,LEVEL1_COMMUNITY,165,50TH AIR ARMY | ADEN | ARAB JOINT COMMAND [LEBANESE / BEIRUT] | ARAB LABOR FEDERATION | ARAB LEGION [THIMMAYYA / PRAGUE] | ARAB SOCIALISTS [TIGER / SWITZERLAND] | BAHMAN SAMSAM KHAN | BLACK SEA
LEVEL1_COMMUNITY:55,ABDALLAH AL YAFI / AFGHAN GOVERNMENT [SAHIB / NATIONALE],LEVEL1_COMMUNITY,157,ABDALLAH AL YAFI | AFGHAN GOVERNMENT [SAHIB / NATIONALE] | ALGERIAN MOSLEMS | BALABAKK | BAYT AD DIN | BIQA VALLEY | BRITISH AND FRENCH | BUDDHIST NATIONALIST FORCES
LEVEL1_COMMUNITY:56,AFRO SHIRAZI PARTY ASP / BANK OF KOREA,LEVEL1_COMMUNITY,148,AFRO SHIRAZI PARTY ASP | BANK OF KOREA | BHILAI STEEL MILL | BOUN OUM GOVERNMENT [TAEGU / PYONGYANG] | BRIGADIER GENERAL KIM YUN KUN | CARTER MAGRUDER | CASTRO REGIME [TADZHIKISTAN / PETROPAVLOVSK] | CHANG MYON ADMINISTRATION
LEVEL1_COMMUNITY:57,AEROFLOT [HUK / INDIES] / AFGHAN GOVERNMENT [VATICAN / PUPPET],LEVEL1_COMMUNITY,143,AEROFLOT [HUK / INDIES] | AFGHAN GOVERNMENT [VATICAN / PUPPET] | ALLIED OFFICIALS | ALLIES [LEQUERICA / FRANCO] | APOSTOLIC DELEGATE | ARAB HIGHER COMMITTEE | ARAB HIGHER EXECUTIVE | ARBURUA
LEVEL1_COMMUNITY:58,Political Instability in Paraguay / 14TH OF MAY MOVEMENT,LEVEL1_COMMUNITY,136,Political Instability in Paraguay | 14TH OF MAY MOVEMENT | ARGENTINE NEWSPAPER | ARGENTINE POLICE | ASUNCION | BEN SLIMANE | BRAZILIAN GOVERNMENT [PARAGUAY / URUGUAY] | BRITISH ARMY [PARAGUAY / CZECHOSLOVAKIA]
LEVEL1_COMMUNITY:59,BERLIN LEADERS / FEDERAL GOVERNMENT,LEVEL1_COMMUNITY,5,BERLIN LEADERS | FEDERAL GOVERNMENT | THREE WESTERN POWERS | WEST BERLIN CITY COUNCIL | Plebiscite proposal
LEVEL1_COMMUNITY:60,AMERICAN OFFICIALS [COMMANDANTS / BERLIN] / BRITISH BERLIN COMMANDANTS,LEVEL1_COMMUNITY,3,AMERICAN OFFICIALS [COMMANDANTS / BERLIN] | BRITISH BERLIN COMMANDANTS | FRENCH BERLIN COMMANDANTS
LEVEL1_COMMUNITY:61,ARMY [LED / PEASANT] / COMMUNIST LED LABOR AND PEASANT GROUPS,LEVEL1_COMMUNITY,3,ARMY [LED / PEASANT] | COMMUNIST LED LABOR AND PEASANT GROUPS | seizure of private properties
