community_id,node_key,label,analyst_label,size,top_labels,top_types,analyst_summary
241,COMMUNITY:241,Iranian Leadership and Regional Alliances,Middle Eastern Political Dynamics,77,SHAH OF IRAN | BAGHDAD PACT | Shah's decision on Baghdad Pact | PRIME MINISTER ALA | CHAPIN | MANUCHEHR EQBAL | Possible resignation of Hossein Ala | GENERAL DAGHESTANI,"{""EventCluster"": 42, ""CanonicalEntity"": 35}",This community explores the interactions between Iranian leadership and regional alliances during the Shah's era.
310,COMMUNITY:310,Bukittinggi and Regional Dynamics,Sumatra's Historical Geopolitical Landscape,76,BUKITTINGGI | PADANG | HUSSEIN [CENTRAL] | MOROTAI | SOLOK | TAPANULI | LT COL SUMUAL | Fall of Bukittinggi,"{""EventCluster"": 49, ""CanonicalEntity"": 27}",This community explores the historical events and entities surrounding Bukittinggi and its influence on regional affairs in Sumatra.
463,COMMUNITY:463,Italian Political Dynamics in the 20th Century,Political Parties and Leadership in Italy,76,CHRISTIAN DEMOCRATIC PARTY | AMINTORE FANFANI | SEGNI | GRONCHI | FANFANI | NENNI SOCIALISTS [AMINTORE / GRONCHI] | REPUBLICANS | Sicilian regional elections,"{""CanonicalEntity"": 40, ""EventCluster"": 36}",This community explores the interactions and influence of key political figures and parties in Italy's governance.
7,COMMUNITY:7,Syrian Military and Political Dynamics,Geopolitical Stability and Governance in Syria,74,SYRIA | ARMY CHIEF OF INTELLIGENCE SARRAJ | Agreement on textile machinery | Divisive tendencies in Syrian government | Postponement of Sukarno's tour | ASSISTANT CHIEF OF STAFF NAFRURI | PRIME MINISTER ASSALI | SYRIAN CEREALS OFFICE,"{""EventCluster"": 49, ""CanonicalEntity"": 25}",This community explores the interplay between military leadership and political agreements in Syria's governance.
17,COMMUNITY:17,Diplomatic Dynamics in Egyptian Politics,Foreign Policy and Revolutionary Leadership,73,AMBASSADOR BYROADE | FAWZI | PRIME MINISTER NASR | EGYPTIAN REVOLUTIONARY COMMAND COUNCIL [339E] | Dissension in Revolutionary Command Council | SALAH SALIM | HAKIM AMIR | Cease-fire proposal,"{""EventCluster"": 46, ""CanonicalEntity"": 27}",This community explores the interactions and conflicts among key Egyptian political figures during a transformative period.
336,COMMUNITY:336,Cold War Diplomatic Engagements 1,International Relations and Conflict Resolution,72,MOLLET | UNITED STATES GOVERNMENT | FOREIGN MINISTER PINEAU | AMERICAN UN DELEGATE LODGE | COMMUNISTS [VINOGRADOV / ALGIERS] | ALAIN SAVARY | CZECH ARMY | Cease-fire Negotiation,"{""EventCluster"": 39, ""CanonicalEntity"": 33}","This community focuses on key diplomatic interactions during the Cold War, involving various national and political figures."
22,COMMUNITY:22,Geopolitical Dynamics of the Suez Crisis,International Relations and Military Engagements,71,PRESIDENT NASR | SUEZ CANAL COMPANY [6608] | ROYAL NAVY | FRANCOIS CHARLES ROUX | SOVIET 24TH AIR ARMY | NATO [ISRAEL / JORDAN] | Israeli military action anticipation | Nasr's premiership assumption,"{""EventCluster"": 47, ""CanonicalEntity"": 24}",This community explores the geopolitical interactions surrounding President Nasr and the Suez Canal during a pivotal historical moment.
184,COMMUNITY:184,International Diplomatic Coordination in Uruguay,Global Governance and Security Dynamics,66,UNITED NATIONS [46E2] | Uruguayan cabinet meeting | URUGUAYAN CABINET | SUDANESE GARRISON | SHEHU | Emergency meeting of UN Congo advisory committee | Withdrawal of Sudanese garrison | Capture of white officers,"{""EventCluster"": 43, ""CanonicalEntity"": 23}",This community focuses on Uruguay's role in international diplomatic meetings and security discussions involving the United Nations.
243,COMMUNITY:243,Iranian Oil Negotiation Dynamics,Geopolitical Energy Negotiations and Conflicts,66,ANGLO IRANIAN OIL COMPANY | Negotiation for Iranian oil | KWANGSI PROVINCE | COMPAGNIE FRANCAISE DES PETROLES | ROYAL DUTCH SHELL | Oil dispute negotiation | Seizure of British Properties | Iranian oil consortium agreement,"{""EventCluster"": 36, ""CanonicalEntity"": 30}",This community explores the complex negotiations surrounding Iranian oil and the involvement of major international companies.
743,COMMUNITY:743,Yoshida's Liberal Party Influence,Post-War Japanese Political Dynamics,65,YOSHIDA | LIBERAL PARTY [06DE] | ICHIRO HATOYAMA | KATSUO OKAZAKI | TAKETORA OGATA | Yoshida's visit to Washington | Yoshida's world tour | MASAZUMI ANDO,"{""EventCluster"": 40, ""CanonicalEntity"": 25}",This community explores the impact of Yoshida and the Liberal Party on Japan's post-war political landscape.
131,COMMUNITY:131,South Vietnam's Political and Military Landscape,Geopolitical Dynamics in Southeast Asia,64,DIEM GOVERNMENT [44A3] | PHAN HUY QUAT | AMERICAN MILITARY AID AND ADVISORY GROUP | Presidential elections in South Vietnam | CHINESE NATIONALIST LEGATION | ISRAEL ARMY | COMMUNIST FORCES [ISRAEL / MEIR] | ISRAELI NAVY [ISRAEL / MEIR],"{""CanonicalEntity"": 33, ""EventCluster"": 31}","This community explores the interplay of governance, military aid, and political events in South Vietnam during a turbulent era."
528,COMMUNITY:528,Nepalese Political Dynamics in the Cold War,Cold War Political Alliances and Movements,64,NEPAL | KOIRALA | KATMANDU | NEPALESE COMMUNIST PARTY | PONOMARENKO | SUBARNA | I A BENEDIKTOV | Agreement on diplomatic missions,"{""EventCluster"": 39, ""CanonicalEntity"": 25}",This community explores the political landscape and alliances in Nepal during the Cold War era.
937,COMMUNITY:937,Military Dynamics in Korean Peninsula,Geopolitical Tensions in East Asia,64,NORTH KOREA | CHOSEN SOREN | SOUTH KOREAN NAVY | SOUTH KOREAN MINISTER OF DEFENSE | NNSC | Repatriation Resumption | KO CHONG HUN | SALVATION ARMY,"{""EventCluster"": 42, ""CanonicalEntity"": 22}",This community explores military interactions and stability issues involving North Korea and South Korea.
122,COMMUNITY:122,Viet Minh and French Colonial Conflicts,Indochina War Dynamics and Key Players,63,VIET MINH [A5CF] | DIEN BIEN PHU | FRENCH FORCES [60C2] | TONKIN DELTA | GENERAL COGNY | LAI CHAU | HOA HAO [STRASSER / POUJADE] | Viet Minh Incursion,"{""EventCluster"": 36, ""CanonicalEntity"": 27}",This community focuses on the Viet Minh's role in the conflict against French colonial forces in Indochina.
788,COMMUNITY:788,Italian Communist Party Dynamics,Political Movements in Post-War Europe,63,ITALIAN COMMUNIST PARTY | TOGLIATTI | LONGO | VIDALI | French-Tunisian negotiations | Italian Communist Party national conference | Meeting of Western European Union countries | Meeting of the Communist Party's Central Committee,"{""EventCluster"": 34, ""CanonicalEntity"": 29}",This community explores the internal dynamics and events surrounding the Italian Communist Party and its leaders during a transformative period.
403,COMMUNITY:403,Italian Diplomatic Engagements in Pella,Foreign Policy and Economic Assistance Initiatives,62,ITALY | PELLA | AMBASSADOR LUCE | ITALIAN FOREIGN MINISTRY [LUCE / AMERICANS] | TOGNI | ALBERTO ROSSI LONGHI | Economic Aid Offer to Turkey | Potential Economic Assistance to Italy,"{""EventCluster"": 38, ""CanonicalEntity"": 24}","This community focuses on Italy's diplomatic activities and economic aid discussions, particularly involving Pella and key figures."
21,COMMUNITY:21,Diplomatic Engagements in Jidda,International Relations and Diplomacy,61,AMBASSADOR MOOSE | GHAZZI | AMERICAN EMBASSY IN JIDDA | UN TRUCE SUPERVISORY ORGANIZATION | PRIME MINISTER GHAZZI | TAPLINE COMPANY | Four-power Arab meeting | SHUKRI QUWATLI,"{""EventCluster"": 39, ""CanonicalEntity"": 22}",This community focuses on key diplomatic interactions and events involving the American Embassy in Jidda.
507,COMMUNITY:507,Chou En Lai's Diplomatic Engagements,International Relations and Leadership Dynamics,61,CHOU EN LAI | Chou's visit to Rangoon | NATIONAL PEOPLES CONGRESS | BURMESE PREMIER NU | Chinese concession on POWs | FORMOSA STRAIT | BURMESE LEADERS [BRITAIN / LAI] | INDIAN LEADERS,"{""CanonicalEntity"": 36, ""EventCluster"": 25}",This community focuses on Chou En Lai's diplomatic activities and interactions with Burmese and Indian leaders.
592,COMMUNITY:592,Soviet Diplomatic Engagements in the 20th Century,Cold War Foreign Policy Dynamics,60,GROMYKO | Proposed Foreign Ministers' Conference | Soviet delegation meeting | USSR [BIG / FOUR] | YURIY ZHUKOV | Denouncement of trade pact | Communication between Gromyko and Home | Troop withdrawals,"{""EventCluster"": 34, ""CanonicalEntity"": 26}",This community focuses on key Soviet diplomatic activities and negotiations during the Cold War era.
91,COMMUNITY:91,Laotian Political Movements and Governance,Political Dynamics in Laos,59,PHOUI | RALLY OF THE LAO PEOPLE | COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS CDNI | COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS | Background briefing by Phoui | Approval of Somsanith cabinet | Vote of Confidence | Election in Laos,"{""CanonicalEntity"": 31, ""EventCluster"": 28}",This community focuses on key political entities and events shaping governance in Laos.
356,COMMUNITY:356,French Nuclear Policy and Diplomacy,Nuclear Weapons and International Relations,59,FRANCE | MAURICE SCHUMANN | French nuclear test | Proposal for nuclear weapons ban | AUSTRIAN TREATY | BRAZILIAN RESOLUTION | LONDON AGREEMENTS | US-French talks,"{""EventCluster"": 31, ""CanonicalEntity"": 28}",This community focuses on France's nuclear strategy and its diplomatic engagements regarding nuclear disarmament.
571,COMMUNITY:571,Central Committee Dynamics and Key Figures,Political Leadership and Governance in the USSR,59,Central Committee meeting | DMITRY POLYANSKY | FROL KOZLOV | ALEKSEY KIRICHENKO | ALEKSEY KOSYGIN | Demotion of Averky Aristov | ALEKSANDR SHELEPIN | DMITRY USTINOV,"{""CanonicalEntity"": 38, ""EventCluster"": 21}",This community focuses on significant meetings and influential leaders within the Soviet Central Committee.
294,COMMUNITY:294,Indonesian Political Parties and Movements,Political Dynamics in Indonesia,58,MASJUMI [A2A8] | NAHDLATUL ULAMA | NATIONAL PARTY [NAHDLATUL / ULAMA] | SUKIMAN | INDONESIAN NATIONAL PARTY PNI | Announcement of new Greek cabinet | Indonesian elections | Invitation to Soviet leaders,"{""EventCluster"": 30, ""CanonicalEntity"": 28}",This community focuses on key Indonesian political parties and their influence on governance and elections.
405,COMMUNITY:405,Greece's Role in International Security Talks,International Diplomacy and Military Alliances,58,GREECE | ALEXIS KYROU | UNITED NATIONS UN | MONTGOMERY | Defense talks | Military talks | Tripartite military alliance announcement | USSR [YUGOSLAVIA / TURKEY],"{""EventCluster"": 44, ""CanonicalEntity"": 14}",This community focuses on Greece's involvement in defense discussions and military alliances during key historical events.
510,COMMUNITY:510,Opposition to King Mahendra's Regime,Political Dynamics in Nepal's Monarchy,58,KING MAHENDRA | Plans against King Mahendra | NEPALI CONGRESS | NEPALI CONGRESS PARTY | SUBARNA SHUMSHERE | PRIME MINISTER KOIRALA | GIZENGAS STANLEYVILLE REGIME [A57C] | UAR TROOPS,"{""EventCluster"": 30, ""CanonicalEntity"": 28}",This community focuses on the political opposition and strategies against King Mahendra's rule in Nepal.
90,COMMUNITY:90,Laotian Political Dynamics in the 1960s,Cold War Era Southeast Asian Politics,57,PATHÉT LAO | BONG SOUVANNOUVONG | Appointment of delegation | Guerrilla Attacks in South Vietnam | AMERICAN EMBASSY IN ASUNCION | LIBERAL PARTY [PARAGUAY / ASUNCION] | GENERAL CHERNIAKOWSKY | Souvanna's Visit to Luang Prabang,"{""EventCluster"": 42, ""CanonicalEntity"": 15}",This community focuses on the political activities and events surrounding the Pathet Lao and Souvanna Phouma during the Cold War.
99,COMMUNITY:99,Southeast Asia Diplomatic Engagements 1,International Relations and Security Dynamics,57,CHEN YI | Interview with Chen Yi | Southeast Asia Treaty Organization | British proposals on Laos | GENEVA ACCORDS | Withdrawal of government forces | KONG LE PATHET LAO [VIETNAM / TSHOMB] | USSR [SEATO / TSHOMB],"{""EventCluster"": 33, ""CanonicalEntity"": 24}",This community focuses on key diplomatic interactions and agreements in Southeast Asia during the mid-20th century.
136,COMMUNITY:136,South Vietnam's Political Turmoil and Security,Geopolitical Instability in Southeast Asia,57,SOUTH VIETNAM | Bomb Attempt on Queen Kossamak | Reinforcement Urged | AMBASSADOR DURBROW | GENERAL TY | Potential coup in Honduras | Zurich-London talks | SIHANOUK GOVERNMENT,"{""EventCluster"": 32, ""CanonicalEntity"": 25}",This community explores the complex dynamics of South Vietnam's political challenges and security threats during a turbulent historical period.
56,COMMUNITY:56,Jordan's Military and Political Dynamics,Middle Eastern Political and Military Context,56,JORDAN | KING HUSSAYN | RIFAI | Israeli Convoy Incident | Cairo's propaganda campaign | Potential Military Intervention | DRUZE TRIBES | Algerian debate,"{""EventCluster"": 30, ""CanonicalEntity"": 26}",This community explores Jordan's military posture and political stability under King Hussayn amidst regional tensions.
105,COMMUNITY:105,Lao Political Movements and Unity Efforts,Lao Nationalism and Political Dynamics,56,SOUPHANNOUVONG | NEO LAO HAK SAT [7BF7] | NEO LAO HAK SAT NLHS | Escape of Souphannouvong | COMMITTEE FOR NEUTRALITY AND NATIONAL UNITY | Formation of Committee for Neutrality and National Unity | Publication of New Petroleum Law | SYRIAN ARMY [SYRIA / SHISHAKLI],"{""EventCluster"": 40, ""CanonicalEntity"": 16}",This community focuses on key political movements and unity efforts in Laos during significant historical events.
156,COMMUNITY:156,General de Lattre and Berlin Affairs,Military Leadership and Regional Politics,56,GENERAL DE LATTRE | HUU [26A5] | US MINISTER HEATH | MACDONALD | General de Lattre's resignation threat | Opening of Rothensee canal lock | Trade discussions on Berlin | General de Lattre's statements,"{""EventCluster"": 30, ""CanonicalEntity"": 26}",This community focuses on General de Lattre's influence and actions regarding Berlin's political landscape.
323,COMMUNITY:323,Subandrio's Diplomatic Initiatives,Cold War Political Dynamics,56,SUBANDRIO | Sukarno's remarks | USSR [SUBANDRIO / NASUTION] | Call for Geneva Conference | Establishment of West Irian Committee | MALAYAN PRIME MINISTER RAHMAN | WEST IRIAN COMMITTEE | VOLKOV,"{""EventCluster"": 35, ""CanonicalEntity"": 21}","This community focuses on Subandrio's role in diplomatic efforts during the Cold War, particularly regarding West Irian and regional conferences."
816,COMMUNITY:816,Jordanian Leadership and Political Dynamics,Middle Eastern Governance and Political Structures,56,KING HUSAYN | King Husayn's letter to Nasir | BAATH PARTY [EAE3] | HAZZA MAJALLI | ABDULLAH RIMAWI | ALI ABUNUWAR | JORDANIAN CABINET | ANTOINETTE GARDINER,"{""CanonicalEntity"": 30, ""EventCluster"": 26}",This community focuses on the interactions and decisions of Jordan's leadership during a pivotal historical period.
4,COMMUNITY:4,Israeli Military Dynamics Overview,Middle Eastern Military and Political Context,55,TEL AVIV | EBAN | NEGEV | SOCIALISTS [SPAIN / YOST] | Armored exercises in Negev | Hammarskjold's discussions in Amman | Israeli army reshuffling | Submarine acquisition by Egypt,"{""EventCluster"": 41, ""CanonicalEntity"": 14}",This community focuses on the interplay of military actions and political discussions in Israel and surrounding regions.
6,COMMUNITY:6,Alexandria and Regional Military Engagements,Military Involvement in Eastern Mediterranean,55,ALEXANDRIA | KRASNODAR | ADMIRAL USHAKOV | ISRAELI FORCES [VOLUNTEERS / SMELA] | Arrival of Admiral Ushakov | EGYPTIAN FORCES [VOLUNTEERS / SMELA] | LAKE TIBERIAS | SOUTH AFRICAN VOLUNTEERS,"{""EventCluster"": 33, ""CanonicalEntity"": 22}",This community focuses on military activities and volunteer forces in Alexandria and surrounding regions.
38,COMMUNITY:38,UN Peacekeeping and Regional Stability,International Peacekeeping Operations and Energy Dynamics,55,MEIR | UN EMERGENCY FORCE UNEF | INGE TOFT | GENERAL LATIF | KERN HILLS | SHARM AL SHAIKH | UN EMERGENCY FORCE [F385] | Offer of crude oil,"{""EventCluster"": 35, ""CanonicalEntity"": 20}",This community focuses on the role of UN peacekeeping forces in regional stability and their connection to energy resources.
180,COMMUNITY:180,Political Dynamics in the Belgian Congo,Colonial and Post-Colonial African Politics,55,BELGIAN CONGO | PATRICE LUMUMBA | BRUSSELS | JOSEPH KASAVUBU | KING BAUDOUIN | DE SCHRIJVER | Sovereignty transfer announcement | NATIONAL CONGO MOVEMENT [PUBLIQUE / PATRICE],"{""EventCluster"": 34, ""CanonicalEntity"": 21}",This community explores the political landscape and key figures during the transition of the Belgian Congo to independence.
409,COMMUNITY:409,Yugoslav Leadership Dynamics,Political Structures and Governance in Yugoslavia,55,TITO | VICE PRESIDENTS KARDELJ AND RANKOVIC | GENERAL MUSCO | ITALIAN TROOPS | GOSNJAK | AL URABI | MOSE PIJADE | SOVIET REPRESENTATIVE,"{""EventCluster"": 37, ""CanonicalEntity"": 18}",This community focuses on the interactions and decisions of key Yugoslav leaders during a pivotal historical period.
412,COMMUNITY:412,Bulgarian Defense and International Relations,Military and Diplomatic Dynamics in Bulgaria,55,BULGARIA | BULGARIAN MINISTRY OF NATIONAL DEFENSE | SOVIET MINISTRY OF FOREIGN TRADE | Celebration of Motor Vehicle Production | Threat of Violence on Election Day | Editorial denouncement of the United States | Interception of American reconnaissance plane | Payments to Soviet Engineering Directorate,"{""EventCluster"": 32, ""CanonicalEntity"": 23}",This community explores Bulgaria's defense strategies and its interactions with foreign powers during critical historical events.
642,COMMUNITY:642,Pakistani Government Leadership Dynamics,Political Leadership and Governance in Pakistan,55,AYUB | ROUNTREE | COL SUMUAL | ILIFF | PHOUI GOVERNMENT [UNTSO / TIBERIAS] | Government coalition change | PAKISTANI REGIME | RYZHOV,"{""EventCluster"": 37, ""CanonicalEntity"": 18}",This community focuses on the shifts in leadership and governance within the Pakistani political landscape.
975,COMMUNITY:975,Political Turmoil in Mid-20th Century Arab States,Arab Nationalism and Political Movements,55,NURI SAID | Recall of Nuri Said | CONSTITUTIONAL UNION | ARAB UNION [LEBANON / KUWAIT] | FADHIL JAMALI | GENERAL SIR BRIAN ROBERTSON | Clashes between French and Tunisian military | Suspension of fedayeen operations,"{""EventCluster"": 31, ""CanonicalEntity"": 24}",This community reflects the political challenges and movements in Arab states during the mid-20th century.
74,COMMUNITY:74,Kong Le's Pathet Lao Movement,Laotian Military and Political Dynamics,54,KONG LE PATHET LAO [B538] | KONG LE PATHET LAO FORCES [D797] | PHOU KHOUN | XIENG KHOUANG PROVINCE | Military setbacks in Laos | Capture of Tha Thom | PLAINE DES JARRES | VANG VIENG,"{""CanonicalEntity"": 29, ""EventCluster"": 25}",This community focuses on the military and political activities of Kong Le's Pathet Lao during significant conflicts in Laos.
182,COMMUNITY:182,Political Alliances in Congolese History,Historical Political Movements and Leadership,54,GIZENGA | MULELE | LEAGUE OF RED CROSS SOCIETIES | SOVIET RED CROSS | KASAVUBU MOBUTU GOVERNMENT | AFRICAN SOLIDARITY PARTY | BELGIAN FOREIGN MINISTRY [SAHBANI / MULELE] | Proclamation of Lualaba state,"{""EventCluster"": 32, ""CanonicalEntity"": 22}",This community explores key political alliances and leadership dynamics in the Democratic Republic of the Congo.
266,COMMUNITY:266,Iran-Soviet Diplomatic Engagements,Cold War Geopolitical Dynamics,54,TEHRAN | Soviet Ambassador's return | KASHMIR CONSTITUENT ASSEMBLY [BAKSHI / KARACHI] | Bilateral arms agreement proposal | CHIEF SOVIET DELEGATE TSARAPKIN | Iranian-Soviet claims talks | MOROCCAN PREMIER ABDALLAH IBRAHIM | UN Security Council action on Kashmir,"{""EventCluster"": 32, ""CanonicalEntity"": 22}",This community focuses on the diplomatic interactions between Iran and the Soviet Union during the Cold War era.
532,COMMUNITY:532,Indochina Conflict and Diplomacy,Regional Political Dynamics in Asia,54,KRISHNA MENON | THIMAYYA | Indochina situation review | POW release concern | HUANG HUA | MUKHERJI | ASIAN AFRICAN CONFERENCE | COLOMBO POWERS CONFERENCE,"{""EventCluster"": 28, ""CanonicalEntity"": 26}",This community focuses on key figures and events influencing the Indochina situation and related diplomatic efforts.
42,COMMUNITY:42,Military Alliances in Middle Eastern Conflicts,Geopolitical Dynamics in Military Engagements,53,BRITISH FORCES | NUWAR [0C73] | ISRAELI FORCES [YUGOSLAVIA / RAJK] | SYRIAN FRONT COMMAND | SULEIMAN NABLUSI | Military agreement between Jordan and Syria | Discussion of Partition Plan | Formation of Leftist Coalition Cabinet,"{""EventCluster"": 32, ""CanonicalEntity"": 21}",This community explores the interactions and agreements among military forces in the Middle East.
468,COMMUNITY:468,BIDAULT and Allied Diplomatic Efforts,Post-War European Diplomacy and Alliances,53,BIDAULT | BRITISH OFFICIALS [YUGOSLAVIA / TURKEY] | FRANCOIS PONCET | AMERICAN OFFICIALS [CARLO / SCHMID] | HAGUE | OTTO STRASSER | Proposal for EDC treaty implementation | Preliminary talks,"{""CanonicalEntity"": 27, ""EventCluster"": 26}",This community focuses on BIDAULT's interactions with British and American officials regarding regional diplomatic initiatives.
585,COMMUNITY:585,Soviet Leadership and Governance,Cold War Political Dynamics,53,USSR [4A23] | A GROMYKO | GERMAN DEMOCRATIC REPUBLIC | MIKHAIL SUSLOV | SEMIPALATINSK AIRFIELD | SHELEPIN | WESTERN GOVERNMENTS | ARSEN ZVEREV,"{""CanonicalEntity"": 37, ""EventCluster"": 16}",This community focuses on key figures and events shaping governance in the USSR and its influence on global politics.
679,COMMUNITY:679,Chinese Political Factions in Historical Context,Cold War Era Political Dynamics,53,CHINESE COMMUNIST | CHINESE NATIONALIST [7294] | NATIONALIST | CHINESE NATIONALIST [MAWEI / FOOCHOW] | Personnel changes in Chinese Communist regime | Eighth congress of the Chinese Communist Party | FRENCH SUPPORTED GUERRILLAS | Movement of Chinese armies,"{""EventCluster"": 32, ""CanonicalEntity"": 21}",This community explores the interactions and conflicts between Chinese Communist and Nationalist factions during the Cold War.
14,COMMUNITY:14,Gaza Strip Humanitarian and Security Dynamics,International Responses to Gaza Crisis,52,GAZA STRIP | UNITED NATIONS EMERGENCY FORCES | RAFIQ | NAHAL | Egypt sends officials to Gaza | Emergency conference in Iraq | Food supply exhaustion in Gaza | France prepares air cover for Israel,"{""EventCluster"": 30, ""CanonicalEntity"": 22}",This community focuses on the humanitarian and security challenges in the Gaza Strip amid international diplomatic efforts.
100,COMMUNITY:100,Hanoi Watch Committee Discussions,Military and Political Engagements in Southeast Asia,52,HANOI | Watch Committee meeting | XIENG KOUANG | INTERNATIONAL CONTROL COMMISSION FOR LAOS | NHAN VAN | HANOI UNIVERSITY | Military action in Southwest China | Proposed talks in Hanoi,"{""EventCluster"": 34, ""CanonicalEntity"": 18}",This community focuses on discussions and events related to military and political oversight in Hanoi during a critical period.
144,COMMUNITY:144,Ho Chi Minh and Revolutionary Leadership,Vietnamese Revolutionary Movements and Key Figures,52,HO CHI MINH | Ho Chi Minh's trip | GENERAL NGUYEN CHI THANH | VO NGUYEN GIAP | Promotion of Nguyen Chi Thanh | TRUONG CHINH | LE DUAN | JEAN SAINTENY,"{""EventCluster"": 30, ""CanonicalEntity"": 22}",This community focuses on Ho Chi Minh and influential leaders in Vietnam's revolutionary history.
189,COMMUNITY:189,Congo Military Operations,Geopolitical Events in Central Africa,52,AMBASSADOR STEVENSON | MATADI | military campaign | Establishment of Communist Congolese party | Incident involving USIS officer | Communication from Elisabethville | Economic challenges in Japan | Military operation in Congo,"{""EventCluster"": 31, ""CanonicalEntity"": 21}",This community explores military operations and political developments in Congo during a period of significant upheaval.
267,COMMUNITY:267,Iranian Political Leadership in the 1950s,Mid-20th Century Iranian Governance Dynamics,52,MOSSADEQ | KASHANI | MAJLIS [5AD2] | NASSER | HOSSEIN NAVAB | IRANIAN PARLIAMENT [F109] | IRANIAN NATIONAL BANK [NASSER / PHAO] | IMPERIAL GUARDS,"{""EventCluster"": 33, ""CanonicalEntity"": 19}",This community focuses on key figures and institutions shaping Iran's political landscape during the 1950s.
