narrative_id,node_key,label,analyst_label,num_communities,size,top_labels,top_types,analyst_summary
14,NARRATIVE:14,Geopolitical Dynamics in Post-War Europe,European Political and Diplomatic Developments,45,975,FRENCH GOVERNMENT [1CDE] | MENDES FRANCE | AMBASSADOR DILLON | FRENCH COMMUNIST PARTY | PINAY | AMERICAN EMBASSY IN PARIS | PREMIER LANIEL | FRENCH NATIONAL ASSEMBLY,"{""CanonicalEntity"": 532, ""EventCluster"": 443}",This narrative explores the complex political and diplomatic interactions in Europe following World War II.
29,NARRATIVE:29,Geopolitical Dynamics in the Cold War Era,Cold War Political and Economic Interactions,45,504,CEYLON | COMMUNIST CHINA | BANDARANAIKE | National Elections | DAHANAYAKE | GOONETILLEKE | UNITED NATIONAL PARTY | SRI LANKA FREEDOM PARTY,"{""EventCluster"": 259, ""CanonicalEntity"": 245}","This narrative explores the complex political and economic relationships during the Cold War, particularly in Ceylon and Communist China."
19,NARRATIVE:19,Cuban Political Dynamics and Regional Influence,Cuban Governance and International Relations,43,763,CUBA | FIDEL CASTRO | BATISTA | CASTRO | RAUL CASTRO | CUBAN GOVERNMENT [FF53] | CHE GUEVARA | Rally in Havana,"{""EventCluster"": 397, ""CanonicalEntity"": 366}",This narrative explores the complex political landscape of Cuba and its impact on regional dynamics during the mid-20th century.
18,NARRATIVE:18,Arab World Cold War Dynamics,Cold War Influences and Regional Politics,42,790,IRAQ | QASIM [LEADER] | NURI SAID | PRIME MINISTER QASIM | BAGHDAD | JAMALI | SOUTH AFRICA | IRAQI COMMUNIST PARTY,"{""EventCluster"": 401, ""CanonicalEntity"": 389}",This narrative explores the complex interplay of political changes and international relations in the Arab world during the Cold War.
20,NARRATIVE:20,Southeast Asia Nationalism Movements,Regional Political Movements and Nationalism,41,740,BURMA | NE WIN | BA SWE | CHINESE NATIONALISTS [PRAJA / DALAI] | KYAW NYEIN | JAPANESE GOVERNMENT [YON / MYON] | UNU [0CEF] | PREMIER NU,"{""EventCluster"": 393, ""CanonicalEntity"": 347}","This narrative explores the interplay of nationalism and political movements across Southeast Asia, particularly focusing on Burma and its regional influences."
22,NARRATIVE:22,Geopolitical Dynamics in Central Europe,Central European Political and Diplomatic Interactions,41,720,POLAND | AUSTRIA | GOMULKA | GRUBER | WARSAW | CYRANKIEWICZ | VIENNA | GENERAL WITASZEWSKI,"{""CanonicalEntity"": 360, ""EventCluster"": 360}",This narrative explores the complex political and diplomatic relationships in Central Europe during the mid-20th century.
37,NARRATIVE:37,Turkey's Political Landscape and Military Relations,Geopolitical Dynamics in Turkey and the Middle East,40,433,TURKEY | MENDERES | GENERAL GURSEL | COMMITTEE OF NATIONAL UNION | REPUBLICAN PEOPLES PARTY | BAYAR | ANKARA | REPUBLICAN PEOPLES PARTY RPP,"{""EventCluster"": 232, ""CanonicalEntity"": 201}",Exploring the complex interplay of Turkey's political shifts and military alliances in the regional context.
32,NARRATIVE:32,Geopolitical Dynamics in Latin America and Europe,Transnational Political and Economic Interactions,39,477,CZECHOSLOVAKIA | ECUADOR | VELASCO | PERU | PONCE | CHIRIBOGA | GUAYAQUIL | MANUEL ARAUJO,"{""CanonicalEntity"": 244, ""EventCluster"": 233}",Exploring the interconnected political and economic narratives across Latin America and Europe.
39,NARRATIVE:39,Political Dynamics in Southeast Asia,Southeast Asian Political Landscape,39,421,THAILAND | SARIT | PHIBUN | PHAO | THANOM | BANGKOK | PRAPAT | MARSHAL SARIT,"{""EventCluster"": 239, ""CanonicalEntity"": 182}",This narrative explores the complex political maneuvers and dynamics shaping Southeast Asia's geopolitical landscape.
30,NARRATIVE:30,Geopolitical Dynamics in the Eastern Mediterranean,Regional Political and Military Interactions,38,496,ARCHBISHOP MAKARIOS | CYPRUS | BRITISH GOVERNMENT [6CFF] | GRIVAS | PRESIDENT MAKARIOS | KARAMANLIS | PAPAGOS | GREEK GOVERNMENT [WAFD / MAHER],"{""EventCluster"": 254, ""CanonicalEntity"": 242}",This narrative explores the complex political and military relationships in the Eastern Mediterranean region during the 20th century.
23,NARRATIVE:23,Cold War Political Dynamics in Eastern Europe,Geopolitical Tensions and Alliances,37,704,HUNGARY | RUMANIA | IMRE NAGY | BUDAPEST | RAKOSI | BUCHAREST | HUNGARIAN COMMUNIST PARTY | AMERICAN LEGATION IN BUDAPEST,"{""EventCluster"": 362, ""CanonicalEntity"": 342}",This narrative explores the complex political interactions and conflicts in Eastern Europe during the Cold War era.
36,NARRATIVE:36,Libya's Political Security Landscape,Regional Political and Security Interactions,36,441,LIBYA | ARAB LEAGUE [81A8] | KING IDRISS | AMBASSADOR CAFFERY | BEN HALIM | MUNTASSER | TRIPOLI | Recent Arab League meeting,"{""EventCluster"": 222, ""CanonicalEntity"": 219}",This narrative explores the complex interplay of political and security events across the Arab world.
24,NARRATIVE:24,Geopolitical Dynamics in North Africa and Beyond,Regional Governance and International Relations,35,687,MOROCCO | SPAIN | KING MOHAMED V | MOROCCAN GOVERNMENT [92B3] | ISTIQLAL PARTY | KING HASSAN II | IBRAHIM | FAURE,"{""EventCluster"": 358, ""CanonicalEntity"": 329}",Exploring the complex interactions of political leadership and military engagements in North Africa and their broader implications.
31,NARRATIVE:31,Latin America Military Dynamics,Regional Political and Military Developments,35,486,PANAMA | EL SALVADOR | CHILE | IBANEZ | DE LA GUARDIA | Military Coup | US EMBASSY [A4A8] | State of Siege,"{""CanonicalEntity"": 268, ""EventCluster"": 218}",This narrative explores the complex political and military interactions shaping Latin American countries during periods of turmoil and change.
34,NARRATIVE:34,Political Dynamics and Leadership in Brazil,Governance and Political Movements in Latin America,35,455,BRAZIL | PRESIDENT KUBITSCHEK | QUADROS | PRESIDENT VARGAS | JANIO QUADROS | GOULART | INTERNATIONAL MONETARY FUND [9A1F] | ZANZIBAR NATIONALIST PARTY,"{""CanonicalEntity"": 239, ""EventCluster"": 216}","Explores the interplay of leadership, political movements, and governance in Brazil's historical context."
35,NARRATIVE:35,Latin American Governance Movements,Latin American Political Movements and Governance,34,452,BOLIVIA | PRESIDENT SILES | NATIONALIST REVOLUTIONARY MOVEMENT | JUAN LECHIN | PAZ ESTENSSORO | PRESIDENT PAZ | CANADA | VICTOR PAZ ESTENSSORO,"{""CanonicalEntity"": 250, ""EventCluster"": 202}",Exploring the interplay of political leadership and social movements in Latin America's historical context.
33,NARRATIVE:33,Geopolitical Dynamics in Modern Egypt,Political and Geopolitical Developments in Egypt,33,456,GENERAL NAGIB | KING FAROUK | ALI MAHER | MOSLEM BROTHERHOOD [6AA5] | WAFD PARTY [226E] | WAFD [E135] | REVOLUTIONARY COMMAND COUNCIL [37F4] | NASR REGIME [13E5],"{""CanonicalEntity"": 230, ""EventCluster"": 226}",This narrative explores the complex political and geopolitical landscape of Egypt throughout the 20th century and beyond.
45,NARRATIVE:45,Geopolitical Dynamics in Yemen and Latin America,Interconnected Political and Military Influences,33,314,YEMEN | CROWN PRINCE BADR | IMAM | INTELLIGENCE ADVISORY COMMITTEE | COLOMBIA | ADEN PROTECTORATE | Watch Report 345 | PRINCE HASAN,"{""EventCluster"": 165, ""CanonicalEntity"": 149}","This narrative explores the complex geopolitical interactions and conflicts in Yemen and Latin America, highlighting military and political dynamics."
53,NARRATIVE:53,Geopolitical Dynamics and Internal Conflicts,International Relations and Domestic Struggles,33,204,AMERICAN EMBASSY | SPAAK | Support for German NATO entry | Dismissals of Hungarian workers | Opposition to 'little NATO' concept | Skepticism about German rearmament | Advice to release American airmen | HUNGARIAN WORKERS,"{""CanonicalEntity"": 109, ""EventCluster"": 95}",This narrative explores the interplay between global diplomacy and local political tensions across various regions.
38,NARRATIVE:38,Geopolitical Dynamics of Portugal and Africa,Portugal and its African Relations,32,425,PORTUGAL | ANGOLA | SALAZAR | MONIZ | LUANDA | BOTELHO MONIZ | HOLDEN ROBERTO | LISBON,"{""EventCluster"": 215, ""CanonicalEntity"": 210}",Exploring the complex political and military interactions between Portugal and its African territories.
41,NARRATIVE:41,Geopolitical Dynamics in the Horn of Africa,Regional Political Movements and Conflicts,32,400,ETHIOPIA | HAILE SELASSIE | SOMALIA | ADDIS ABABA | BRITISH SOMALILAND | SOMALI REPUBLIC | EMPEROR | Conference of Somali Nationalists,"{""CanonicalEntity"": 201, ""EventCluster"": 199}","This narrative explores the complex political interactions and conflicts in the Horn of Africa, particularly involving Ethiopia and Somalia."
49,NARRATIVE:49,Geopolitical Dynamics and Strategic Engagements,International Relations and Security Studies,32,272,ATOMIC ENERGY COMMISSION [35BE] | ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE DEPARTMENT OF ARMY | DEPARTMENT OF DEFENSE [84C3] | NATIONAL SECURITY AGENCY | FEDERAL BUREAU OF INVESTIGATION | DEPARTMENT OF COMMERCE | NATIONAL INDICATIONS CENTER [4E26] | EXECUTIVE OFFICES OF THE WHITE HOUSE,"{""CanonicalEntity"": 149, ""EventCluster"": 123}","Exploring the interplay of military, diplomatic, and governance strategies across various global contexts."
25,NARRATIVE:25,Post-Colonial Political Dynamics in West Africa,West African Political Movements and Diplomacy,31,684,GUINEA | GHANA | NKRUMAH | CAMEROUN | MALI | SENEGAL | LIBERIA | ACCRA,"{""EventCluster"": 354, ""CanonicalEntity"": 330}",Exploring the evolution of political movements and diplomatic relations in West Africa after colonial rule.
27,NARRATIVE:27,Political Leadership and Turmoil in Central America,Central American Political Dynamics,31,607,GUATEMALA | YDIGORAS | CASTILLO ARMAS | ARBENZ | NATIONALIST PARTY [9106] | CARIAS | VILLEDA MORALES | GUATEMALAN GOVERNMENT [YOUNGER / ARMAS],"{""CanonicalEntity"": 307, ""EventCluster"": 300}",This narrative explores the complexities of political leadership and instability in Central America during the mid-20th century.
42,NARRATIVE:42,Global Diplomatic Engagements and Military Strategies,International Relations and Security Dynamics,30,358,UNITED STATES [A17A] | UNITED KINGDOM | PRAVDA | AUSTRALIA | IZVESTIA | US EMBASSY LONDON | NEW ZEALAND | SECRETARY DULLES,"{""EventCluster"": 185, ""CanonicalEntity"": 173}",This narrative explores the interconnectedness of global diplomacy and military strategies across various nations.
43,NARRATIVE:43,Geopolitical Dynamics in Sudan,Political and Military Influences in Sudan,30,333,SUDAN | ABBOUD | HASAN BASHIR NASIR | KHARTOUM | ABBOUD MILITARY REGIME | SIDDIQ AL MAHDI | Coup attempt in Sudan | AZHARI,"{""CanonicalEntity"": 178, ""EventCluster"": 155}",This narrative explores the complex interplay of political leadership and military actions shaping Sudan's geopolitical landscape.
44,NARRATIVE:44,Geopolitical Dynamics in Post-Colonial Asia,International Relations in Southeast Asia,29,316,MAGSAYSAY | PHILIPPINES | PRESIDENT GARCIA | PRESIDENT QUIRINO [PHILIPPINE / PHILIPPINES] | SENATOR RECTO | PHILIPPINE GOVERNMENT | Formation of Swatantra party | PRESIDENT QUIRINO [E0D4],"{""CanonicalEntity"": 161, ""EventCluster"": 155}",This narrative explores the complex political and diplomatic interactions in post-colonial Asian nations during the mid-20th century.
47,NARRATIVE:47,Geopolitical Tensions and Diplomacy,International Relations and Conflict Dynamics,28,300,BRITISH FOREIGN OFFICE | BRITISH AMBASSADOR | KOREA | EGYPTIAN GOVERNMENT [UMMA / TURKEY] | UK FOREIGN OFFICE | IRAQI PRIME MINISTER | AMERICAN ARMY ATTACHÉ [C304] | SOVIET BLOC [YUGOSLAVIA / VIET],"{""EventCluster"": 157, ""CanonicalEntity"": 143}",This narrative explores the complex interplay of diplomacy and conflict across various geopolitical landscapes.
51,NARRATIVE:51,Geopolitical Dynamics in Northern Europe and Beyond,Regional Political Movements and International Relations,27,253,FINLAND | KEKKONEN | SWEDEN | SWITZERLAND | LEON MBA | FINNISH PEOPLES DEMOCRATIC LEAGUE SKDL | SUKSELAINEN | EFTA,"{""CanonicalEntity"": 134, ""EventCluster"": 119}",This narrative explores the complex interplay of political movements and diplomatic engagements across Northern Europe and related regions.
50,NARRATIVE:50,Cold War Political Dynamics and Strategies,Geopolitical Strategies during the Cold War,25,262,MAO TSE TUNG | CHINESE COMMUNIST PARTY [8414] | LIUSHAO CHI | Moscow meetings | Chinese Communist Party Congress | PEOPLES DAILY | TENG HSIAO PING | FRENCH COMMUNISTS [0D1B],"{""EventCluster"": 139, ""CanonicalEntity"": 123}",This narrative explores the complex political dynamics and strategies employed by various nations during the Cold War era.
52,NARRATIVE:52,International Diplomatic and Security Coordination,Global Geopolitical Engagements and Alliances,25,225,DENMARK | NATO [64EA] | NORWAY | NATO [CANADA / CASTRO] | DANISH FOREIGN MINISTER KRAFT | NETHERLANDS GOVERNMENT | AMBASSADOR PERKINS | CANADIAN CABINET,"{""CanonicalEntity"": 120, ""EventCluster"": 105}",This narrative explores the complex web of international diplomacy and security alliances during the Cold War and beyond.
40,NARRATIVE:40,Colonial Legacies and Regional Politics,Geopolitical Dynamics in Post-Colonial Contexts,24,400,BRITISH | SINGAPORE | PEOPLES ACTION PARTY | PEOPLES PROGRESSIVE PARTY | MALAYA | BRITISH GUIANA | LEE KUAN YEW | CHEDDI JAGAN,"{""CanonicalEntity"": 203, ""EventCluster"": 197}",Explores the interplay of colonial influences and political developments across various regions in the mid-20th century.
48,NARRATIVE:48,Political Dynamics in Cold War Britain,Geopolitical Influences on British Politics,24,287,BRITISH LABOR PARTY | LABOR PARTY [A33A] | EDEN [WHO] | HUGH GAITSKELL | MACMILLAN GOVERNMENT [8A2C] | AMERICAN EMBASSY IN LONDON | GAITSKELL | ANEURIN BEVAN,"{""CanonicalEntity"": 151, ""EventCluster"": 136}",This narrative explores the interplay of domestic politics and international relations in Britain during the Cold War era.
54,NARRATIVE:54,Geopolitical Dynamics in the Arab World and Beyond,Regional and Global Diplomatic Interactions,23,165,CAIRO | PRAGUE | BLACK SEA | SOFIA | TRANSCAUCASUS | TURKESTAN | POTSDAM | ADEN,"{""EventCluster"": 84, ""CanonicalEntity"": 81}",This narrative explores the complex interplay of diplomatic and military strategies across various regions during pivotal historical moments.
55,NARRATIVE:55,Geopolitical Dynamics in Lebanon,Lebanese Political and Military Interactions,19,157,GENERAL SHIHAB | PRESIDENT CHAMOUN | KAMAL JUMBLATT | RASHID KARAME | PRESIDENT KHOURI | KARAME | GENERAL CHEHAB | Memorial ceremony and protest,"{""EventCluster"": 80, ""CanonicalEntity"": 77}",Exploring the complex interplay of military and political forces shaping Lebanon's geopolitical landscape.
56,NARRATIVE:56,Geopolitical Tensions and Military Dynamics,Military Posture and Political Governance,18,148,Vehicle launch | SUPREME COUNCIL FOR NATIONAL RECONSTRUCTION | TYURA TAM | PAK CHONG HUI | LT GEN CHANG TO YONG | KAMCHATKA PENINSULA | CHANG TO YONG | MILITARY REVOLUTIONARY COMMITTEE,"{""CanonicalEntity"": 83, ""EventCluster"": 65}",This narrative explores the interplay of military actions and political governance across various regions during periods of geopolitical tension.
58,NARRATIVE:58,Paraguay Political and Military Context,Latin American Political and Military Contexts,18,136,STROESSNER | PARAGUAY | COLORADO PARTY | CATHOLIC CHURCH | ASUNCION | Minor revolt at Encarnacion | GENERAL ALFREDO STROESSNER | MENDEZ FLEITAS,"{""CanonicalEntity"": 71, ""EventCluster"": 65}",This narrative explores the complex political and military interactions shaping Latin America during periods of turmoil and regime change.
57,NARRATIVE:57,International Diplomatic and Political Dynamics,Geopolitical Interactions and Conflicts,17,143,FRANCO | US AMBASSADOR | VATICAN | DON JUAN | Imminent cabinet shake-up in Libya | GRAND MUFTI OF JERUSALEM | Churchill's opposition to NATO plans | Discussion on inter-zonal trade,"{""CanonicalEntity"": 84, ""EventCluster"": 59}",This narrative explores the complex interplay of international diplomacy and political upheaval across various nations.
59,NARRATIVE:59,Political Leadership and Governance in Berlin,Geopolitical Dynamics of Berlin and Governance,5,5,Plebiscite proposal | FEDERAL GOVERNMENT | THREE WESTERN POWERS | BERLIN LEADERS | WEST BERLIN CITY COUNCIL,"{""CanonicalEntity"": 4, ""EventCluster"": 1}",Exploring the intricate political leadership and governance structures in Berlin during pivotal historical moments.
60,NARRATIVE:60,Allied Military Leadership in Berlin,Post-War Military Governance in Europe,3,3,BRITISH BERLIN COMMANDANTS | FRENCH BERLIN COMMANDANTS | AMERICAN OFFICIALS [COMMANDANTS / BERLIN],"{""CanonicalEntity"": 3}",This narrative explores the roles of Allied military leaders in shaping post-war Berlin.
61,NARRATIVE:61,Labor Movements and Political Struggles,Social Unrest and Political Dynamics,3,3,ARMY [LED / PEASANT] | COMMUNIST LED LABOR AND PEASANT GROUPS | seizure of private properties,"{""CanonicalEntity"": 2, ""EventCluster"": 1}",This narrative explores the intersection of labor movements and political conflicts over property rights.
