community_id,community_key,narrative_id,narrative_key,community_label,community_size,community_top_labels,narrative_label,num_communities,narrative_summary
35,COMMUNITY:35,0,NARRATIVE:0,Arab Legion Operations and Influence,42,ARAB LEGION [YUGOSLAVIA / LAI] | GENERAL GLUBB | Arab Legion investigation | French pressure for intervention | BOGOMOLOV | USSR [LEBANON / GRONCHI] | Israeli plane incident | Egyptian RCC's army support claim,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
36,COMMUNITY:36,0,NARRATIVE:0,Soviet Influence in Middle Eastern Politics,20,SOVIET BLOC [CZECHOSLOVAKIA / ARABIA] | AZM [CZECHOSLOVAKIA / ARABIA] [182D] | SYRIAN BAATHIST PARTY [CZECHOSLOVAKIA / ARABIA] | Arrival of Soviet arms shipment | Conversation about arms deal | Conversations with Yugoslav officials | AMERICAN OFFICIALS [CZECHOSLOVAKIA / YUGOSLAVIA] | ASSISTANT SECRETARY ALLEN,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
37,COMMUNITY:37,0,NARRATIVE:0,Middle Eastern Leadership Dynamics,34,CHARLES MALIK | ANWAR SADAT | COLONEL ABDUL NASR | ARAB JOINT COMMAND [LATAKIA / GHANA] | Seeking mediation | GENERAL ABRAHAM WILLIAMS | Attempt to seize presidency | Conversation about Nasr's tactics,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
38,COMMUNITY:38,0,NARRATIVE:0,UN Peacekeeping and Regional Stability,55,MEIR | UN EMERGENCY FORCE UNEF | INGE TOFT | GENERAL LATIF | KERN HILLS | SHARM AL SHAIKH | UN EMERGENCY FORCE [F385] | Offer of crude oil,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
39,COMMUNITY:39,0,NARRATIVE:0,Jordanian Political Dynamics and Treaties,8,ANGLO JORDANIAN TREATY | ARAB CONSTITUTIONALISTS | NABULSI GOVERNMENT [CONSTITUTIONALISTS / KUZNETSOV] | Negotiations on treaty termination | Foreign Ministers' Meeting Proposal | Political Showdown in Jordan | Negotiation of development loan | U RASCHID,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
40,COMMUNITY:40,0,NARRATIVE:0,Middle Eastern Cold War Dynamics,31,ISRAEL | UAR [AB96] | KHALID BAKDASH | ARAB FEDAYEEN | GENERAL VAN HORN | USSR [TOKYO / ISRAEL] | Arrival of volunteers | USSR [ABRAMOV / NEHRU],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
41,COMMUNITY:41,0,NARRATIVE:0,Arab League Security Initiatives,6,ARAB LEAGUE COLLECTIVE SECURITY PACT | QASHQAI [COLLECTIVE / DULLES] | Agreement discussion on Suez issue | Military action plan | Next meeting in Cairo | Public statement on Israeli attack,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
42,COMMUNITY:42,0,NARRATIVE:0,Military Alliances in Middle Eastern Conflicts,53,BRITISH FORCES | NUWAR [0C73] | ISRAELI FORCES [YUGOSLAVIA / RAJK] | SYRIAN FRONT COMMAND | SULEIMAN NABLUSI | Military agreement between Jordan and Syria | Discussion of Partition Plan | Formation of Leftist Coalition Cabinet,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
43,COMMUNITY:43,0,NARRATIVE:0,Humanitarian and Military Logistics in Cold War,28,Military equipment processing | EAST GERMAN RED CROSS | US RED CROSS | BEIRUT AIRPORT | USSR [CROSS / RED] [B53A] | BELGIAN FIRM [STEPHENSON / BYROADE] | Landing of British troops | US MARINE UNITS,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
44,COMMUNITY:44,0,NARRATIVE:0,Syrian Political and Military Dynamics,8,BAATH [1FC2] | SYRIAN SOCIALIST NATIONAL PARTY | MOSCOW RADIO [LEBANON / ARABIA] | Cairo's communique on Suez Canal | Coup attempt by Syrian Socialist National Party | Shipping incident in Gulf of Aqaba | Czech Military Equipment Arrival | Hammarskjold-Nasr Talks,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
45,COMMUNITY:45,0,NARRATIVE:0,Jordan River Canal Development and Regional Dynamics,42,Work on Jordan River canal | BANAT YACOV | JORDAN RIVER | SYRIANS | Arms Deal Agreements | EGYPTIAN TROOPS | EURATOM [YACOV / MONNET] | Egypt's Support for Syrians,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
46,COMMUNITY:46,0,NARRATIVE:0,Military Dynamics in the Syrian Conflict,46,GENERAL BURNS | Transfer of Syrian Army Officers | Israeli-Syrian border incident | Threat to UN Security Council | UN observers endangered | JORDANIAN CHIEF OF STAFF NUWAR | ISRAELI SYRIAN MIXED ARMISTICE COMMISSION | SYRIAN FOREIGN MINISTRY,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
47,COMMUNITY:47,0,NARRATIVE:0,Border Settlement and Diplomatic Activities,34,EL AUJA | SINAI | Announcement of new border settlement | Border violation | Egypt's recruitment of West German officers | General Burns' return to Palestine | Soviet ambassador Abramov's return to Israel | EL KUNTILLA,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
48,COMMUNITY:48,0,NARRATIVE:0,Military and Political Dynamics in Southern Israel,21,BEERSHEBA | EL AUJA DEMILITARIZED ZONE | Road closures in southern Israel | JORDANIAN NATIONAL GUARDSMEN | MENAHIM BEGIN | Rally by Menahim Begin | GILBOA REGION | Israeli military concentration,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
49,COMMUNITY:49,0,NARRATIVE:0,Jordanian Government and Military Dynamics,50,DAYAN | JORDANIAN GOVERNMENT [YUGOSLAVIA / KHRUSHCHEV] | Israeli Attack Expectation | GENERAL BENNIKE | UN MIXED ARMISTICE COMMISSION | Drought in Jordan | IAC WATCH COMMITTEE | Israeli vote on UN resolution,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
50,COMMUNITY:50,0,NARRATIVE:0,Egyptian Energy Security and Militancy,44,EGYPT | Threat to Shell Oil installations | NASR [EMILE / BUSTANI] | Egypt's military preparations | Fedayeen attacks organization | Postponement of Sumatran independence declaration | Arrest of Egyptian Wafd leaders | ISLAMIC CONGRESS,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
51,COMMUNITY:51,0,NARRATIVE:0,British Diplomatic and Military Engagements in Cairo,22,BRITISH EMBASSY IN CAIRO | BRITISH CHIEFS OF STAFF [CAIRO / GOKER] | Consideration of new elections | General Nuri Yamut's statement | Report on Chinese Communists | Trade agreement negotiations | GENERAL ARNOLD | GENERAL NURI YAMUT,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
52,COMMUNITY:52,0,NARRATIVE:0,Labor Strikes and Political Unrest in Stettin,8,Arrests during unrest in Stettin | Dock workers' strike in Stettin | Military action between Israel and Syria | Soviet approaches denial | BYDGOSZEZ | SADCHIKOV | STETTIN | POLISH ARMY [STETTIN / ARASTEH],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
53,COMMUNITY:53,0,NARRATIVE:0,Ecuadorian Leftist Movements in the Cold War,9,CARLOS GUEVARA MORENO | CONCENTRATION OF POPULAR FORCES CFP | USSR [ECUADOR / CFP] | Arms Acceptance Statement | Israeli Fire on Egypt | Israeli-Jordanian Clash | Planned Revolt in Ecuador | Polish Criticism,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
54,COMMUNITY:54,0,NARRATIVE:0,Political Turmoil in Post-War Greece,16,PRIME MINISTER PAPAGOS | QUEEN FREDERIKA | THANOS KAPSALIS | Bus Massacre | PALESTINIAN ARAB REFUGEES | Resignation of Spyros Markezinis | COMMUNISTS [FREDERIKA / DILLON] | Demonstrations planned,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
55,COMMUNITY:55,0,NARRATIVE:0,Military and Diplomatic Engagements in Egypt,10,EGYPTIAN NATIONAL GUARD | CZECH AND POLISH CONTRACTS | USSR [CONTRACTS / TUNG] | Election of F. R. Kozlov | Exchange of fire | Purchase of naval equipment | Redeployment of Egyptian fedayeen | Request for naval experts,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
56,COMMUNITY:56,0,NARRATIVE:0,Jordan's Military and Political Dynamics,56,JORDAN | KING HUSSAYN | RIFAI | Israeli Convoy Incident | Cairo's propaganda campaign | Potential Military Intervention | DRUZE TRIBES | Algerian debate,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
57,COMMUNITY:57,0,NARRATIVE:0,Egyptian Military Engagements in the Region,21,EGYPTIAN ARMY [TURKEY / SYRIA] | EGYPTIAN AIR FORCE [HUSSAYN / ARABIA] | MYSTERE JET FIGHTERS [LEBANON / MOOSE] | JORDANIAN MILITARY DELEGATION | EGYPTIAN INTERIOR MINISTRY | Air-raid drills | Call-up of Egyptian Reserves | Egyptian army chief's visit to Jordan,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
58,COMMUNITY:58,0,NARRATIVE:0,US Military Engagement in Jidda,22,GENERAL AMER | JIDDA | US NAVAL ATTACHE | GREAT BELT | ISRAELI CENTRAL COMMAND | Military Activity Report | Military Tactics Employment | Submarine Observation,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
59,COMMUNITY:59,0,NARRATIVE:0,Military and Diplomatic Engagements in the Region,28,SHUQAYR | EL ARISH | UN TRUCE CHIEF BURNS | MALKI | Meeting of the supreme defense council | LEBANESE CHIEF OF STAFF | WORLD BANK [DILLON / SHEPILOV] | GAJEWSKI,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
60,COMMUNITY:60,0,NARRATIVE:0,Regional Conflicts Involving Feisal,7,FEISAL | VAMPIRE JET FIGHTERS | Attack on civilian truck | Clashes on Jordanian and Egyptian borders | Killing of Jordanian infiltrator | Release of Syrian vessel Feisal | Skirmish with Jordanians,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
61,COMMUNITY:61,0,NARRATIVE:0,International Military Engagements and Expenditures,5,Iraqi Air Squadron Deployment | Projected French Military Expenditures | FRENCH CONSUL GENERAL IN JERUSALEM | FRENCH UN REPRESENTATIVES | US MILITARY ATTACHE [SYRIA / ISRAEL],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
62,COMMUNITY:62,0,NARRATIVE:0,Military Conflicts in Key Regions,28,JERUSALEM | KHAN YUNIS | PLOVDIV | UNU [IBRD / BYROADE] | FRENCH GOVERNMENT [SASORITH / SANANIKONE] | Guerrilla War | Military Incidents | Military Pact Suggestion,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
63,COMMUNITY:63,0,NARRATIVE:0,Jordanian National Guard and Insurgency Dynamics,16,JORDANIAN NATIONAL GUARD | Antigovernment action | Jordanian military action | UNZAGA DE LA VEGA | HEBRON | WEST JORDAN | Aid request for Jordan National Guard | Arms shipment arrival,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
64,COMMUNITY:64,0,NARRATIVE:0,Military Engagements and Diplomatic Agreements,8,GENERAL VON HORN | Agreement for UN Observers | JORDANIAN GOVERNMENT [RUMANIA / HADDASA] | Military Movement | HADDASA HOSPITAL | Gomulka's Visit | Searchlight Illumination | USSR [RUMANIA / HADDASA],Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
65,COMMUNITY:65,0,NARRATIVE:0,Grigory T. Zaitsev and Egypt's Finance,5,GRIGORY T ZAITSEV | NATIONAL BANK OF EGYPT [GRIGORY / ZAITSEV] | Egypt's financial status | Hammarskjold's communication on Suez | Zaitsev's assurance on war,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
66,COMMUNITY:66,0,NARRATIVE:0,Military Dynamics in the Transcaucasus,10,TRANSCAUCASUS MILITARY DISTRICT [THOMPSON / TURKEY] | KONSTANTIN ROKOSSOVSKIY | Appointment of Rokossovskiy | Egyptian Troop Movement | Political Unrest in Jordan | HASHIM RIFAI GOVERNMENT | TRANSCAUCASUS MILITARY DISTRICT [EE0C] | Ambassador's Comments,Geopolitical Dynamics in the Middle East,73,This narrative explores the complex political and military relationships among key Middle Eastern nations.
