alias,canonical_label,review_status,heuristic_reason,final_score,openai_decision,openai_confidence
AFRICAN REVOLUTIONARY FRONT FOR THE INDEPENDENCE OF PORTUGUESE COLONIES IN AFRICA,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,accept_openai,lexical_context_similarity,0.7386,merge,0.8
AFRO-ASIAN SOLIDARITY MOVEMENT,AFRO-ASIAN SOLIDARITY COMMITTEE,accept_openai,lexical_context_similarity,0.6751,merge,0.8
AFRO-ASIAN STATES,AFRO-ASIAN BLOC,accept_openai,lexical_context_similarity,0.6039,merge,0.8
AFSHARTUS,GENERAL AFSHARTUS,accept_rule,person_title_variant,0.95,,
AGRAMONTE,ROBERTO AGRAMONTE,accept_openai,lexical_context_similarity,0.67,merge,0.85
AGRARIAN-SOCIAL DEMOCRATIC COALITION,SOCIAL DEMOCRATIC-AGRARIAN COALITION,accept_rule,token_bag_match,0.94,,
AGUSTIN MUNOZ GRANDES,AUGUSTIN MUNOZ GRANDES,accept_openai,lexical_context_similarity,0.6329,merge,0.9
AIICHIRO FUJIYAMA,FUJIYAMA,accept_openai,lexical_context_similarity,0.6573,merge,0.85
AIOC,ANGLO-IRANIAN OIL COMPANY,accept_rule,acronym_match,0.9,,
AIR FORCE,US AIR FORCE,accept_openai,lexical_context_similarity,0.789,merge,0.85
AL AKHBAR,AL-AKHBAR,accept_rule,token_bag_match,0.94,,
AL ARISH,EL ARISH,accept_openai,lexical_context_similarity,0.6597,merge,0.85
AL AUJA,EL AUJA,accept_openai,lexical_context_similarity,0.7018,merge,0.85
AL HUDAYDAH,AL-HUDAYDAH,accept_rule,token_bag_match,0.94,,
AL KHARJ,AL-KHARJ,accept_rule,token_bag_match,0.94,,
AL-AHRAM,AL AHRAM,accept_rule,token_bag_match,0.94,,
AL-HAWRANI,AKRAM AL-HAWRANI,accept_openai,lexical_context_similarity,0.7099,merge,0.85
AL-TABI,MUHAMMAD AL-TABI,accept_openai,lexical_context_similarity,0.6682,merge,0.8
AL-UMARI,ARSHAD AL-UMARI,accept_openai,lexical_context_similarity,0.6463,merge,0.8
ALAVI-MOQADAM,GENERAL ALAVI-MOQADAM,accept_rule,person_title_variant,0.95,,
ALBANIAN COMMUNIST PARTY,ALBANIAN WORKERS (COMMUNIST) PARTY,accept_openai,lexical_context_similarity,0.7667,merge,0.8
ALBERT KALONJI,KALONJI,accept_openai,lexical_context_similarity,0.6974,merge,0.8
ALBERTO MARTIN ARTAJO,MARTIN ARTAJO,accept_openai,lexical_context_similarity,0.6905,merge,0.85
ALDRICH,AMBASSADOR ALDRICH,accept_rule,person_title_variant,0.95,,
ALEKSEI KOSYGIN,KOSYGIN,accept_openai,lexical_context_similarity,0.6264,merge,0.9
ALEKSEY KOSYGIN,KOSYGIN,accept_openai,lexical_context_similarity,0.6291,merge,0.85
ALES BEBLER,BEBLER,accept_openai,lexical_context_similarity,0.7046,merge,0.85
ALESSANDRI,GENERAL ALESSANDRI,accept_rule,person_title_variant,0.95,,
ALEXANDER,GENERAL ALEXANDER,accept_rule,person_title_variant,0.95,,
ALFREDO STROESSNER,STROESSNER,accept_openai,lexical_context_similarity,0.7174,merge,0.85
ALGERIAN GOVERNMENT,ALGERIAN PROVISIONAL GOVERNMENT,accept_openai,lexical_context_similarity,0.7009,merge,0.8
ALGERIAN MOVEMENT,ALGERIAN NATIONAL MOVEMENT,accept_openai,lexical_context_similarity,0.7279,merge,0.8
ALGERIAN NATIONAL LIBERATION FRONT (FLN),ALGERIAN NATIONAL LIBERATION FRONT,accept_openai,lexical_context_similarity,0.8015,merge,0.85
ALGERIAN NATIONAL REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,accept_openai,lexical_context_similarity,0.8045,merge,0.8
ALGERIAN PROVISIONAL GOVERNMENT (PAG),ALGERIAN PROVISIONAL GOVERNMENT,accept_openai,lexical_context_similarity,0.7478,merge,0.8
ALGERIAN REBEL,ALGERIAN REBEL GOVERNMENT,accept_openai,lexical_context_similarity,0.7575,merge,0.8
ALGERIAN REBEL LEADERSHIP,ALGERIAN REBEL LEADERS,accept_openai,lexical_context_similarity,0.6527,merge,0.85
ALGERIAN REBEL PROVISIONAL GOVERNMENT,ALGERIAN PROVISIONAL GOVERNMENT,accept_openai,lexical_context_similarity,0.807,merge,0.8
ALGERIAN REBEL REGIME,ALGERIAN REBEL GOVERNMENT,accept_openai,lexical_context_similarity,0.6302,merge,0.8
ALGERIAN REBEL REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,accept_openai,lexical_context_similarity,0.7876,merge,0.8
ALGERIAN REBELS PROVISIONAL GOVERNMENT (PAG),ALGERIAN PROVISIONAL GOVERNMENT,accept_openai,lexical_context_similarity,0.7184,merge,0.85
ALGERIAN-TUNISIAN BORDER,TUNISIAN-ALGERIAN BORDER,accept_rule,token_bag_match,0.94,,
ALGIERS COMMITTEE,ALGIERS COMMITTEE OF PUBLIC SAFETY,accept_openai,lexical_context_similarity,0.6192,merge,0.8
ALI ABU NUWAR,NUWAR,accept_openai,lexical_context_similarity,0.6323,merge,0.85
ALI JAWDAT AL-AYYUBI,ALI JAWDAT,accept_openai,lexical_context_similarity,0.7545,merge,0.85
ALI JAWDAT AYYUBI,ALI JAWDAT,accept_openai,lexical_context_similarity,0.6703,merge,0.85
ALI NUWAR,NUWAR,accept_openai,lexical_context_similarity,0.7329,merge,0.85
ALL-AFRICAN PEOPLES CONFERENCE (AAPC),ALL-AFRICAN PEOPLES CONFERENCE,accept_rule,parenthetical_base_match,0.91,,
ALL-GERMAN AFFAIRS MINISTER LEMMER,MINISTER FOR ALL-GERMAN AFFAIRS LEMMER,accept_openai,lexical_context_similarity,0.7861,merge,0.9
ALLAL EL FASSI,ALLAL EL-FASSI,accept_rule,person_title_variant,0.95,,
ALLALE EL-FASSI,ALLAL EL-FASSI,accept_openai,lexical_context_similarity,0.7378,merge,0.9
ALLEN,AMBASSADOR ALLEN,accept_rule,person_title_variant,0.95,,
ALLENDE,SALVADOR ALLENDE,accept_openai,lexical_context_similarity,0.6873,merge,0.9
ALLIANCE,ALLIANCE PARTY,accept_openai,lexical_context_similarity,0.7307,merge,0.8
ALLIED,ALLIED COUNCIL,accept_openai,lexical_context_similarity,0.6529,merge,0.8
ALLIED COUNCIL FOR AUSTRIA,ALLIED COUNCIL,accept_openai,lexical_context_similarity,0.7154,merge,0.8
ALLIED HIGH COMMISSION,ALLIED HIGH COMMISSIONERS,accept_openai,lexical_context_similarity,0.6471,merge,0.8
ALVARO ALSOGARAY,ALSOGARAY,accept_openai,lexical_context_similarity,0.7233,merge,0.85
AMBASSADOR ACHILLES,ACHILLES,accept_rule,person_title_variant,0.95,,
AMBASSADOR ALLISON,ALLISON,accept_rule,person_title_variant,0.95,,
AMBASSADOR BEAM,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.7246,merge,0.9
AMBASSADOR BEAULAC,BEAULAC,accept_rule,person_title_variant,0.95,,
AMBASSADOR BERNBAUM,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.7621,merge,0.85
AMBASSADOR BOHLEN,BOHLEN,accept_rule,person_title_variant,0.95,,
AMBASSADOR CANNON,CANNON,accept_rule,person_title_variant,0.95,,
AMBASSADOR CHAPIN,CHAPIN,accept_rule,person_title_variant,0.95,,
AMBASSADOR COCHRAN,US AMBASSADOR COCHRAN,accept_openai,lexical_context_similarity,0.813,merge,0.9
AMBASSADOR COWEN,US AMBASSADOR COWEN,accept_openai,lexical_context_similarity,0.7773,merge,0.9
AMBASSADOR DAVIS,US AMBASSADOR DAVIS,accept_openai,lexical_context_similarity,0.7626,merge,0.8
AMBASSADOR DEAN,DEAN,accept_rule,person_title_variant,0.95,,
AMBASSADOR DULLES,SECRETARY DULLES,accept_rule,person_title_variant,0.95,,
AMBASSADOR FARLAND,FARLAND,accept_rule,person_title_variant,0.95,,
AMBASSADOR GRADY,US AMBASSADOR GRADY,accept_openai,lexical_context_similarity,0.8436,merge,0.9
AMBASSADOR HARRIMAN,HARRIMAN,accept_rule,person_title_variant,0.95,,
AMBASSADOR HILDRETH,HILDRETH,accept_rule,person_title_variant,0.95,,
AMBASSADOR HUSSEIN,HUSSEIN,accept_rule,person_title_variant,0.95,,
AMBASSADOR JERNEGAN,AMERICAN AMBASSADOR JERNEGAN,accept_openai,lexical_context_similarity,0.7422,merge,0.85
AMBASSADOR JESSUP,US AMBASSADOR JESSUP,accept_openai,lexical_context_similarity,0.7367,merge,0.9
AMBASSADOR JOHNSON,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.6919,merge,0.85
AMBASSADOR JOHNSTON,BRITISH AMBASSADOR JOHNSTON,accept_openai,lexical_context_similarity,0.689,merge,0.8
AMBASSADOR JOXE,FRENCH AMBASSADOR,accept_openai,lexical_context_similarity,0.7346,merge,0.85
AMBASSADOR LAWSON,LAWSON,accept_rule,person_title_variant,0.95,,
AMBASSADOR MALIK,SOVIET AMBASSADOR,accept_openai,lexical_context_similarity,0.7668,merge,0.85
AMBASSADOR MASUD-ANSARI,MASUD-ANSARI,accept_rule,person_title_variant,0.95,,
AMBASSADOR MCCLOY,MCCLOY,accept_rule,person_title_variant,0.95,,
AMBASSADOR MCCONAUGHY,MCCONAUGHY,accept_rule,person_title_variant,0.95,,
AMBASSADOR MILLS,MILLS,accept_rule,person_title_variant,0.95,,
AMBASSADOR MURPHY,MURPHY,accept_rule,person_title_variant,0.95,,
AMBASSADOR NUFER,NUFER,accept_rule,person_title_variant,0.95,,
AMBASSADOR REINHARDT,REINHARDT,accept_rule,person_title_variant,0.95,,
AMBASSADOR RIDDLEBERGER,RIDDLEBERGER,accept_rule,person_title_variant,0.95,,
AMBASSADOR ROUNTREE,ROUNTREE,accept_rule,person_title_variant,0.95,,
AMBASSADOR RUSSELL,RUSSELL,accept_rule,person_title_variant,0.95,,
AMBASSADOR SMITH,AMERICAN AMBASSADOR SMITH,accept_openai,lexical_context_similarity,0.6655,merge,0.85
AMBASSADOR STROM,US AMBASSADOR STROM,accept_openai,lexical_context_similarity,0.7848,merge,0.8
AMBASSADOR TAPPIN,TAPPIN,accept_rule,person_title_variant,0.95,,
AMBASSADOR WARREN,WARREN,accept_rule,person_title_variant,0.95,,
AMBON ISLAND,AMBON,accept_openai,lexical_context_similarity,0.648,merge,0.8
AMER,GENERAL AMER,accept_rule,person_title_variant,0.95,,
AMERICAN AIR ATTACHÉ,AMERICAN AIR ATTACHE,accept_openai,lexical_context_similarity,0.6279,merge,0.8
AMERICAN AMBASSADOR ALLEN,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.7246,merge,0.85
AMERICAN AMBASSADOR BOWLES,AMBASSADOR BOWLES,accept_openai,lexical_context_similarity,0.7292,merge,0.85
AMERICAN AMBASSADOR CAFFERY,AMBASSADOR CAFFERY,accept_openai,lexical_context_similarity,0.7407,merge,0.85
AMERICAN AMBASSADOR HARE,AMBASSADOR HARE,accept_openai,lexical_context_similarity,0.7483,merge,0.8
AMERICAN AMBASSADOR IN CAIRO,US AMBASSADOR IN CAIRO,accept_openai,lexical_context_similarity,0.6457,merge,0.85
AMERICAN AMBASSADOR IN DJAKARTA,US AMBASSADOR IN DJAKARTA,accept_openai,lexical_context_similarity,0.6213,merge,0.85
AMERICAN AMBASSADOR IN TEHRAN,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.7238,merge,0.8
AMERICAN AMBASSADOR JOHNSON,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.6865,merge,0.85
AMERICAN AMBASSADOR MALLORY,US AMBASSADOR MALLORY,accept_openai,lexical_context_similarity,0.6603,merge,0.85
AMERICAN AMBASSADOR MOOSE,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.7059,merge,0.8
AMERICAN AMBASSADOR PEURIFOY,AMBASSADOR PEURIFOY,accept_openai,lexical_context_similarity,0.7508,merge,0.85
AMERICAN AMBASSADOR RIDDLEBERGER,RIDDLEBERGER,accept_openai,lexical_context_similarity,0.6309,merge,0.85
AMERICAN AMBASSADOR SPARKS,AMBASSADOR SPARKS,accept_openai,lexical_context_similarity,0.6066,merge,0.8
AMERICAN AMBASSADOR TO THAILAND,AMERICAN AMBASSADOR,accept_openai,lexical_context_similarity,0.6741,merge,0.8
AMERICAN AMBASSADOR WADSWORTH,AMBASSADOR WADSWORTH,accept_openai,lexical_context_similarity,0.7701,merge,0.85
AMERICAN AMBASSADOR WARD,AMBASSADOR WARD,accept_openai,lexical_context_similarity,0.7256,merge,0.8
AMERICAN AMBASSADOR WARREN,WARREN,accept_openai,lexical_context_similarity,0.7371,merge,0.8
AMERICAN AMBASSADOR YOST,AMBASSADOR YOST,accept_openai,lexical_context_similarity,0.7525,merge,0.8
AMERICAN ARMY,AMERICAN ARMY ATTACHÉ,accept_openai,lexical_context_similarity,0.6732,merge,0.8
AMERICAN ARMY ATTACHE,AMERICAN ARMY ATTACHÉ,accept_openai,lexical_context_similarity,0.7022,merge,0.85
AMERICAN ARMY ATTACHE IN SAIGON,AMERICAN ARMY ATTACHÉ,accept_openai,lexical_context_similarity,0.7265,merge,0.8
AMERICAN ATTACHE,US MILITARY ATTACHE,accept_openai,lexical_context_similarity,0.794,merge,0.8
AMERICAN CHARGE LIGHTNER,AMERICAN CHARGE,accept_openai,lexical_context_similarity,0.6563,merge,0.8
AMERICAN CHARGÉ WEIL,AMERICAN CHARGÉ,accept_openai,lexical_context_similarity,0.7328,merge,0.8
AMERICAN CONSTRUCTION COMPANY,AMERICAN CONSTRUCTION FIRM,accept_openai,lexical_context_similarity,0.6057,merge,0.8
AMERICAN CONSUL DEARBORN,AMERICAN CONSUL,accept_openai,lexical_context_similarity,0.6352,merge,0.8
AMERICAN CONSUL GENERAL AT DAKAR,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.7085,merge,0.85
AMERICAN CONSUL GENERAL AT HONG KONG,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.8002,merge,0.8
AMERICAN CONSUL GENERAL IN HONG KONG,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.7093,merge,0.85
AMERICAN CONSUL GENERAL IN JERUSALEM,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.6782,merge,0.8
AMERICAN CONSUL GENERAL IN LIBYA,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.7273,merge,0.8
AMERICAN CONSUL GENERAL IN NICOSIA,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.6948,merge,0.8
AMERICAN CONSUL GENERAL IN RABAT,AMERICAN CONSUL,accept_openai,lexical_context_similarity,0.7641,merge,0.8
AMERICAN CONSUL GENERAL IN TUNIS,AMERICAN CONSUL GENERAL,accept_openai,lexical_context_similarity,0.7452,merge,0.8
AMERICAN CONSUL IN HANOI,AMERICAN CONSUL,accept_openai,lexical_context_similarity,0.7377,merge,0.8
AMERICAN CONSUL IN KUALA LUMPUR,US CONSUL IN KUALA LUMPUR,accept_openai,lexical_context_similarity,0.6787,merge,0.9
AMERICAN CONSUL IN PORT SAID,AMERICAN CONSUL,accept_openai,lexical_context_similarity,0.6511,merge,0.8
AMERICAN CONSUL IN RABAT,AMERICAN CONSUL,accept_openai,lexical_context_similarity,0.7049,merge,0.8
AMERICAN CONSULATE GENERAL IN ALGIERS,AMERICAN CONSULATE GENERAL,accept_openai,lexical_context_similarity,0.7184,merge,0.85
AMERICAN CONSULATE GENERAL IN HONG KONG,US CONSUL GENERAL IN HONG KONG,accept_openai,lexical_context_similarity,0.6758,merge,0.85
AMERICAN CONSULATE GENERAL IN NAIROBI,AMERICAN CONSULATE GENERAL,accept_openai,lexical_context_similarity,0.6999,merge,0.8
AMERICAN EMBASSY AT CAPETOWN,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6313,merge,0.85
AMERICAN EMBASSY AT COPENHAGEN,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.8939,merge,0.9
AMERICAN EMBASSY AT NEW DELHI,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.8436,merge,0.9
AMERICAN EMBASSY IN ACCRA,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6611,merge,0.8
AMERICAN EMBASSY IN AMMAN,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7513,merge,0.85
AMERICAN EMBASSY IN ATHENS,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7184,merge,0.85
AMERICAN EMBASSY IN BAGHDAD,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.672,merge,0.8
AMERICAN EMBASSY IN BAMAKO,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6515,merge,0.8
AMERICAN EMBASSY IN BEIRUT,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6927,merge,0.85
AMERICAN EMBASSY IN BELGRADE,US EMBASSY,accept_openai,lexical_context_similarity,0.6303,merge,0.85
AMERICAN EMBASSY IN CAIRO,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7429,merge,0.85
AMERICAN EMBASSY IN CAPE TOWN,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6271,merge,0.8
AMERICAN EMBASSY IN CARACAS,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6948,merge,0.8
AMERICAN EMBASSY IN COLOMBO,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6898,merge,0.8
AMERICAN EMBASSY IN COPENHAGEN,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6196,merge,0.85
AMERICAN EMBASSY IN HAVANA,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6764,merge,0.85
AMERICAN EMBASSY IN KHARTOUM,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6408,merge,0.85
AMERICAN EMBASSY IN LA PAZ,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6721,merge,0.85
AMERICAN EMBASSY IN LEOPOLDVILLE,US EMBASSY IN LEOPOLDVILLE,accept_openai,lexical_context_similarity,0.6278,merge,0.9
AMERICAN EMBASSY IN LIMA,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6946,merge,0.8
AMERICAN EMBASSY IN LISBON,US EMBASSY IN LISBON,accept_openai,lexical_context_similarity,0.6371,merge,0.85
AMERICAN EMBASSY IN LONDON,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7506,merge,0.85
AMERICAN EMBASSY IN MANILA,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7075,merge,0.85
AMERICAN EMBASSY IN MONTEVIDEO,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6302,merge,0.8
AMERICAN EMBASSY IN MOSCOW,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7334,merge,0.8
AMERICAN EMBASSY IN NEW DELHI,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6559,merge,0.8
AMERICAN EMBASSY IN PARIS,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7651,merge,0.85
AMERICAN EMBASSY IN PRAGUE,US EMBASSY IN PRAGUE,accept_openai,lexical_context_similarity,0.6692,merge,0.85
AMERICAN EMBASSY IN RABAT,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6956,merge,0.8
AMERICAN EMBASSY IN ROME,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7645,merge,0.85
AMERICAN EMBASSY IN SAIGON,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7115,merge,0.85
AMERICAN EMBASSY IN SAN JOSE,US EMBASSY IN SAN JOSE,accept_openai,lexical_context_similarity,0.6788,merge,0.85
AMERICAN EMBASSY IN SANTIAGO,US EMBASSY IN SANTIAGO,accept_openai,lexical_context_similarity,0.6282,merge,0.85
AMERICAN EMBASSY IN SEOUL,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.7085,merge,0.85
AMERICAN EMBASSY IN STOCKHOLM,AMERICAN EMBASSY,accept_openai,lexical_context_similarity,0.6046,merge,0.8
AMERICAN EMBASSY IN TAIPEI,US EMBASSY IN TAIPEI,accept_openai,lexical_context_similarity,0.6087,merge,0.9
AMERICAN EMBASSY IN TEHRAN,US EMBASSY IN TEHRAN,accept_openai,lexical_context_similarity,0.725,merge,0.9
