alias,canonical_label,notes,source,review_status,final_score
COUNCIL OF MUTUAL ECONOMIC ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8527
B. P. KOIRALA,KOIRALA,lexical_context_similarity,stage_a1_auto,accept_openai,0.849
ANASTAS I. MIKOYAN,ANASTAS MIKOYAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8484
IRANIAN INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),IRANIAN NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),lexical_context_similarity,stage_a1_auto,accept_openai,0.8481
CHINESE NATIONALIST MINISTRY OF DEFENSE,CHINESE NATIONALIST DEFENSE MINISTRY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8476
CUBAN CONFEDERATION OF LABOR (CTC),CUBAN WORKERS CONFEDERATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8475
FRENCH DEFENSE MINISTER PLEVEN,DEFENSE MINISTER PLEVEN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8452
FROL R. KOZLOV,FROL KOZLOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8452
INDIAN PRIME MINISTER NEHRU,PRIME MINISTER NEHRU,lexical_context_similarity,stage_a1_auto,accept_openai,0.8449
UNDER SECRETARY OF STATE FOR POLITICAL AFFAIRS,UNDER SECRETARY OF STATE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8446
STATE DEPARTMENT,DEPARTMENT OF STATE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8437
AMBASSADOR GRADY,US AMBASSADOR GRADY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8436
AMERICAN EMBASSY AT NEW DELHI,AMERICAN EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8436
BONN DEFENSE MINISTER STRAUSS,DEFENSE MINISTER STRAUSS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8434
FRONT OF NATIONAL LIBERATION (FLN),ALGERIAN NATIONAL LIBERATION FRONT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8433
I. I. CHUNDRIGAR,CHUNDRIGAR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8433
US AMBASSADOR MUCCIO,AMBASSADOR MUCCIO,lexical_context_similarity,stage_a1_auto,accept_openai,0.8417
FORMER VICE PRESIDENT HATTA,VICE PRESIDENT HATTA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8405
GENERALISSIMO RAFAEL TRUJILLO,TRUJILLO,lexical_context_similarity,stage_a1_auto,accept_openai,0.8403
H. S. SUHRAWARDY,SUHRAWARDY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8401
US AMBASSADOR AUSTIN,AMBASSADOR AUSTIN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8398
AMERICAN MILITARY ASSISTANCE ADVISORY GROUP,AMERICAN MILITARY ADVISORY GROUP,lexical_context_similarity,stage_a1_auto,accept_openai,0.8397
NEO LAO HAK ZAT PARTY (NLHZ),NEO LAO HAK SAT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8392
NU,PREMIER NU,lexical_context_similarity,stage_a1_auto,accept_openai,0.8392
SEVENTH FLEET,US SEVENTH FLEET,lexical_context_similarity,stage_a1_auto,accept_openai,0.8386
ASWAN DAM,ASWAN HIGH DAM,lexical_context_similarity,stage_a1_auto,accept_openai,0.838
FRENCH ALGERIA FRONT,FRONT FOR FRENCH ALGERIA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8372
UN ECONOMIC COMMISSION FOR EUROPE,ECONOMIC COMMISSION FOR EUROPE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8371
KONG LE - PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity,stage_a1_auto,accept_openai,0.8361
DOMINICAN MILITARY INTELLIGENCE SERVICE (SIM),MILITARY INTELLIGENCE SERVICE (SIM),lexical_context_similarity,stage_a1_auto,accept_openai,0.8358
SEAFARERS INTERNATIONAL,SEAFARERS INTERNATIONAL UNION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8355
1936 ANGLO-EGYPTIAN TREATY,ANGLO-EGYPTIAN TREATY OF 1936,lexical_context_similarity,stage_a1_auto,accept_openai,0.8347
UK PRIME MINISTER MACMILLAN,PRIME MINISTER MACMILLAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8347
LAOS INTERNATIONAL CONTROL COMMISSION,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8343
NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),IRANIAN NATIONAL INTELLIGENCE AND SECURITY ORGANIZATION (SAVAK),lexical_context_similarity,stage_a1_auto,accept_openai,0.8336
FRENCH PREMIER GAILLARD,PREMIER GAILLARD,lexical_context_similarity,stage_a1_auto,accept_openai,0.8333
PANIKKAR,INDIAN AMBASSADOR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8332
BRITISH FOREIGN SECRETARY MORRISON,FOREIGN SECRETARY MORRISON,lexical_context_similarity,stage_a1_auto,accept_openai,0.8319
FRENCH ASSEMBLY,FRENCH NATIONAL ASSEMBLY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8313
US AMBASSADOR CAFFERY,AMBASSADOR CAFFERY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8312
EGYPTIAN REVOLUTIONARY COMMAND COUNCIL,REVOLUTIONARY COMMAND COUNCIL,lexical_context_similarity,stage_a1_auto,accept_openai,0.8307
MORRISON-KNUDSEN,MORRISON-KNUDSEN COMPANY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8306
WEST GERMAN NATO DELEGATION,WEST GERMAN DELEGATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8291
POLISH UNITED WORKERS (COMMUNIST) PARTY,POLISH UNITED WORKERS PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8289
GREEK PRIME MINISTER KARAMANLIS,PRIME MINISTER KARAMANLIS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8285
KING ZAHIR,KING ZAHIR SHAH,lexical_context_similarity,stage_a1_auto,accept_openai,0.8284
DEMOCRATIC ACTION,DEMOCRATIC ACTION PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8282
INDIAN EXTERNAL AFFAIRS MINISTRY,INDIAN MINISTRY OF EXTERNAL AFFAIRS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8282
INTERNATIONAL CONTROL COMMISSION FOR LAOS,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8278
SABRI ASALI,SABRI AL ASALI,lexical_context_similarity,stage_a1_auto,accept_openai,0.8278
US AMBASSADOR BRUCE,AMBASSADOR BRUCE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8265
DEFENSE DEPARTMENT,DEPARTMENT OF DEFENSE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8261
I. A. BENEDIKTOV,BENEDIKTOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8258
C. RAJAGOPALACHARI,RAJAGOPALACHARI,lexical_context_similarity,stage_a1_auto,accept_openai,0.8254
LAZAR KAGANOVICH,KAGANOVICH,lexical_context_similarity,stage_a1_auto,accept_openai,0.8252
SOVIET UN DELEGATION,SOVIET DELEGATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8252
US AMBASSADOR WADSWORTH,AMBASSADOR WADSWORTH,lexical_context_similarity,stage_a1_auto,accept_openai,0.825
IRANIAN OIL COMPANY,NATIONAL IRANIAN OIL COMPANY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8249
COMMITTEE FOR THE DEFENSE OF NATIONAL INTERESTS,COMMITTEE FOR DEFENSE OF NATIONAL INTERESTS (CDNI),lexical_context_similarity,stage_a1_auto,accept_openai,0.8245
UK FOREIGN SECRETARY MORRISON,FOREIGN SECRETARY MORRISON,lexical_context_similarity,stage_a1_auto,accept_openai,0.8245
FEDERATION OF MALI,MALI FEDERATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8239
U BA SWE,BA SWE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8239
FRENCH FOREIGN MINISTER SCHUMAN,FOREIGN MINISTER SCHUMAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8235
TRIESTE FREE TERRITORY,FREE TERRITORY OF TRIESTE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8235
COUNCIL OF ECONOMIC MUTUAL ASSISTANCE,COUNCIL FOR MUTUAL ECONOMIC ASSISTANCE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8234
G. M. MALENKOV,MALENKOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8233
RED CROSS,US RED CROSS,lexical_context_similarity,stage_a1_auto,accept_openai,0.823
US EMBASSY BELGRADE,US EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8227
VENEZUELAN DEMOCRATIC ACTION PARTY,DEMOCRATIC ACTION PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8225
FRENCH COUNCIL OF THE REPUBLIC,COUNCIL OF THE REPUBLIC,lexical_context_similarity,stage_a1_auto,accept_openai,0.8224
KOREAN PRISONERS OF WAR,KOREAN PRISONERS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8216
XIENG KHOUANG PROVINCE,XIENG KHOUANG,lexical_context_similarity,stage_a1_auto,accept_openai,0.8215
UK CONSERVATIVE PARTY,CONSERVATIVE PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8209
SULTAN MOHAMED BEN YOUSSEF,MOHAMED BEN YOUSSEF,lexical_context_similarity,stage_a1_auto,accept_openai,0.8202
VICTOR PAZ ESTENSSORO,PAZ ESTENSSORO,lexical_context_similarity,stage_a1_auto,accept_openai,0.8202
TSHOMBÉ GOVERNMENT,TSHOMBÉS GOVERNMENT,lexical_context_similarity,stage_a1_auto,accept_openai,0.82
KING IBN SAUD,KING SAUD,lexical_context_similarity,stage_a1_auto,accept_openai,0.8199
S. W. R. D. BANDARANAIKE,BANDARANAIKE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8197
"US LEGATION, HELSINKI",US LEGATION IN HELSINKI,lexical_context_similarity,stage_a1_auto,accept_openai,0.8194
ARAB LEAGUE COLLECTIVE SECURITY PACT,ARAB COLLECTIVE SECURITY PACT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8193
SOVIET THIRD LONG RANGE AIR ARMY,THIRD LONG RANGE AIR ARMY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8192
CONSTITUTIONAL UNION,CONSTITUTIONAL UNION PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8189
FOREIGN OFFICE,BRITISH FOREIGN OFFICE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8188
IRANIAN PRIME MINISTER MOSSADEQ,PRIME MINISTER MOSSADEQ,lexical_context_similarity,stage_a1_auto,accept_openai,0.8188
US AMBASSADOR BERRY,AMBASSADOR BERRY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8186
SOCIALIST-RESURRECTIONIST PARTY,ARAB SOCIALIST RESURRECTION PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8182
BELGIAN PRIME MINISTER EYSKENS,PRIME MINISTER EYSKENS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8181
US EMBASSY IN MADRID,US EMBASSY MADRID,lexical_context_similarity,stage_a1_auto,accept_openai,0.8177
EMBASSY BELGRADE,US EMBASSY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8176
WILLIAM N. OATIS,WILLIAM OATIS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8172
L. M. KAGANOVICH,KAGANOVICH,lexical_context_similarity,stage_a1_auto,accept_openai,0.8168
PACIFIC FLEET,SOVIET PACIFIC FLEET,lexical_context_similarity,stage_a1_auto,accept_openai,0.8164
D. N. AIDIT,AIDIT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8159
UAR PRESIDENT NASIR,PRESIDENT NASIR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8157
COMMUNIST PARTY IN JAPAN,JAPANESE COMMUNIST PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8153
V. V. KUZNETSOV,KUZNETSOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8151
V. S. SEMENOV,SEMENOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8149
A. I. MIKOYAN,ANASTAS MIKOYAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8145
GENERAL GLUBB PASHA,GENERAL GLUBB,lexical_context_similarity,stage_a1_auto,accept_openai,0.8144
BRITISH UN DELEGATE,BRITISH DELEGATE,lexical_context_similarity,stage_a1_auto,accept_openai,0.814
M. P. KOIRALA,KOIRALA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8133
AMBASSADOR COCHRAN,US AMBASSADOR COCHRAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.813
US AMBASSADOR MATTHEWS,AMBASSADOR MATTHEWS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8129
AFGHAN KING ZAHIR SHAH,KING ZAHIR SHAH,lexical_context_similarity,stage_a1_auto,accept_openai,0.812
GUY LA CHAMBRE,LA CHAMBRE,lexical_context_similarity,stage_a1_auto,accept_openai,0.812
ISRAELI PRIME MINISTER BEN-GURION,PRIME MINISTER BEN-GURION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8119
US AMBASSADOR MCCONAUGHY,MCCONAUGHY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8116
GENERAL K. S. THIMAYYA,THIMAYYA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8115
US AMBASSADOR BRIGGS,AMBASSADOR BRIGGS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8112
UNITED FRONT PARTY,UNITED FRONT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8111
US AMBASSADOR SPARKS,AMBASSADOR SPARKS,lexical_context_similarity,stage_a1_auto,accept_openai,0.811
SOVIET FOREIGN MINISTER GROMYKO,FOREIGN MINISTER GROMYKO,lexical_context_similarity,stage_a1_auto,accept_openai,0.8101
GENERAL AYUB KHAN,AYUB,lexical_context_similarity,stage_a1_auto,accept_openai,0.8097
MASJUMI PARTY,MASJUMI,lexical_context_similarity,stage_a1_auto,accept_openai,0.8091
MOROCCAN CROWN PRINCE MOULAY HASSAN,CROWN PRINCE MOULAY HASSAN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8088
COURT MINISTER ALA,MINISTER OF COURT ALA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8087
AFGHAN KING ZAHIR,KING ZAHIR SHAH,lexical_context_similarity,stage_a1_auto,accept_openai,0.8086
REPUBLIC OF MALI,MALI REPUBLIC,lexical_context_similarity,stage_a1_auto,accept_openai,0.8086
EX-PRESIDENT CHAMOUN,PRESIDENT CHAMOUN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8085
STANDARD OIL OF NEW JERSEY,STANDARD OIL COMPANY OF NEW JERSEY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8078
CUBAN CONFEDERATION OF WORKERS,CUBAN WORKERS CONFEDERATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8077
BRITISH FOREIGN SECRETARY EDEN,FOREIGN SECRETARY EDEN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8074
HIGH AUTHORITY OF THE COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8073
US AMBASSADOR TRIMBLE,AMBASSADOR TRIMBLE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8073
ALGERIAN REBEL PROVISIONAL GOVERNMENT,ALGERIAN PROVISIONAL GOVERNMENT,lexical_context_similarity,stage_a1_auto,accept_openai,0.807
SULTAN BEN ARAFA,SULTAN MOHAMED BEN ARAFA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8065
BRITISH DEFENSE MINISTER SANDYS,DEFENSE MINISTER SANDYS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8064
NATIONALIST TROOPS,CHINESE NATIONALIST,lexical_context_similarity,stage_a1_auto,accept_openai,0.8063
CARLOS TORANZO MONTERO,TORANZO MONTERO,lexical_context_similarity,stage_a1_auto,accept_openai,0.806
R. G. SENANAYAKE,DUDLEY SENANAYAKE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8056
GERMAN FINANCE MINISTER SCHAEFFER,FINANCE MINISTER SCHAEFFER,lexical_context_similarity,stage_a1_auto,accept_openai,0.8049
NEO-DESTOUR PARTY,NEO-DESTOUR,lexical_context_similarity,stage_a1_auto,accept_openai,0.8049
STATE ECONOMIC COMMISSION,USSR STATE ECONOMIC COMMISSION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8049
ROMAN CATHOLIC CHURCH,CATHOLIC CHURCH,lexical_context_similarity,stage_a1_auto,accept_openai,0.8047
ALGERIAN NATIONAL REVOLUTIONARY COUNCIL,ALGERIAN REVOLUTIONARY COUNCIL,lexical_context_similarity,stage_a1_auto,accept_openai,0.8045
US AMBASSADOR BONSAL,AMBASSADOR BONSAL,lexical_context_similarity,stage_a1_auto,accept_openai,0.8043
PEIPING PEOPLES DAILY,PEOPLES DAILY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8041
A. I. LAVRENTIEV,LAVRENTIEV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8039
REDA GUEDIRA,AHMED REDA GUEDIRA,lexical_context_similarity,stage_a1_auto,accept_openai,0.8033
GONDJOUT,PAUL GONDJOUT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8032
TURKISH PRIME MINISTER MENDERES,PRIME MINISTER MENDERES,lexical_context_similarity,stage_a1_auto,accept_openai,0.803
M. A. SUSLOV,SUSLOV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8026
IGNATIEV,S. D. IGNATIEV,lexical_context_similarity,stage_a1_auto,accept_openai,0.8025
HIGH COMMISSIONERS OFFICE,AMERICAN HIGH COMMISSIONERS OFFICE IN BONN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8024
ITALIAN CHRISTIAN DEMOCRATIC PARTY,CHRISTIAN DEMOCRATIC PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.8023
AUSTRIAN FOREIGN MINISTER GRUBER,FOREIGN MINISTER GRUBER,lexical_context_similarity,stage_a1_auto,accept_openai,0.8021
FOREIGN MINISTER COUVE DE MURVILLE,FRENCH FOREIGN MINISTER COUVE DE MURVILLE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8019
RASCHID,U RASCHID,lexical_context_similarity,stage_a1_auto,accept_openai,0.8019
ALGERIAN NATIONAL LIBERATION FRONT (FLN),ALGERIAN NATIONAL LIBERATION FRONT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8015
PEOPLES CONGRESS,NATIONAL PEOPLES CONGRESS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8014
GREEK FOREIGN MINISTER AVEROFF,FOREIGN MINISTER AVEROFF,lexical_context_similarity,stage_a1_auto,accept_openai,0.8013
HIGH COMMISSIONER CONANT,US HIGH COMMISSIONER,lexical_context_similarity,stage_a1_auto,accept_openai,0.8013
MINISTRY OF EXTERNAL AFFAIRS,INDIAN MINISTRY OF EXTERNAL AFFAIRS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8013
INDONESIAN UN DELEGATION,INDONESIAN DELEGATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.8011
LEBANESE PRESIDENT CHAMOUN,PRESIDENT CHAMOUN,lexical_context_similarity,stage_a1_auto,accept_openai,0.8007
PHOUIS RALLY OF THE LAO PEOPLE,RALLY OF THE LAO PEOPLE,lexical_context_similarity,stage_a1_auto,accept_openai,0.8006
GREEK PRIME MINISTER PLASTIRAS,PRIME MINISTER PLASTIRAS,lexical_context_similarity,stage_a1_auto,accept_openai,0.8004
AMERICAN CONSUL GENERAL AT HONG KONG,AMERICAN CONSUL GENERAL,lexical_context_similarity,stage_a1_auto,accept_openai,0.8002
ROYAL LAOTIAN GOVERNMENT,LAOTIAN GOVERNMENT,lexical_context_similarity,stage_a1_auto,accept_openai,0.8
US AMBASSADOR DOWLING,AMBASSADOR DOWLING,lexical_context_similarity,stage_a1_auto,accept_openai,0.7996
HIGH AUTHORITY OF THE EUROPEAN COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity,stage_a1_auto,accept_openai,0.7995
JAPANESE PRIME MINISTER,PRIME MINISTER KISHI,lexical_context_similarity,stage_a1_auto,accept_openai,0.7993
US AMBASSADOR WAILES,AMBASSADOR WAILES,lexical_context_similarity,stage_a1_auto,accept_openai,0.7991
AMERICAN MILITARY AID AND ADVISORY GROUP,AMERICAN MILITARY ADVISORY GROUP,lexical_context_similarity,stage_a1_auto,accept_openai,0.7989
DEMOCRATIC ACTION (AD),DEMOCRATIC ACTION PARTY,lexical_context_similarity,stage_a1_auto,accept_openai,0.7988
AMERICAN UN DELEGATION,AMERICAN DELEGATION,lexical_context_similarity,stage_a1_auto,accept_openai,0.7979
COAL-STEEL COMMUNITY,EUROPEAN COAL-STEEL COMMUNITY,lexical_context_similarity,stage_a1_auto,accept_openai,0.7978
DAG HAMMARSKJOLD,HAMMARSKJOLD,lexical_context_similarity,stage_a1_auto,accept_openai,0.7978
KUCHERENKO,V. A. KUCHERENKO,lexical_context_similarity,stage_a1_auto,accept_openai,0.7978
